t_s,roll_deg,pitch_rv_deg,pitch_game_deg,pitch_gyro_deg,pitch_accel_deg,gyro_y_rads,gyro_y_filt_rads,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.018,-4.26,-0.04,-0.03,0.00,0.11,-0.0293,0.0000,-0.3047,-0.1129,-0.7266,8.7344,0.04,0.00,0.00,1
0.040,-4.26,-0.04,-0.05,-0.05,-4.31,0.0039,0.0000,0.7266,0.0609,-0.7656,10.4961,0.04,0.00,0.00,1
0.061,-4.26,-0.04,-0.03,-0.11,-2.76,-0.0430,0.0000,0.5742,0.1962,-1.1875,9.9258,0.04,0.00,0.00,1
0.069,-4.26,-0.04,-0.02,-0.18,-3.67,0.0742,0.0000,0.5742,0.2542,-1.1875,9.9258,0.04,0.00,0.00,1
0.090,-4.26,-0.04,-0.02,-0.25,-3.67,-0.0449,0.0000,0.0000,0.1551,-0.6523,9.6914,0.04,0.00,0.00,1
0.110,-4.26,-0.04,-0.02,-0.25,-0.35,0.0059,0.0000,-0.8828,0.0405,-0.6914,7.8516,0.04,0.00,0.00,1
0.120,-4.26,-0.04,-0.04,-0.12,6.06,-0.0391,0.0000,0.4609,-0.0564,-0.5742,10.3828,0.04,0.00,0.00,1
0.151,-4.26,-0.04,-0.05,-0.21,0.82,0.0039,0.0000,-0.4219,-0.0080,-0.8047,8.6211,0.04,0.00,0.00,1
0.159,-4.26,-0.04,-0.05,-0.16,2.45,-0.0039,0.0000,-0.4219,-0.0716,-0.8047,8.6211,0.04,0.00,0.00,1
0.171,-4.26,-0.04,-0.05,-0.11,2.45,0.0000,0.0000,0.2305,-0.0969,-0.6914,9.9648,0.04,0.00,0.00,1
0.191,-4.26,-0.04,-0.05,-0.17,-1.68,0.0352,0.0000,-0.1523,-0.0347,-0.8828,8.8867,0.04,0.00,0.00,1
