t_s,gyro_x_rads,gyro_y_rads,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
1.173,-0.0234,-0.0469,-0.1914,-0.5352,9.0000,0.00,0.00,0.00,1
1.192,-0.0195,-0.0430,0.0781,-0.6133,9.5820,0.00,0.00,0.00,1
1.207,-0.0234,0.0762,-1.0352,-0.9570,7.7344,0.00,0.00,0.00,1
1.224,-0.0352,0.0449,0.0391,-0.6523,9.8477,0.00,0.00,0.00,1
1.241,-0.0234,-0.0137,-0.0391,-0.6914,9.5781,0.00,0.00,0.00,1
1.261,-0.0156,-0.0449,0.6133,-1.0742,10.1133,0.00,0.00,0.00,1
1.275,-0.0039,0.0234,0.1133,-0.6914,9.3828,0.00,0.00,0.00,1
1.293,-0.0273,0.0937,0.4609,-0.6523,10.1484,0.00,0.00,0.00,1
1.313,-0.0293,0.0645,-0.0391,-0.7656,9.5781,0.00,0.00,0.00,1
1.326,0.0000,-0.0449,-0.0391,-0.7656,9.5781,0.00,0.00,0.00,1
1.345,-0.0098,0.0039,0.2695,-1.0742,9.6875,0.00,0.00,0.00,1
1.364,-0.0117,0.0137,0.1914,-0.7656,9.3867,0.00,0.00,0.00,1
1.377,0.0098,-0.0352,0.6914,-0.7656,10.4141,0.00,0.00,0.00,1
1.395,0.0215,-0.0762,-0.7656,-0.8047,8.0430,0.00,0.00,0.00,1
1.411,-0.0020,-0.0625,-0.0391,-0.8828,9.5430,0.00,0.00,0.00,1
1.430,-0.0078,-0.0098,-0.5742,-0.8047,8.8477,0.00,0.00,0.00,1
1.445,0.0059,0.0039,-0.2695,-0.9570,8.7773,0.00,0.00,0.00,1
1.462,0.0078,-0.0273,0.1523,-0.7656,9.6523,0.00,0.00,0.00,1
1.480,0.0234,-0.0684,0.7656,-0.9180,10.3437,0.00,0.00,0.00,1
1.496,-0.0020,0.0410,0.0781,-0.6523,9.1953,0.00,0.00,0.00,1
1.513,0.0039,0.0371,0.1914,-0.8828,9.6875,0.00,0.00,0.00,1
1.534,0.0078,0.0195,-0.8047,-0.7656,8.3125,0.00,0.00,0.00,1
1.547,-0.0039,0.0098,-0.1523,-0.7266,9.3047,0.00,0.00,0.00,1
1.564,-0.0117,0.0586,0.3047,-1.0352,9.6133,0.00,0.00,0.00,1
1.581,0.0039,0.0312,0.6523,-0.5352,10.0312,0.00,0.00,0.00,1
1.600,0.0117,0.0488,0.4961,-0.8828,10.1914,0.00,0.00,0.00,1
1.616,0.0000,-0.0352,0.3047,-0.9961,9.6875,0.00,0.00,0.00,1
1.632,0.0059,-0.0039,-0.8438,-0.5742,8.0391,0.00,0.00,0.00,1
1.651,-0.0059,0.0605,-0.1914,-0.5742,9.2305,0.00,0.00,0.00,1
1.666,0.0293,-0.0723,-0.8047,-1.0352,8.2734,0.00,0.00,0.00,1
1.683,0.0078,-0.0684,0.7656,-0.4609,10.4180,0.00,0.00,0.00,1
1.703,0.0117,0.0000,0.3828,-0.8828,9.6484,0.00,0.00,0.00,1
1.717,0.0117,0.0020,-0.1133,-0.6523,9.3047,0.00,0.00,0.00,1
1.734,0.0098,-0.0078,0.3047,-0.6914,9.7305,0.00,0.00,0.00,1
1.753,0.0273,-0.0605,-0.7656,-0.7266,8.1562,0.00,0.00,0.00,1
1.768,-0.0059,0.0508,0.0000,-0.6523,9.7305,0.00,0.00,0.00,1
1.785,0.0059,-0.0156,-0.1914,-0.9180,9.3086,0.00,0.00,0.00,1
1.802,0.0078,-0.0312,-0.3047,-0.6523,8.7344,0.00,0.00,0.00,1
1.820,0.0078,-0.0234,0.0391,-0.7266,9.5820,0.00,0.00,0.00,1
1.836,0.0059,0.0742,0.3437,-0.9180,9.5039,0.00,0.00,0.00,1
1.853,-0.0078,0.0527,0.6133,-0.4609,10.0312,0.00,0.00,0.00,1
1.873,0.0117,-0.0156,0.2305,-0.9570,9.5781,0.00,0.00,0.00,1
1.887,0.0176,0.0332,0.2305,-0.9570,9.5781,0.00,0.00,0.00,1
1.904,0.0137,0.0039,0.0781,-0.6133,9.5820,0.00,0.00,0.00,1
1.924,0.0215,-0.0078,-0.7656,-0.8828,8.0781,0.00,0.00,0.00,1
1.940,0.0098,-0.0215,0.3047,-0.4961,10.1133,0.00,0.00,0.00,1
1.955,0.0059,0.0293,0.1914,-0.7266,9.6523,0.00,0.00,0.00,1
1.972,0.0117,0.0137,-0.1523,-0.8438,9.1602,0.00,0.00,0.00,1
1.990,0.0254,-0.0215,0.1133,-0.6133,9.3477,0.00,0.00,0.00,1
2.006,-0.0039,0.0488,0.5352,-0.7266,9.9648,0.00,0.00,0.00,1
2.023,-0.0020,0.0332,-0.2695,-0.6133,8.9219,0.00,0.00,0.00,1
2.040,0.0176,0.0098,0.0781,-0.6133,9.6094,0.00,0.00,0.00,1
2.057,0.0098,0.0176,0.0391,-0.8828,9.4648,0.00,0.00,0.00,1
2.076,0.0176,0.0215,-0.1133,-0.5742,9.3437,0.00,0.00,0.00,1
2.093,0.0020,0.0801,-0.2695,-0.9570,8.6211,0.00,0.00,0.00,1
2.110,0.0020,0.0547,0.8047,-0.4609,10.6133,0.00,0.00,0.00,1
2.125,0.0078,-0.0234,0.4219,-0.6523,10.0352,0.00,0.00,0.00,1
2.142,0.0098,0.0234,0.4609,-0.8438,9.7656,0.00,0.00,0.00,1
2.160,0.0215,0.0078,-0.2695,-0.5352,8.8125,0.00,0.00,0.00,1
2.176,0.0039,-0.0234,0.1914,-0.6523,9.7695,0.00,0.00,0.00,1
2.193,0.0234,-0.0684,-1.2266,-0.8438,7.4727,0.00,0.00,0.00,1
2.211,0.0039,0.0645,0.3828,-0.4609,9.9648,0.00,0.00,0.00,1
2.227,0.0078,-0.0762,-0.6914,-0.8438,8.7344,0.00,0.00,0.00,1
2.244,0.0117,-0.0605,-0.2695,-0.7656,9.0781,0.00,0.00,0.00,1
2.264,0.0039,0.0312,-1.2656,-1.0352,7.2383,0.00,0.00,0.00,1
2.280,-0.0039,0.0371,1.1094,-0.2695,11.2617,0.00,0.00,0.00,1
2.296,0.0039,-0.0508,0.1914,-1.0352,9.6133,0.00,0.00,0.00,1
2.312,-0.0059,-0.0684,-1.0742,-0.7656,8.0430,0.00,0.00,0.00,1
