t_s,lin_ax_raw_mps2,lin_ax_filt_mps2,lin_ay_raw_mps2,lin_ay_filt_mps2,lin_az_raw_mps2,lin_az_filt_mps2,roll_deg,pitch_deg,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,bike_long_acc_raw_mps2,bike_long_acc_filt_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.007,0.3555,0.2153,-0.1445,0.1717,0.5312,0.1791,-2.69,1.23,0.1523,-0.5742,9.8828,0.3508,0.3485,40.74,0.00,0.00,1
0.024,0.3164,0.2600,0.1250,0.0855,-0.0039,0.2563,-2.70,1.24,0.1133,-0.3047,9.3437,0.3138,0.3413,40.74,0.00,0.00,1
0.048,0.2109,0.2630,0.0469,0.0869,0.4922,0.2438,-2.72,1.28,-0.6133,-0.4609,8.3125,-0.4073,0.2523,40.74,0.00,0.00,1
0.058,-0.4023,0.2059,-0.0234,0.0752,-1.0391,0.1595,-2.71,1.28,-0.6133,-0.4609,8.3125,-0.4063,0.1511,40.74,0.00,0.00,1
0.075,0.0977,0.0734,0.2461,0.0688,0.8398,-0.0301,-2.72,1.29,-0.1133,-0.1914,10.1875,0.0959,0.1040,40.74,0.00,0.00,1
0.096,0.2969,0.1258,-0.2539,0.0186,0.0352,0.0884,-2.74,1.32,-1.1484,-0.3828,8.2734,-0.9355,0.0694,40.74,0.00,0.00,1
0.115,-0.1250,-0.0994,0.0156,0.0101,-0.2734,-0.1811,-2.75,1.31,-0.3437,-0.4219,9.0781,-0.1314,-0.0951,40.74,0.00,0.00,1
0.126,-0.1250,-0.1033,0.0156,0.0109,-0.2734,-0.1953,-2.75,1.31,-0.5352,-0.6523,8.8125,-0.3227,-0.1160,40.74,0.00,0.00,1
0.145,0.6016,-0.0784,0.2148,-0.0044,0.9531,-0.1569,-2.75,1.29,0.3828,-0.2305,10.3086,0.5915,-0.0347,40.74,0.00,0.00,1
0.164,0.2109,0.1222,0.1406,0.0644,0.4180,0.1787,-2.76,1.25,0.0000,-0.3047,9.7695,0.2017,0.0924,40.74,0.00,0.00,1
0.177,0.2109,0.1358,0.1406,0.0761,0.4180,0.2155,-2.77,1.27,0.0000,-0.8438,9.5430,0.2049,0.1097,40.74,0.00,0.00,1
0.195,0.4023,0.1767,0.1406,-0.0116,0.3398,0.2313,-2.78,1.27,0.1914,-0.3047,9.6914,0.3958,0.1845,40.74,0.00,0.00,1
0.219,0.2500,0.2302,-0.1367,-0.0023,0.3398,0.2683,-2.79,1.29,-0.6914,-0.4219,8.3125,-0.4822,0.1563,40.74,0.00,0.00,1
0.228,-0.4805,0.1748,0.0234,-0.0102,-1.0391,0.1690,-2.79,1.29,-0.6914,-0.4219,8.3125,-0.4822,0.0582,40.74,0.00,0.00,1
0.245,0.2109,0.0443,0.2539,0.0178,1.0313,-0.0080,-2.79,1.30,0.0000,-0.1914,10.3828,0.2108,0.0581,40.74,0.00,0.00,1
0.266,0.2969,0.1201,-0.3594,-0.0374,-0.0820,0.0999,-2.80,1.32,-1.0352,-0.3437,8.4219,-0.8222,0.0483,40.74,0.00,0.00,1
0.284,-0.2031,-0.0863,-0.1289,-0.0349,-0.3398,-0.1545,-2.81,1.32,-0.4219,-0.5742,9.0039,-0.2084,-0.1124,40.74,0.00,0.00,1
0.296,-0.2031,-0.1042,-0.1289,-0.0493,-0.3398,-0.1830,-2.81,1.32,-0.5742,-0.6914,8.7773,-0.3613,-0.1394,40.74,0.00,0.00,1
0.317,-0.3633,-0.1677,-0.2461,-0.0978,-0.5703,-0.2785,-2.81,1.28,0.2695,-0.3437,10.0312,0.4766,-0.1361,40.74,0.00,0.00,1
