t_s,roll_deg,pitch_deg,pitch_accel_deg,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.003,-1.31,2.06,2.75,-0.4219,-0.4219,-0.3047,8.7773,0.04,0.00,0.00,1
0.023,-1.31,2.04,-0.94,0.1523,-0.2159,-0.4609,9.2305,0.04,0.00,0.00,1
0.037,-1.31,2.04,-0.94,0.1523,-0.1594,-0.4609,9.2305,0.04,0.00,0.00,1
0.055,-1.30,2.01,-0.67,0.1133,-0.0013,-0.2305,9.6523,0.04,0.00,0.00,1
0.074,-1.30,2.00,-2.88,0.4961,0.0618,-0.4609,9.8477,0.04,0.00,0.00,1
0.092,-1.30,1.98,0.00,0.0000,0.1001,-0.0781,9.2305,0.04,0.00,0.00,1
0.105,-1.29,1.96,-0.67,0.1133,0.0938,-0.0781,9.7305,0.04,0.00,0.00,1
0.122,-1.29,1.94,7.26,-0.9961,-0.1451,-0.3047,7.8125,0.04,0.00,0.00,1
0.143,-1.28,1.90,-0.45,0.0781,-0.1487,0.1523,9.9648,0.04,0.00,0.00,1
0.156,-1.28,1.90,1.18,-0.1914,-0.1553,-0.1914,9.3047,0.04,0.00,0.00,1
0.173,-1.28,1.86,1.96,-0.3047,-0.1906,-0.1914,8.8867,0.06,0.00,0.00,1
0.195,-1.27,1.84,-1.79,0.3047,-0.0877,-0.2695,9.7695,0.06,0.00,0.00,1
0.213,-1.27,1.85,-0.93,0.1523,0.0114,-0.1133,9.3867,0.06,0.00,0.00,1
0.226,-1.27,1.83,-1.59,0.2695,0.0520,-0.0391,9.6914,0.06,0.00,0.00,1
0.243,-1.27,1.83,-3.74,0.6523,0.1443,-0.5352,9.9648,0.06,0.00,0.00,1
0.263,-1.27,1.82,2.55,-0.3828,0.0884,-0.1523,8.5820,0.06,0.00,0.00,1
0.275,-1.26,1.79,0.48,-0.0781,0.0404,0.0000,9.3477,0.06,0.00,0.00,1
0.294,-1.26,1.76,5.95,-0.8438,-0.1694,-0.3437,8.0820,0.06,0.00,0.00,1
0.313,-1.25,1.72,-0.23,0.0391,-0.1653,-0.0391,9.8477,0.06,0.00,0.00,1
0.326,-1.25,1.71,-1.14,0.1914,-0.1217,-0.1523,9.6523,0.06,0.00,0.00,1
0.344,-1.25,1.72,1.24,-0.1914,-0.0997,-0.2695,8.8437,0.06,0.00,0.00,1
0.366,-1.24,1.70,-3.46,0.6133,-0.0117,0.0000,10.1484,0.06,0.00,0.00,1
0.377,-1.24,1.70,-3.46,0.6133,0.0843,0.0000,10.1484,0.09,0.00,0.00,1
0.397,-1.23,1.67,-0.45,0.0781,0.0500,0.0391,10.0039,0.09,0.00,0.00,1
0.414,-1.23,1.62,1.43,-0.2305,0.0333,-0.3047,9.1953,0.09,0.00,0.00,1
0.432,-1.23,1.62,5.33,-0.7656,-0.1237,-0.0781,8.1992,0.09,0.00,0.00,1
0.445,-1.23,1.60,0.48,-0.0781,-0.1673,-0.1523,9.3477,0.09,0.00,0.00,1
0.463,-1.23,1.60,0.25,-0.0391,-0.1389,-0.5742,8.9609,0.09,0.00,0.00,1
0.483,-1.23,1.58,-2.87,0.4961,0.0136,0.0781,9.8867,0.09,0.00,0.00,1
0.496,-1.23,1.58,-1.95,0.3437,0.0755,-0.3047,10.0703,0.09,0.00,0.00,1
0.513,-1.23,1.55,-4.87,0.8828,0.2863,-0.3437,10.3477,0.09,0.00,0.00,1
0.532,-1.22,1.53,1.95,-0.3047,0.1926,-0.0781,8.9258,0.09,0.00,0.00,1
0.553,-1.22,1.53,7.57,-1.0352,0.0737,-0.4609,7.7734,0.09,0.00,0.00,1
0.564,-1.21,1.53,7.57,-1.0352,-0.0966,-0.4609,7.7734,0.09,0.00,0.00,1
0.584,-1.20,1.52,0.70,-0.1133,-0.0330,-0.3047,9.3086,0.07,0.00,0.00,1
0.603,-1.19,1.52,1.23,-0.1914,-0.0620,-0.3828,8.8828,0.07,0.00,0.00,1
