t_s,roll_deg,pitch_rv_deg,pitch_game_deg,pitch_comp_deg,gyro_y_rads,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.014,-2.33,-0.05,-0.09,0.00,-0.0293,0.1914,0.4591,-0.5352,9.5781,0.00,0.00,0.00,1
0.033,-2.33,-0.05,-0.07,-0.09,0.0371,-0.4609,0.2235,-0.4609,8.2383,0.00,0.00,0.00,1
0.063,-2.55,-0.10,-0.07,-0.10,0.0059,0.1914,0.1514,-0.7656,9.1211,0.00,0.00,0.00,1
0.093,-2.55,-0.12,-0.09,-0.14,-0.0312,0.6133,0.2820,-0.5352,9.8867,0.00,0.00,0.00,1
0.094,-2.55,-0.12,-0.09,-0.14,-0.0312,0.6133,0.2820,-0.5352,9.8867,0.00,0.00,0.00,1
0.123,-2.55,-0.12,-0.08,-0.18,0.0762,-0.6523,0.1484,-0.3047,8.1992,0.00,0.00,0.00,1
0.124,-2.55,-0.12,-0.08,-0.18,0.0762,-0.6523,0.1484,-0.3047,8.1992,0.00,0.00,0.00,1
0.153,-2.55,-0.12,-0.08,-0.18,0.0059,-0.4219,-0.0517,-0.7266,8.5391,0.00,0.00,0.00,1
0.154,-2.55,-0.12,-0.08,-0.18,0.0059,-0.4219,-0.0517,-0.7266,8.5391,0.00,0.00,0.00,1
0.173,-2.55,-0.12,-0.08,-0.26,-0.0039,0.7266,0.0975,-0.0391,10.1484,0.00,0.00,0.00,1
0.184,-2.55,-0.12,-0.08,-0.24,0.0410,0.4219,0.1697,-0.5352,9.8828,0.00,0.00,0.00,1
0.203,-2.55,-0.12,-0.08,-0.25,-0.0137,0.6133,0.2980,-0.8047,9.5391,0.00,0.00,0.00,1
0.233,-2.55,-0.12,-0.09,-0.26,-0.0137,0.6914,0.3678,-0.4961,10.1523,0.00,0.00,0.00,1
0.264,-2.55,-0.12,-0.12,-0.30,-0.0254,0.3828,0.2730,-0.1133,10.1914,0.00,0.00,0.00,1
0.264,-2.55,-0.12,-0.12,-0.30,-0.0254,0.3828,0.2730,-0.1133,10.1914,0.00,0.00,0.00,1
0.314,-2.48,-0.14,-0.11,-0.22,0.0449,0.0781,0.0955,-0.2695,9.3477,0.00,0.00,0.00,1
0.323,-2.48,-0.14,-0.11,-0.15,0.0254,0.6523,0.1388,-0.5742,10.0000,0.00,0.00,0.00,1
0.324,-2.48,-0.14,-0.11,-0.15,0.0254,0.6523,0.1388,-0.5742,10.0000,0.00,0.00,0.00,1
0.344,-2.48,-0.14,-0.15,-0.18,-0.0391,-0.1133,0.1444,-0.1914,8.7734,0.00,0.00,0.00,1
0.344,-2.48,-0.14,-0.15,-0.18,-0.0391,-0.1133,0.1444,-0.1914,8.7734,0.00,0.00,0.00,1
0.373,-2.42,-0.18,-0.15,-0.21,-0.0234,0.8047,0.3169,-0.6133,10.0000,0.00,0.00,0.00,1
0.383,-2.42,-0.18,-0.15,-0.25,-0.0293,-0.7266,0.2693,0.4961,7.9297,0.00,0.00,0.00,1
0.403,-2.42,-0.18,-0.18,-0.25,0.0039,0.0000,0.0906,0.0781,9.6094,0.00,0.00,0.00,1
0.434,-2.42,-0.18,-0.19,-0.18,0.0625,0.7656,0.1432,-0.3047,10.4922,0.00,0.00,0.00,1
0.454,-2.42,-0.19,-0.19,-0.16,0.0117,0.3047,0.2534,-0.6523,9.8437,0.00,0.00,0.00,1
0.463,-2.42,-0.19,-0.19,-0.07,0.0723,0.6914,0.2922,-0.0781,10.0703,0.00,0.00,0.00,1
0.464,-2.42,-0.19,-0.19,-0.07,0.0723,0.6914,0.2922,-0.0781,10.0703,0.00,0.00,0.00,1
0.483,-2.42,-0.19,-0.16,-0.09,-0.0312,0.3828,0.3600,0.0000,9.5039,0.00,0.00,0.00,1
0.513,-2.42,-0.19,-0.14,-0.09,0.0508,-0.7266,0.2040,-0.3047,7.6602,0.00,0.00,0.00,1
0.543,-2.42,-0.19,-0.13,-0.07,0.0176,-0.1523,0.0617,-0.7656,9.1172,0.00,0.00,0.00,1
0.543,-2.42,-0.19,-0.13,-0.07,0.0176,-0.1523,0.0617,-0.7656,9.1172,0.00,0.00,0.00,1
0.544,-2.42,-0.19,-0.13,-0.07,0.0176,-0.1523,0.0617,-0.7656,9.1172,0.00,0.00,0.00,1
0.573,-2.42,-0.19,-0.12,0.03,-0.0254,0.0000,0.0008,-0.6133,9.1953,0.00,0.00,0.00,1
0.593,-2.42,-0.19,-0.12,0.02,-0.0059,0.4609,0.1025,-0.3437,9.8047,0.00,0.00,0.00,1
0.594,-2.42,-0.19,-0.12,0.02,-0.0059,0.4609,0.1025,-0.3437,9.8047,0.00,0.00,0.00,1
0.624,-2.42,-0.19,-0.13,-0.01,-0.0195,0.8047,0.2973,-0.5352,10.1133,0.00,0.00,0.00,1
0.652,-2.42,-0.19,-0.12,-0.05,-0.0371,-0.6914,0.1926,-0.2695,8.1992,0.00,0.00,0.00,1
0.652,-2.42,-0.19,-0.12,-0.05,-0.0371,-0.6914,0.1926,-0.2695,8.1992,0.00,0.00,0.00,1
0.663,-2.42,-0.19,-0.12,-0.04,0.0078,0.0391,0.1153,-0.7266,9.4219,0.00,0.00,0.00,1
