t_s,lin_ax_raw_mps2,lin_ax_filt_mps2,lin_ay_raw_mps2,lin_ay_filt_mps2,lin_az_raw_mps2,lin_az_filt_mps2,roll_deg,pitch_deg,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
9.475,-1.6523,0.2292,-2.2695,-0.0383,-0.1758,0.5619,-1.86,-7.84,25.52,154.75,160.13,1
9.490,5.8086,0.8464,0.8164,0.1439,-6.9648,-0.2472,-1.81,-7.78,25.52,153.42,160.41,1
9.503,-4.2422,0.4393,-0.2930,0.1090,6.2148,0.2698,-1.79,-7.74,25.52,156.59,325.63,1
9.520,0.1523,0.6152,1.3086,0.3185,2.3437,0.2445,-1.76,-7.72,25.52,154.34,161.92,1
9.531,0.0391,0.5691,0.1875,0.3080,2.9961,0.4646,-1.75,-7.71,25.52,156.01,161.81,1
9.550,-1.9688,0.7043,-1.6875,0.1148,2.3008,0.1972,-1.73,-7.67,25.52,154.80,158.48,1
9.561,3.5859,0.9348,-1.5352,-0.0172,-6.3594,-0.3273,-1.72,-7.65,25.52,158.08,163.85,1
9.573,1.4336,0.9747,0.6484,0.0361,-1.2617,-0.4021,-1.71,-7.67,25.52,153.66,161.47,1
9.590,-3.6250,0.4234,-0.9297,-0.0752,4.3281,0.2265,-1.69,-7.67,25.82,153.85,162.36,1
9.601,0.8984,0.4614,1.6758,0.0649,1.2656,0.3096,-1.68,-7.69,25.82,155.81,161.34,1
9.615,0.8516,0.4926,-1.2344,-0.0391,-0.8438,0.2173,-1.68,-7.66,25.82,154.89,163.91,1
9.630,4.2539,0.9749,-0.7070,-0.1382,-3.9062,-0.2160,-1.67,-7.63,25.82,153.92,164.28,1
9.643,-1.8867,0.7460,-0.5469,-0.1709,4.4844,0.1601,-1.67,-7.61,25.82,157.46,161.52,1
9.660,5.0703,1.0054,-0.2695,-0.1107,-4.7187,-0.0255,-1.68,-7.55,25.82,156.40,161.58,1
9.671,-1.7461,0.7853,0.2187,-0.0844,3.9023,0.2887,-1.67,-7.55,25.82,153.37,164.80,1
9.685,5.5703,1.1681,-0.0859,-0.0845,-6.1367,-0.2253,-1.67,-7.57,25.82,156.47,161.08,1
9.700,3.0430,1.0895,0.9180,-0.0717,-4.3359,-0.2955,-1.68,-7.58,25.82,158.00,162.02,1
9.713,1.8906,1.1536,-0.2695,-0.0875,-0.1992,-0.2878,-1.70,-7.61,25.82,154.63,165.45,1
9.730,-2.3203,0.6249,-1.0352,-0.1261,4.7812,0.5247,-1.71,-7.60,25.82,154.99,163.67,1
9.741,0.0469,0.5787,1.2617,-0.0151,3.0977,0.7306,-1.72,-7.60,25.82,156.84,162.10,1
9.760,1.8750,0.8879,-1.5273,-0.1488,1.5625,0.5228,-1.74,-7.55,25.82,155.18,163.11,1
9.769,6.1875,1.3119,-1.0586,-0.2215,-7.2461,-0.0987,-1.74,-7.51,25.82,155.45,162.95,1
9.783,-1.0195,1.1253,-0.3789,-0.2341,2.2852,0.0920,-1.75,-7.49,26.32,159.52,165.10,1
9.800,2.8477,1.3140,-1.2891,-0.2447,-0.3594,0.0227,-1.78,-7.48,26.32,158.18,163.00,1
9.811,-2.4062,1.0164,1.1250,-0.1351,4.4687,0.3784,-1.79,-7.47,26.32,155.18,163.27,1
9.825,4.4023,1.2872,-1.3281,-0.2305,-4.4961,-0.0116,-1.80,-7.46,26.32,157.95,165.40,1
9.840,3.5078,1.3897,0.3281,-0.2011,-3.6914,-0.1315,-1.84,-7.42,26.32,158.65,165.59,1
9.853,2.7422,1.4979,-1.8086,-0.3297,-0.9727,-0.1988,-1.87,-7.42,26.32,155.62,162.92,1
9.870,-2.7383,0.9315,-1.9180,-0.3626,4.8789,0.4889,-1.88,-7.43,26.32,155.50,163.51,1
9.881,2.1289,1.0273,0.7266,-0.2755,0.0547,0.4541,-1.88,-7.45,26.32,156.01,166.67,1
9.901,0.4805,1.1715,-0.2617,-0.2035,3.2344,0.4074,-1.91,-7.46,26.32,154.15,166.47,1
9.910,5.1094,1.4866,0.3047,-0.1628,-4.8125,-0.0102,-1.92,-7.45,26.32,154.75,165.73,1
9.923,-4.1797,1.0333,-1.7188,-0.2873,7.9844,0.6294,-1.93,-7.41,26.32,158.60,162.44,1
9.940,2.5469,1.1683,-1.1797,-0.2237,-0.5977,0.5875,-1.96,-7.34,26.32,157.75,162.68,1
9.951,-0.7852,1.0120,0.8164,-0.1405,2.8125,0.7655,-1.96,-7.32,26.32,154.32,165.34,1
9.965,5.9180,1.4045,-0.3320,-0.1558,-6.0000,0.2243,-1.97,-7.34,26.32,158.00,162.89,1
9.980,3.8437,1.2608,0.1445,-0.1813,-5.1641,0.2002,-2.01,-7.33,26.32,159.29,162.65,1
9.993,1.5898,1.2871,-1.0820,-0.2533,1.3477,0.2920,-2.03,-7.36,27.00,156.96,166.44,1
10.011,-1.4414,0.9272,-0.1602,-0.1968,3.1484,0.7816,-2.05,-7.36,27.00,155.98,166.47,1
10.021,-0.4453,0.8174,0.6406,-0.1298,2.1914,0.8944,-2.05,-7.38,27.00,156.94,164.18,1
10.035,2.3047,0.9364,0.1523,-0.1072,-2.8281,0.5966,-2.07,-7.35,27.00,155.86,163.69,1
10.050,5.9648,1.3204,-0.7305,-0.2196,-6.3594,0.1598,-2.09,-7.29,27.00,155.88,163.21,1
10.063,-3.4297,0.9404,-1.5273,-0.3242,6.6289,0.6773,-2.10,-7.25,27.00,158.45,165.37,1
10.080,1.6914,1.1661,-0.3398,-0.2249,0.7266,0.4785,-2.12,-7.24,27.00,158.00,166.28,1
10.091,-0.2656,1.0516,0.5820,-0.1603,2.3359,0.6271,-2.12,-7.23,27.00,155.33,163.85,1
10.110,-2.6016,1.1560,-0.0625,-0.1706,4.9258,0.3349,-2.14,-7.25,27.00,157.53,164.37,1
10.120,1.6836,1.1982,-0.1289,-0.1672,-1.8477,0.1603,-2.16,-7.23,27.00,157.16,165.86,1
10.133,3.2539,1.3627,-0.1289,-0.1642,-0.2852,0.1246,-2.18,-7.25,27.00,154.56,163.43,1
10.150,-2.2031,0.8549,0.4062,-0.0202,6.0000,0.9480,-2.20,-7.22,27.00,156.74,162.97,1
10.161,1.4375,0.9015,-0.0859,-0.0255,1.0586,0.9569,-2.21,-7.21,27.00,154.23,164.69,1
10.175,2.8750,1.0594,0.3828,0.0072,-1.6719,0.7466,-2.22,-7.16,27.00,153.70,164.80,1
10.190,6.7305,1.6125,0.1133,-0.0699,-7.8008,0.0314,-2.25,-7.10,26.93,154.51,164.72,1
10.203,-1.1250,1.3935,0.0078,-0.0637,3.7695,0.3305,-2.27,-7.07,26.93,157.93,161.34,1
10.220,2.4687,1.5158,-1.0273,-0.1272,-1.9375,0.1118,-2.31,-7.06,26.93,155.11,162.95,1
10.231,-1.9141,1.2414,1.4648,0.0002,3.7305,0.4013,-2.33,-7.06,26.93,155.06,164.72,1
10.245,6.5625,1.6671,-0.5508,-0.0439,-7.3867,-0.2218,-2.34,-7.10,26.93,157.90,165.73,1
10.261,1.9961,1.2838,0.0625,-0.1066,-3.3711,0.0112,-2.39,-7.10,26.93,158.48,163.03,1
10.273,-0.6094,1.1324,-0.1602,-0.1109,3.0703,0.2560,-2.41,-7.13,26.93,155.71,165.81,1
10.290,-5.0234,0.4574,-0.2383,-0.0460,7.3633,1.0403,-2.46,-7.10,26.93,158.10,166.67,1
10.301,4.8906,0.8120,0.0391,-0.0392,-5.4687,0.5196,-2.48,-7.10,26.93,156.30,162.60,1
10.315,-0.0977,0.7393,0.2305,-0.0176,-0.8906,0.4068,-2.51,-7.08,26.93,155.23,164.31,1
10.331,4.5742,0.9310,-1.0195,-0.0361,-3.9844,0.2932,-2.56,-7.07,26.93,155.28,164.07,1
10.343,-3.3320,0.5899,-0.4727,-0.0710,6.8477,0.8176,-2.59,-7.05,26.93,154.58,164.34,1
10.360,1.8320,0.8152,-1.4922,-0.1608,1.0625,0.6692,-2.63,-7.00,26.93,153.89,164.31,1
10.371,-0.9727,0.6722,1.2969,-0.0442,3.7383,0.9147,-2.65,-6.96,26.93,155.71,164.47,1
10.390,-1.0703,0.8873,-0.8125,-0.1446,3.1250,0.6030,-2.69,-6.89,27.48,155.88,163.80,1
10.400,2.9414,1.0516,-0.8320,-0.1996,-3.0039,0.3145,-2.71,-6.86,27.48,156.01,163.75,1
10.413,2.0625,1.1325,-1.1406,-0.2749,1.2773,0.3915,-2.73,-6.87,27.48,156.13,161.16,1
10.431,-4.0898,0.4945,-0.7578,-0.1657,5.3008,1.0921,-2.76,-6.77,27.48,156.79,161.79,1
10.441,1.3789,0.5652,0.7461,-0.0927,-1.5547,0.8803,-2.76,-6.73,27.48,153.89,160.75,1
10.455,2.3984,0.7119,0.5156,-0.0441,-3.6406,0.5187,-2.77,-6.67,27.48,153.00,164.28,1
10.471,6.2500,0.9881,-0.6641,0.0045,-8.0078,0.0131,-2.79,-6.57,27.48,154.68,163.69,1
10.483,-4.8437,0.5216,-1.1992,-0.0918,6.7031,0.5483,-2.81,-6.52,27.48,155.47,163.83,1
10.500,-0.1836,0.6732,-0.5430,-0.0913,0.9883,0.2499,-2.81,-6.44,27.48,155.21,164.53,1
10.512,0.8047,0.6837,0.7539,-0.0237,-0.4297,0.1956,-2.80,-6.40,27.48,158.76,162.55,1
10.530,-2.4922,0.8163,-0.8555,-0.0611,4.1289,-0.0743,-2.79,-6.39,27.48,158.55,162.13,1
10.540,1.1328,0.8416,-0.2070,-0.0728,-1.9609,-0.2252,-2.79,-6.35,27.48,155.76,162.26,1
10.553,0.2148,0.7915,-0.6641,-0.1201,1.0625,-0.1222,-2.80,-6.33,27.48,157.75,165.59,1
10.570,-3.0586,0.4149,-0.4062,-0.0195,6.3867,0.5619,-2.78,-6.25,27.48,157.85,165.45,1
10.581,2.3437,0.5692,0.5156,0.0234,-0.9375,0.4419,-2.75,-6.22,27.08,157.41,165.67,1
10.595,0.9844,0.6024,-0.2891,-0.0016,-0.7539,0.3463,-2.74,-6.16,27.08,154.32,163.24,1
10.611,6.8320,1.1904,-0.1055,-0.0909,-8.2617,-0.3161,-2.71,-6.05,27.08,157.73,162.10,1
10.623,-2.3711,0.9055,-0.1055,-0.0921,3.4609,-0.0139,-2.70,-6.00,27.08,155.40,162.52,1
10.640,4.6641,1.3756,-0.1133,0.0145,-4.7383,-0.6548,-2.66,-5.96,27.08,155.38,162.52,1
10.651,-1.5430,1.1421,0.8438,0.0808,2.5430,-0.3990,-2.63,-5.96,27.08,154.94,165.78,1
10.671,-3.1836,1.1171,0.7969,0.1649,4.8008,-0.4996,-2.60,-6.03,27.08,157.16,165.32,1
10.680,1.7969,1.1714,0.4844,0.1905,-2.0937,-0.6271,-2.58,-6.03,27.08,155.06,165.32,1
10.693,0.3047,1.1021,0.1758,0.1893,1.8906,-0.4257,-2.57,-6.05,27.08,157.06,162.05,1
10.711,-3.3828,0.3434,-0.1680,0.2331,5.7227,0.6314,-2.55,-6.00,27.08,157.08,162.87,1
10.721,1.2383,0.4149,1.3203,0.3200,-1.3359,0.4740,-2.52,-5.97,27.08,157.95,161.50,1
10.735,2.8789,0.6121,-0.0234,0.2926,-4.6602,0.0633,-2.51,-5.91,27.08,155.47,165.34,1
10.750,7.2383,1.0997,-0.1055,0.2961,-8.3437,-0.4302,-2.47,-5.87,27.08,157.95,162.21,1
10.763,-2.6836,0.7970,-0.5664,0.2271,5.2148,0.0214,-2.47,-5.87,27.08,156.37,165.07,1
10.781,1.1055,0.9574,0.2305,0.2641,1.1172,-0.0162,-2.44,-5.92,27.08,154.92,167.06,1
10.791,-0.3477,0.8530,0.9961,0.3227,2.1797,0.1595,-2.42,-5.92,27.08,155.52,162.36,1
10.805,6.3945,1.2963,0.5273,0.3391,-6.4687,-0.3708,-2.41,-5.96,27.08,159.01,164.20,1
10.820,1.7969,0.8974,-0.1211,0.2287,-2.3008,0.0771,-2.40,-5.98,27.08,155.74,163.56,1
10.833,-0.2344,0.8069,-0.7344,0.1517,2.7187,0.2885,-2.40,-5.99,27.08,157.28,165.98,1
10.851,-3.9258,0.2869,-0.7031,0.1420,6.2812,0.9890,-2.39,-5.92,27.08,157.90,165.23,1
10.861,2.2031,0.4402,0.9023,0.2028,-2.8359,0.6830,-2.37,-5.90,27.08,155.45,162.36,1
10.875,1.8867,0.5559,0.7500,0.2466,-2.9961,0.3887,-2.37,-5.87,27.08,157.18,163.93,1
10.890,8.1719,1.0794,-0.2852,0.3567,-10.6211,-0.4086,-2.37,-5.87,27.08,157.78,165.59,1
10.903,-4.2500,0.6531,0.5977,0.3760,6.1562,0.1166,-2.39,-5.89,27.08,155.50,162.00,1
10.921,-1.9727,0.3731,-1.1953,0.2643,6.3867,0.6850,-2.43,-5.92,27.08,153.52,163.40,1
10.931,-1.4922,0.2239,1.9844,0.4019,4.0820,0.9567,-2.44,-5.90,27.08,156.54,161.73,1
10.945,6.2852,0.7088,0.0391,0.3729,-6.8359,0.3333,-2.45,-5.88,27.08,153.26,163.75,1
10.960,2.3164,0.4552,0.4609,0.2814,-3.0820,0.5643,-2.50,-5.82,27.08,153.47,164.42,1
10.973,1.5117,0.5397,-1.2539,0.1586,1.1328,0.6098,-2.52,-5.79,27.08,156.81,160.03,1
10.991,-4.0586,0.1103,-1.4766,0.0449,7.7109,1.3374,-2.55,-5.71,27.13,157.08,161.16,1
11.001,2.4844,0.3002,0.3906,0.0725,-2.5547,1.0260,-2.57,-5.68,27.13,158.91,162.36,1
11.015,3.3945,0.5477,-0.7500,0.0067,-5.6172,0.4946,-2.60,-5.64,27.13,158.00,166.50,1
11.031,5.7812,0.7510,0.2852,0.0636,-7.4648,0.1043,-2.62,-5.71,27.13,159.06,162.97,1
11.043,-7.4375,0.0959,-1.6602,-0.0743,10.4687,0.9335,-2.65,-5.72,27.13,155.84,167.17,1
11.061,-3.4609,-0.1086,-0.1992,-0.0256,4.6016,1.0541,-2.70,-5.71,27.13,155.96,165.40,1
11.071,1.2578,0.0008,0.6445,0.0280,-0.8086,0.9051,-2.71,-5.70,27.13,156.13,163.53,1
11.085,4.5937,0.3682,-0.1133,0.0167,-5.7109,0.3758,-2.73,-5.70,27.13,155.38,164.26,1
11.100,0.5547,0.6573,-0.9180,0.0309,-2.0391,-0.2513,-2.77,-5.65,27.13,157.08,163.03,1
11.113,0.3242,0.6307,-0.4141,-0.0047,0.1445,-0.2196,-2.78,-5.65,27.13,158.45,166.33,1
11.130,-3.7812,0.1565,-0.5273,-0.0398,5.2695,0.3645,-2.81,-5.58,27.13,157.31,165.84,1
11.141,3.1875,0.3990,1.3516,0.0715,-4.4219,-0.0184,-2.81,-5.58,27.13,155.59,163.03,1
11.155,1.3125,0.4721,-0.1367,0.0548,-1.3594,-0.1257,-2.82,-5.59,27.13,156.42,163.29,1
11.170,5.6406,0.7077,0.0937,0.1114,-5.9258,-0.2576,-2.83,-5.48,27.13,156.64,165.29,1
11.183,-6.3867,0.1401,0.0937,0.1100,10.6992,0.6190,-2.85,-5.43,27.13,155.04,161.81,1
11.201,-2.0742,0.1953,-0.6250,0.1598,3.6836,0.6645,-2.87,-5.29,27.19,153.44,162.39,1
11.211,1.0586,0.2644,-0.2812,0.1245,-1.2969,0.5076,-2.87,-5.20,27.19,157.75,162.21,1
11.225,6.1523,0.7354,-0.7031,0.0583,-9.7656,-0.3143,-2.87,-5.14,27.19,154.73,165.23,1
11.240,1.6250,0.6556,-0.4336,-0.1193,-2.7148,-0.3024,-2.86,-5.07,27.19,155.33,165.45,1
11.253,-0.5586,0.5584,-0.0586,-0.1144,0.9922,-0.1988,-2.86,-5.05,27.19,158.50,162.73,1
11.270,-4.5703,0.0576,-0.2148,-0.1270,6.5078,0.3831,-2.86,-4.98,27.19,157.63,162.36,1
11.281,4.1914,0.3883,1.2031,-0.0206,-4.6406,-0.0188,-2.85,-4.95,27.19,159.13,162.84,1
11.301,-0.6719,0.2395,-0.3359,-0.0368,1.6758,0.1794,-2.83,-4.90,27.19,158.30,165.95,1
11.311,3.3125,0.4854,0.1992,-0.0179,-4.3789,-0.1853,-2.81,-4.89,27.19,157.85,163.08,1
11.323,-2.5898,0.2394,-0.6055,-0.0649,5.0820,0.2361,-2.79,-4.87,27.19,155.88,165.59,1
11.341,-0.1445,0.3874,-1.3008,-0.1053,0.4727,0.1037,-2.76,-4.84,27.19,155.21,165.67,1
11.351,0.0859,0.3633,1.1523,-0.0047,0.0117,0.0963,-2.75,-4.80,27.19,156.67,163.03,1
11.365,5.3398,0.7614,0.0391,-0.0012,-7.2656,-0.4926,-2.73,-4.78,27.19,156.10,163.08,1
11.380,2.4609,1.0400,-1.0039,0.0055,-2.2031,-0.8094,-2.70,-4.77,27.19,155.71,163.96,1
11.393,-3.1641,0.7037,0.4844,0.0438,4.8008,-0.3606,-2.68,-4.77,27.19,155.04,166.14,1
11.410,-4.3516,0.2403,-0.1680,0.0225,7.6250,0.2858,-2.65,-4.74,26.74,156.94,165.86,1
11.421,3.2734,0.4829,1.2031,0.1170,-3.7500,-0.0370,-2.63,-4.72,26.74,157.18,166.39,1
11.435,-0.8242,0.3783,-0.5195,0.0660,1.5352,0.0887,-2.62,-4.70,26.74,156.59,163.19,1
11.451,3.7539,0.7841,0.7734,0.1014,-4.7070,-0.5832,-2.57,-4.65,26.74,157.78,164.85,1
11.463,-1.0625,0.6364,-0.5664,0.0480,2.3398,-0.3494,-2.56,-4.66,26.74,154.92,161.68,1
11.480,-0.2500,0.7625,-0.5664,0.0692,2.1406,-0.4689,-2.54,-4.69,26.74,157.75,162.60,1
11.492,-1.4375,0.5865,1.0742,0.1496,2.7930,-0.2079,-2.52,-4.68,26.74,155.74,165.43,1
11.510,2.5469,1.0397,1.0742,0.3422,-4.2187,-0.8691,-2.50,-4.65,26.74,155.91,167.50,1
11.520,-0.8789,0.8862,-0.9883,0.2358,1.2969,-0.6958,-2.51,-4.59,26.74,155.71,167.14,1
11.533,-2.2187,0.6378,0.1836,0.2316,2.1406,-0.4689,-2.51,-4.56,26.74,155.57,163.67,1
11.551,-2.5820,0.3554,-1.1094,0.0869,4.1719,-0.1057,-2.50,-4.47,26.74,158.81,162.95,1
11.561,3.7031,0.6232,-0.0078,0.0793,-6.1406,-0.5885,-2.50,-4.43,26.74,156.35,165.37,1
11.580,1.6641,0.7187,-0.3516,0.0191,-1.7734,-0.7558,-2.49,-4.43,26.74,158.38,166.09,1
11.590,2.6680,0.8746,1.1406,0.1089,-2.8477,-0.9232,-2.48,-4.43,26.74,158.53,163.67,1
11.603,-2.3125,0.6197,-0.8867,0.0292,3.1367,-0.5984,-2.49,-4.42,27.32,158.25,164.96,1
11.621,1.2813,0.8256,0.6133,0.1839,-0.9688,-0.9738,-2.49,-4.38,27.32,158.10,165.54,1
11.631,0.1602,0.7724,-1.0781,0.0829,0.6094,-0.8472,-2.49,-4.36,27.32,154.85,162.68,1
11.650,0.3086,0.8567,0.5273,0.2527,0.1484,-0.8156,-2.49,-4.33,27.32,155.09,162.07,1
11.661,1.2969,0.8919,-1.0430,0.1490,-0.0820,-0.7569,-2.51,-4.27,27.32,154.73,161.29,1
11.673,-2.3906,0.6293,-0.4687,0.0996,4.3633,-0.3473,-2.51,-4.21,27.32,154.04,163.91,1
11.690,-2.3359,0.3803,0.6914,0.1899,2.8672,-0.0591,-2.52,-4.08,27.32,153.82,164.10,1
11.701,2.8633,0.5789,0.2695,0.1963,-5.9805,-0.5328,-2.53,-4.03,27.32,155.33,161.06,1
11.715,2.4062,0.7251,-1.7617,0.0397,-4.1406,-0.8214,-2.55,-4.03,27.32,158.20,163.08,1
11.730,6.1211,1.1106,0.6523,0.0809,-7.3203,-1.3545,-2.56,-4.05,27.32,158.15,165.65,1
11.743,-4.4805,0.6633,-1.0352,-0.0084,6.5937,-0.7186,-2.57,-4.10,27.32,158.81,162.76,1
11.760,-4.7891,0.2065,0.8203,0.2310,8.2773,0.0232,-2.60,-4.09,27.32,157.78,332.56,1
11.771,1.2578,0.2906,-0.8633,0.1435,-1.9102,-0.1315,-2.62,-4.03,27.32,156.57,166.17,1
11.785,3.6602,0.5602,1.0039,0.2123,-5.0547,-0.5253,-2.63,-3.98,27.32,157.55,165.95,1
11.801,0.4375,0.8880,-1.8594,0.0232,-0.8398,-1.1369,-2.64,-3.96,27.02,155.96,167.17,1
11.813,-1.8945,0.6654,-0.4453,-0.0143,3.1836,-0.7912,-2.64,-3.90,27.02,155.86,164.66,1
11.831,-4.1836,0.4649,-0.5117,-0.1703,7.7500,-0.2975,-2.65,-3.86,27.02,156.35,163.99,1
11.841,2.9336,0.6624,1.2813,-0.0542,-4.2422,-0.6131,-2.66,-3.81,27.02,158.40,164.61,1
11.861,2.7812,0.8360,0.1758,-0.1011,-3.8867,-0.8431,-2.67,-3.75,27.02,157.65,165.98,1
11.871,1.7148,0.9063,0.9414,-0.0177,-0.7539,-0.8359,-2.68,-3.72,27.02,158.40,163.13,1
11.883,-1.2656,0.7326,0.6758,0.0378,3.8516,-0.4609,-2.68,-3.70,27.02,157.46,165.95,1
11.900,-2.8594,0.5396,-0.6289,-0.0385,4.2344,-0.2722,-2.69,-3.61,27.02,156.54,165.45,1
11.911,-0.7891,0.4334,-0.3203,-0.0610,1.6289,-0.1201,-2.68,-3.55,27.02,154.73,164.88,1
11.930,1.1797,0.7458,0.6367,0.0660,1.4766,-0.1598,-2.66,-3.40,27.02,150.44,161.60,1
11.940,3.2383,0.9452,0.1016,0.0688,-0.9766,-0.2251,-2.66,-3.30,27.02,151.86,159.31,1
11.953,1.3789,0.9799,-1.5156,-0.0579,1.6758,-0.0730,-2.65,-3.21,27.02,146.05,160.15,1
11.971,3.4453,1.1286,-1.4414,-0.1546,-0.5859,0.1245,-2.63,-2.96,27.02,143.31,159.57,1
11.982,3.0000,1.2783,1.7695,-0.0006,1.0234,0.1964,-2.60,-2.84,27.02,139.43,157.83,1
12.000,1.3516,1.5029,-0.1836,-0.0540,4.3164,0.3945,-2.58,-2.62,27.11,131.08,158.20,1
12.010,3.0977,1.6305,-0.5742,-0.0957,0.1719,0.3767,-2.55,-2.48,27.11,125.34,156.96,1
12.023,5.8555,1.9685,1.7617,0.0529,-4.8086,-0.0381,-2.52,-2.32,27.11,90.08,153.75,1
12.041,4.3906,2.2499,-0.8945,-0.0584,-2.7695,-0.3596,-2.46,-2.05,27.11,90.08,153.33,1
12.052,10.7656,2.9312,-4.5430,-0.4171,-11.5430,-1.2543,-2.45,-1.93,27.11,68.18,152.18,1
12.071,6.7969,3.3401,-3.6797,0.5069,-6.7461,-1.9038,-2.34,-1.83,27.11,68.18,152.39,1
12.081,3.8867,3.3838,-2.9102,0.2335,1.1055,-1.6630,-2.32,-1.85,27.11,68.18,151.22,1
12.093,-5.7617,2.6522,8.8398,0.9220,11.0664,-0.6447,-2.30,-1.71,27.11,68.18,154.11,1
12.111,16.4414,5.6261,0.0898,0.8569,-16.3164,-4.1941,-2.21,-1.70,27.11,68.18,151.01,1
12.122,-3.1172,4.9266,-1.3711,0.6786,11.5039,-2.9383,-2.19,-1.81,27.11,68.18,150.67,1
12.141,10.1602,5.4151,1.2188,1.0813,-6.9844,-3.0471,-2.09,-1.83,27.11,68.18,150.49,1
12.151,2.4062,5.1744,-0.8203,0.9292,2.9766,-2.5652,-2.07,-1.79,27.11,68.18,147.36,1
12.163,9.1797,5.4948,1.9297,1.0092,-6.7539,-2.9003,-2.04,-1.82,27.11,68.18,150.06,1
12.181,5.4102,5.6210,1.0781,0.8703,-1.1836,-2.7582,-1.98,-1.86,27.11,68.18,147.99,1
12.191,1.1094,5.2600,-1.0273,0.7185,3.5352,-2.2548,-1.97,-1.86,27.13,68.18,143.78,1
12.211,3.2461,5.3319,-0.7383,0.5715,2.9766,-2.0438,-1.91,-1.96,27.13,68.18,146.11,1
12.220,3.5859,5.1922,-1.2031,0.4295,1.4063,-1.7678,-1.88,-1.98,27.13,68.18,143.08,1
12.233,3.1484,5.0287,-0.1797,0.3808,0.5352,-1.5835,-1.83,-1.97,27.13,68.18,142.98,1
12.250,0.7656,4.7828,3.1016,0.5624,5.0625,-1.1722,-1.75,-2.05,27.13,68.18,142.98,1
12.261,4.3516,4.7483,2.2500,0.6974,-1.0195,-1.1600,-1.71,-2.06,27.13,68.18,142.23,1
12.280,3.9961,4.8222,0.9766,0.7178,0.5117,-1.2612,-1.65,-2.16,27.13,68.18,141.44,1
12.291,0.5820,4.4830,1.8516,0.8085,4.1211,-0.8306,-1.63,-2.17,27.13,68.18,137.84,1
12.303,6.0898,4.6115,-1.7578,0.6032,-4.6055,-1.1326,-1.61,-2.18,27.13,68.18,137.99,1
12.321,0.7773,4.5562,0.8789,0.3782,2.1758,-1.3181,-1.55,-2.20,27.13,68.18,136.09,1
12.331,5.1016,4.5998,0.6406,0.3992,-3.0664,-1.4580,-1.51,-2.25,27.13,68.18,135.21,1
12.350,2.9453,4.3011,1.8594,0.5473,1.0469,-1.1075,-1.46,-2.31,27.13,68.18,133.56,1
12.361,1.5117,4.0780,3.0000,0.7435,3.2227,-0.7611,-1.44,-2.35,27.13,68.18,131.84,1
12.373,3.2695,4.0133,1.3125,0.7890,0.9336,-0.6255,-1.44,-2.35,27.13,68.18,129.53,1
12.391,2.8164,3.8694,0.8945,0.5767,1.0547,-0.4603,-1.44,-2.31,26.65,68.18,128.16,1
12.401,5.0977,3.9677,-1.0625,0.4455,-1.2813,-0.5260,-1.43,-2.32,26.65,68.18,126.77,1
12.415,2.1016,3.8184,0.1562,0.4224,2.6719,-0.2701,-1.43,-2.32,26.65,68.18,127.49,1
12.431,6.3164,3.9077,-1.1055,0.2213,-5.5156,-0.5632,-1.42,-2.25,26.65,68.18,126.60,1
12.443,3.7031,3.8913,2.2266,0.3818,-1.0039,-0.5985,-1.42,-2.26,26.65,68.18,126.28,1
12.460,5.3633,3.8052,-1.4961,0.2348,-2.4844,-0.5158,-1.43,-2.27,26.65,68.18,121.79,1
12.472,0.7812,3.5633,-0.2578,0.1954,3.6094,-0.1858,-1.45,-2.24,26.65,68.18,120.90,1
12.490,2.0078,3.4698,-0.4805,0.1335,2.0078,0.0016,-1.49,-2.15,26.65,68.18,120.13,1
12.501,3.9062,3.5047,-2.4687,-0.0746,-1.6719,-0.1323,-1.50,-2.11,26.65,68.18,120.71,1
12.513,2.7266,3.4425,-0.5859,-0.1156,-0.3281,-0.1479,-1.52,-2.04,26.65,68.18,119.03,1
12.530,3.8437,3.3193,0.7148,-0.1378,-0.8203,-0.0088,-1.52,-1.99,26.65,68.18,119.06,1
12.541,0.8398,3.1209,-2.0430,-0.2902,2.0977,0.1597,-1.54,-1.96,26.65,0.00,117.25,1
12.555,5.7578,3.3319,1.4141,-0.1539,-4.4141,-0.2062,-1.55,-1.91,26.65,0.00,115.34,1
12.571,4.0430,3.5132,-1.6133,-0.1805,-1.1563,-0.4220,-1.60,-1.88,26.65,0.00,117.22,1
12.583,2.8008,3.4563,0.7227,-0.1083,0.4219,-0.3545,-1.61,-1.85,24.19,0.00,114.84,1
12.600,3.8750,3.4961,-1.1445,-0.3267,0.2773,-0.2948,-1.66,-1.77,24.19,0.00,113.60,1
12.611,3.3125,3.4814,-1.3672,-0.4099,0.6602,-0.2184,-1.68,-1.71,24.19,0.00,110.46,1
12.625,2.5625,3.4079,0.0195,-0.3755,2.1602,-0.0281,-1.69,-1.67,24.19,0.00,109.22,1
12.640,4.6992,3.4502,-2.4609,-0.4992,-2.6289,-0.1398,-1.73,-1.56,24.19,0.00,109.81,1
12.653,3.1523,3.4263,0.9492,-0.3833,-0.3594,-0.1574,-1.74,-1.53,24.19,0.00,108.97,1
12.671,3.0742,3.4079,-2.4844,-0.4838,0.1016,-0.1599,-1.78,-1.48,24.19,0.00,107.16,1
