t_s,roll_deg,pitch_rv_deg,pitch_game_deg,pitch_comp_deg,gyro_y_rads,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.001,-2.42,0.10,0.11,0.00,0.0293,-0.2305,-0.2305,-0.1523,8.8828,0.11,0.00,0.00,1
0.031,-2.42,0.10,0.11,0.07,0.0527,0.3828,0.0244,-0.3437,9.5820,0.11,0.00,0.00,1
0.051,-2.42,0.10,0.14,0.06,-0.0059,0.7656,0.2313,-0.0781,9.9258,0.11,0.00,0.00,1
0.061,-2.42,0.10,0.14,-0.00,-0.0547,-0.2695,0.2306,-0.3437,8.4648,0.06,0.00,0.00,1
0.081,-2.42,0.10,0.15,0.03,0.0469,0.1523,0.1534,-0.0391,9.7656,0.06,0.00,0.00,1
0.111,-2.42,0.10,0.15,-0.01,-0.0293,-0.1133,0.1171,-0.2305,8.6172,0.06,0.00,0.00,1
0.111,-2.42,0.10,0.15,-0.01,-0.0293,-0.1133,0.1171,-0.2305,8.6172,0.06,0.00,0.00,1
0.141,-2.42,0.10,0.17,0.01,-0.0078,0.3047,0.1603,-0.4961,9.0000,0.06,0.00,0.00,1
0.142,-2.42,0.10,0.17,0.01,-0.0078,0.3047,0.1603,-0.4961,9.0000,0.06,0.00,0.00,1
0.160,-2.42,0.10,0.17,-0.04,0.0352,0.6133,0.2695,-0.4219,9.9258,0.06,0.00,0.00,1
0.191,-2.75,0.19,0.18,-0.03,0.0078,0.7266,0.4601,-0.9180,9.9219,0.06,0.00,0.00,1
0.201,-2.75,0.19,0.18,-0.10,-0.0371,0.0391,0.4461,-0.3437,8.8125,0.06,0.00,0.00,1
0.221,-2.75,0.19,0.18,-0.09,0.0000,0.3828,0.3834,-0.6133,9.4219,0.06,0.00,0.00,1
0.241,-2.75,0.19,0.20,-0.04,0.0449,0.6133,0.2609,-0.2305,9.9258,0.06,0.00,0.00,1
0.250,-2.75,0.19,0.20,-0.02,0.0176,0.6133,0.3150,-0.2305,9.9258,0.06,0.00,0.00,1
0.281,-2.75,0.19,0.22,0.00,0.0410,0.8828,0.4561,-0.4961,10.1094,0.15,0.00,0.00,1
0.281,-2.75,0.19,0.22,0.00,0.0410,0.8828,0.4561,-0.4961,10.1094,0.15,0.00,0.00,1
0.321,-2.75,0.19,0.22,-0.07,-0.0449,-0.6523,0.4552,-0.6523,7.7734,0.15,0.00,0.00,1
0.330,-2.75,0.19,0.22,-0.15,-0.0332,-0.6523,0.2851,-0.6523,7.7734,0.15,0.00,0.00,1
0.331,-2.75,0.19,0.22,-0.15,-0.0332,-0.6523,0.2851,-0.6523,7.7734,0.15,0.00,0.00,1
0.361,-2.75,0.19,0.24,-0.13,0.0527,0.1914,0.2620,-0.7656,9.5039,0.15,0.00,0.00,1
0.361,-2.75,0.19,0.24,-0.13,0.0527,0.1914,0.2620,-0.7656,9.5039,0.15,0.00,0.00,1
0.391,-2.95,0.25,0.25,-0.09,0.0391,0.3047,0.2270,-0.4609,9.5781,0.15,0.00,0.00,1
0.401,-2.95,0.25,0.25,-0.08,0.0039,0.5742,0.2605,-0.5742,9.8867,0.15,0.00,0.00,1
0.421,-2.95,0.25,0.23,-0.09,-0.0234,0.3828,0.3251,-0.3047,9.2695,0.15,0.00,0.00,1
0.460,-2.98,0.26,0.24,-0.14,-0.0371,-0.5352,0.4062,-0.3047,8.3555,0.15,0.00,0.00,1
0.461,-2.98,0.26,0.24,-0.14,-0.0371,-0.5352,0.4062,-0.3047,8.3555,0.13,0.00,0.00,1
0.461,-2.98,0.26,0.24,-0.14,-0.0371,-0.5352,0.4062,-0.3047,8.3555,0.13,0.00,0.00,1
0.481,-2.98,0.26,0.24,-0.19,-0.0156,-0.0781,0.1758,-0.4961,9.5039,0.13,0.00,0.00,1
0.500,-2.98,0.26,0.24,-0.19,0.0098,-0.1133,0.0814,-0.4961,8.8477,0.13,0.00,0.00,1
0.531,-3.00,0.23,0.21,-0.20,-0.0098,0.8438,0.3458,-0.4961,9.8867,0.13,0.00,0.00,1
0.541,-3.00,0.23,0.21,-0.23,-0.0156,0.9180,0.4282,-0.7656,10.1523,0.13,0.00,0.00,1
0.560,-3.00,0.23,0.24,-0.20,0.0371,-0.0781,0.3747,-0.4609,8.8125,0.13,0.00,0.00,1
0.591,-3.00,0.23,0.23,-0.22,-0.0176,-0.8047,0.2468,-0.6523,7.8945,0.13,0.00,0.00,1
0.611,-3.00,0.23,0.20,-0.25,-0.0176,0.5742,0.1935,-0.4961,9.8086,0.13,0.00,0.00,1
0.611,-3.00,0.23,0.20,-0.25,-0.0176,0.5742,0.1935,-0.4961,9.8086,0.13,0.00,0.00,1
0.620,-3.00,0.23,0.20,-0.20,0.0449,0.3437,0.2336,-0.6523,9.7305,0.13,0.00,0.00,1
0.640,-3.00,0.23,0.22,-0.21,-0.0176,0.5352,0.3135,-0.6523,9.8477,0.13,0.00,0.00,1
0.670,-3.07,0.23,0.22,-0.22,-0.0156,0.6523,0.3715,-0.3828,10.1094,0.13,0.00,0.00,1
0.671,-3.07,0.23,0.22,-0.22,-0.0156,0.6523,0.3715,-0.3828,10.1094,0.07,0.00,0.00,1
0.700,-3.07,0.23,0.19,-0.28,-0.0293,0.3437,0.2160,-0.5742,9.8828,0.07,0.00,0.00,1
0.701,-3.07,0.23,0.19,-0.28,-0.0293,0.3437,0.2160,-0.5742,9.8828,0.07,0.00,0.00,1
0.720,-3.07,0.23,0.19,-0.23,-0.0176,0.2305,0.2271,-0.8047,9.4219,0.07,0.00,0.00,1
0.751,-3.07,0.23,0.22,-0.22,-0.0176,0.0781,0.2407,-0.5742,9.1172,0.07,0.00,0.00,1
0.751,-3.07,0.23,0.22,-0.22,-0.0176,0.0781,0.2407,-0.5742,9.1172,0.07,0.00,0.00,1
0.781,-3.07,0.23,0.23,-0.23,-0.0098,0.7266,0.3692,-0.4961,10.1914,0.07,0.00,0.00,1
0.811,-2.97,0.24,0.23,-0.21,0.0156,0.1133,0.2925,-0.5742,9.1172,0.07,0.00,0.00,1
0.821,-2.97,0.24,0.23,-0.18,0.0215,0.7266,0.3140,-0.5352,10.1914,0.07,0.00,0.00,1
0.821,-2.97,0.24,0.23,-0.18,0.0215,0.7266,0.3140,-0.5352,10.1914,0.07,0.00,0.00,1
0.841,-2.97,0.24,0.24,-0.19,-0.0137,0.3828,0.3786,-0.5742,9.4258,0.07,0.00,0.00,1
0.860,-2.97,0.24,0.25,-0.20,-0.0117,0.3828,0.3800,-0.1914,9.8086,0.07,0.00,0.00,1
0.871,-2.97,0.24,0.25,-0.25,-0.0410,-0.6133,0.3008,-0.8047,8.0117,0.07,0.00,0.00,1
0.891,-2.97,0.24,0.24,-0.24,0.0117,0.1523,0.1586,-0.3828,9.8477,0.07,0.00,0.00,1
0.921,-2.97,0.24,0.24,-0.22,-0.0254,0.5742,0.2889,-0.4609,9.7266,0.07,0.00,0.00,1
0.921,-2.97,0.24,0.24,-0.22,-0.0254,0.5742,0.2889,-0.4609,9.7266,0.07,0.00,0.00,1
0.950,-2.97,0.24,0.23,-0.24,-0.0176,0.4961,0.3384,-0.2695,9.8867,0.07,0.00,0.00,1
0.981,-2.82,0.24,0.23,-0.20,0.0215,0.4609,0.1305,-0.3828,9.6484,0.07,0.00,0.00,1
1.000,-2.82,0.24,0.22,-0.17,0.0195,0.3047,0.2086,-0.1914,9.9219,0.07,0.00,0.00,1
