t_s,roll_deg,pitch_rv_deg,pitch_game_deg,pitch_comp_deg,gyro_y_rads,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.049,-2.27,-0.09,-0.08,-78.68,-0.0195,-0.1523,0.3896,-0.4219,8.7344,0.06,0.00,0.00,1
0.080,-2.27,-0.09,-0.09,-78.73,0.0234,-0.8438,0.0959,-0.4219,7.7383,0.06,0.00,0.00,1
0.099,-2.32,-0.13,-0.09,-78.74,-0.0059,0.4609,0.1182,0.0000,9.9648,0.06,0.00,0.00,1
0.100,-2.32,-0.13,-0.09,-78.74,-0.0059,0.4609,0.1182,0.0000,9.9648,0.06,0.00,0.00,1
0.130,-2.34,-0.12,-0.11,-78.71,0.0273,0.3047,0.2185,-0.1914,9.6484,0.06,0.00,0.00,1
0.159,-2.41,-0.12,-0.11,-78.01,-0.0195,0.7266,0.2712,-0.1523,10.3477,0.06,0.00,0.00,1
0.160,-2.41,-0.12,-0.11,-78.01,-0.0195,0.7266,0.2712,-0.1523,10.3477,0.06,0.00,0.00,1
0.190,-2.43,-0.13,-0.14,-78.05,-0.0352,0.2695,0.1008,-0.1523,9.9219,0.06,0.00,0.00,1
0.220,-2.43,-0.13,-0.14,-77.31,-0.0312,0.2695,0.1094,-0.2305,9.2266,0.04,0.00,0.00,1
0.220,-2.43,-0.13,-0.14,-77.31,-0.0312,0.2695,0.1094,-0.2305,9.2266,0.04,0.00,0.00,1
0.239,-2.43,-0.13,-0.16,-77.33,-0.0176,0.1523,0.1381,-0.5742,8.5781,0.04,0.00,0.00,1
0.240,-2.43,-0.13,-0.16,-77.33,-0.0176,0.1523,0.1381,-0.5742,8.5781,0.04,0.00,0.00,1
0.260,-2.43,-0.13,-0.17,-77.35,-0.0059,-0.3437,0.2114,-0.7656,8.3555,0.04,0.00,0.00,1
0.270,-2.43,-0.13,-0.17,-76.69,-0.0391,-0.3437,0.1262,-0.7656,8.3555,0.04,0.00,0.00,1
0.300,-2.43,-0.13,-0.20,-76.69,0.0332,0.0781,0.1504,-0.3047,9.3086,0.04,0.00,0.00,1
0.360,-2.74,-0.23,-0.22,-76.68,-0.0078,0.0391,0.1902,-0.6914,9.1172,0.04,0.00,0.00,1
0.360,-2.74,-0.23,-0.22,-76.68,-0.0078,0.0391,0.1902,-0.6914,9.1172,0.04,0.00,0.00,1
0.379,-2.84,-0.24,-0.22,-76.71,-0.0098,0.4609,0.2407,-0.6914,10.2266,0.04,0.00,0.00,1
0.380,-2.84,-0.24,-0.22,-76.71,-0.0098,0.4609,0.2407,-0.6914,10.2266,0.04,0.00,0.00,1
0.409,-2.84,-0.24,-0.21,-76.76,-0.0352,-0.1914,0.1339,-0.3437,8.4609,0.04,0.00,0.00,1
0.439,-2.92,-0.23,-0.21,-76.76,0.0000,0.5742,0.2164,-0.6133,9.6133,0.04,0.00,0.00,1
0.440,-2.92,-0.23,-0.21,-76.76,0.0000,0.5742,0.2164,-0.6133,9.6133,0.04,0.00,0.00,1
0.460,-2.92,-0.23,-0.21,-76.86,-0.0527,0.6133,0.2714,-0.6523,9.8047,0.04,0.00,0.00,1
0.469,-2.92,-0.23,-0.21,-76.85,0.0117,0.6133,0.3239,-0.6523,9.8047,0.04,0.00,0.00,1
0.469,-2.92,-0.23,-0.21,-76.85,0.0117,0.6133,0.3239,-0.6523,9.8047,0.04,0.00,0.00,1
0.499,-2.92,-0.23,-0.20,-76.87,-0.0195,-0.3437,0.2046,-0.1914,8.8437,0.04,0.00,0.00,1
0.499,-2.92,-0.23,-0.20,-76.87,-0.0195,-0.3437,0.2046,-0.1914,8.8437,0.04,0.00,0.00,1
0.520,-2.92,-0.23,-0.20,-76.86,0.0059,0.2305,0.1447,-0.4609,9.7266,0.04,0.00,0.00,1
0.549,-3.11,-0.20,-0.18,-76.78,0.0762,0.4961,0.2139,-0.4609,9.7305,0.04,0.00,0.00,1
0.550,-3.11,-0.20,-0.18,-76.78,0.0762,0.4961,0.2139,-0.4609,9.7305,0.04,0.00,0.00,1
0.580,-3.11,-0.20,-0.17,-76.81,-0.0059,0.6133,0.3713,-0.9180,9.8867,0.04,0.00,0.00,1
0.580,-3.11,-0.20,-0.17,-76.81,-0.0059,0.6133,0.3713,-0.9180,9.8867,0.06,0.00,0.00,1
0.610,-3.17,-0.19,-0.18,-76.84,-0.0195,0.2305,0.2287,-0.7266,9.5000,0.06,0.00,0.00,1
0.610,-3.17,-0.19,-0.18,-76.84,-0.0195,0.2305,0.2287,-0.7266,9.5000,0.06,0.00,0.00,1
0.640,-3.17,-0.19,-0.16,-76.04,-0.0605,0.6523,0.1909,-0.4219,9.8828,0.06,0.00,0.00,1
0.658,-3.22,-0.18,-0.16,-76.07,-0.0195,0.4961,0.2872,-0.6523,9.5820,0.06,0.00,0.00,1
0.680,-3.22,-0.18,-0.16,-76.07,0.0078,-0.2305,0.3384,-0.5742,8.6211,0.06,0.00,0.00,1
0.690,-3.22,-0.18,-0.16,-75.37,0.0039,-0.2305,0.2510,-0.5742,8.6211,0.06,0.00,0.00,1
0.720,-3.22,-0.18,-0.15,-75.36,0.0625,-0.9180,-0.0084,-0.6133,7.9297,0.06,0.00,0.00,1
0.721,-3.22,-0.18,-0.15,-75.36,0.0625,-0.9180,-0.0084,-0.6133,7.9297,0.06,0.00,0.00,1
0.800,-3.25,-0.19,-0.18,-75.36,-0.0020,0.4219,0.2438,-0.4961,9.8437,0.06,0.00,0.00,1
0.800,-3.25,-0.19,-0.18,-75.36,-0.0020,0.4219,0.2438,-0.4961,9.8437,0.06,0.00,0.00,1
0.829,-3.25,-0.19,-0.21,-75.47,-0.0352,0.4609,0.1798,-0.3437,9.9219,0.06,0.00,0.00,1
0.830,-3.25,-0.19,-0.21,-75.47,-0.0352,0.4609,0.1798,-0.3437,9.9219,0.06,0.00,0.00,1
0.860,-3.25,-0.19,-0.22,-74.75,-0.0527,0.7266,0.3030,-0.5742,10.1523,0.06,0.00,0.00,1
0.889,-3.25,-0.19,-0.23,-74.80,-0.0312,0.6523,0.3963,-0.1914,10.0000,0.06,0.00,0.00,1
0.890,-3.25,-0.19,-0.23,-74.80,-0.0312,0.6523,0.3963,-0.1914,10.0000,0.06,0.00,0.00,1
0.900,-3.25,-0.19,-0.23,-74.82,-0.0078,-0.8438,0.3159,-0.8047,7.6250,0.06,0.00,0.00,1
0.900,-3.25,-0.19,-0.23,-74.82,-0.0078,-0.8438,0.3159,-0.8047,7.6250,0.06,0.00,0.00,1
0.920,-3.25,-0.19,-0.26,-74.16,-0.0410,0.4219,0.2007,-0.4961,9.9609,0.06,0.00,0.00,1
0.920,-3.25,-0.19,-0.26,-74.16,-0.0410,0.4219,0.2007,-0.4961,9.9609,0.06,0.00,0.00,1
0.939,-3.27,-0.27,-0.26,-74.13,0.0332,0.3047,0.2375,-0.3828,9.7695,0.06,0.00,0.00,1
0.939,-3.27,-0.27,-0.26,-74.13,0.0332,0.3047,0.2375,-0.3828,9.7695,0.06,0.00,0.00,1
0.970,-3.27,-0.27,-0.26,-74.13,-0.0195,0.1914,0.2519,-0.5352,9.3437,0.06,0.00,0.00,1
0.970,-3.27,-0.27,-0.26,-74.13,-0.0195,0.1914,0.2519,-0.5352,9.3437,0.06,0.00,0.00,1
1.000,-3.27,-0.27,-0.26,-74.15,0.0020,-0.2305,0.2374,-0.5742,8.6211,0.06,0.00,0.00,1
1.030,-3.27,-0.27,-0.26,-74.19,-0.0195,-0.1133,0.1345,-0.7266,9.0430,0.06,0.00,0.00,1
1.030,-3.27,-0.27,-0.26,-74.19,-0.0195,-0.1133,0.1345,-0.7266,9.0430,0.06,0.00,0.00,1
1.060,-3.27,-0.27,-0.26,-74.13,-0.0234,0.0781,0.0801,-0.6523,9.3477,0.06,0.00,0.00,1
1.080,-3.27,-0.27,-0.25,-74.15,-0.0117,0.5742,0.1892,-0.5742,10.0039,0.06,0.00,0.00,1
1.109,-3.27,-0.27,-0.26,-74.26,-0.0762,0.3828,0.1915,-0.7266,9.8477,0.06,0.00,0.00,1
