t_s,gyro_x_rads,gyro_y_rads,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.018,-0.0098,-0.0020,0.1523,-0.4609,9.6484,0.00,0.00,0.00,1
0.035,-0.0020,-0.0215,-0.0391,-0.6523,9.2305,0.00,0.00,0.00,1
0.055,-0.0039,-0.0273,0.5352,-0.3828,10.1914,0.00,0.00,0.00,1
0.073,0.0078,-0.0566,-0.5352,-0.3828,8.5820,0.00,0.00,0.00,1
0.086,-0.0176,0.0488,0.0391,-0.3828,9.6094,0.00,0.00,0.00,1
0.104,-0.0117,-0.0078,-0.6523,-0.6133,8.7383,0.00,0.00,0.00,1
0.121,-0.0078,-0.0312,-0.3047,-0.4609,8.7734,0.00,0.00,0.00,1
0.137,0.0039,0.0176,0.2305,-0.4219,9.6484,0.00,0.00,0.00,1
0.154,-0.0156,0.0898,0.4961,-0.5742,9.8828,0.00,0.00,0.00,1
0.171,-0.0254,0.0684,0.3047,-0.2695,9.8086,0.00,0.00,0.00,1
0.188,-0.0020,-0.0039,0.2305,-0.4219,9.8867,0.00,0.00,0.00,1
0.205,-0.0039,0.0332,0.0391,-0.6523,9.3477,0.00,0.00,0.00,1
0.222,0.0039,0.0020,-0.8438,-0.3047,8.1992,0.00,0.00,0.00,1
0.239,-0.0098,-0.0312,-0.0391,-0.2695,9.5430,0.00,0.00,0.00,1
0.258,0.0078,-0.0488,0.6133,-0.1133,10.3477,0.00,0.00,0.00,1
0.273,-0.0078,0.0508,0.6133,-0.1133,10.3477,0.00,0.00,0.00,1
0.292,0.0039,0.0410,0.2695,-0.5742,9.5781,0.00,0.00,0.00,1
0.307,-0.0039,-0.0371,-0.1914,-0.3047,9.1602,0.00,0.00,0.00,1
0.324,-0.0156,-0.0156,0.4219,-0.2305,9.9219,0.00,0.00,0.00,1
0.342,0.0039,-0.0273,-0.8047,-0.5352,8.2734,0.00,0.00,0.00,1
0.358,-0.0098,-0.0273,-0.0391,-0.3437,9.7305,0.00,0.00,0.00,1
0.375,-0.0078,-0.0078,-0.3047,-0.6133,9.3086,0.00,0.00,0.00,1
0.393,-0.0059,-0.0059,-0.3828,-0.4609,8.5430,0.00,0.00,0.00,1
0.409,0.0039,-0.0098,0.0391,-0.3437,9.6484,0.00,0.00,0.00,1
0.428,0.0156,-0.0703,0.6523,-0.1523,10.0742,0.00,0.00,0.00,1
0.444,-0.0039,-0.0566,0.1914,-0.3437,9.9258,0.00,0.00,0.00,1
0.461,-0.0059,0.0195,0.1133,-0.7266,9.4648,0.00,0.00,0.00,1
0.477,-0.0059,-0.0020,-0.4609,-0.3047,8.6562,0.00,0.00,0.00,1
0.494,-0.0059,-0.0078,0.1914,-0.2695,9.7266,0.00,0.00,0.00,1
0.512,0.0098,-0.0742,-0.9961,-0.6523,7.8906,0.00,0.00,0.00,1
0.528,-0.0195,0.0586,0.1133,-0.1914,10.0703,0.00,0.00,0.00,1
0.545,-0.0117,-0.0039,0.2695,-0.4961,9.7656,0.00,0.00,0.00,1
0.562,-0.0039,-0.0371,-0.1133,-0.6133,9.0039,0.00,0.00,0.00,1
0.585,-0.0078,-0.0215,0.6133,-0.4219,10.1875,0.00,0.00,0.00,1
0.598,-0.0078,0.0527,-0.3047,-0.3437,8.8437,0.00,0.00,0.00,1
0.615,-0.0195,0.0410,-0.1523,-0.3828,9.5820,0.00,0.00,0.00,1
0.634,-0.0059,-0.0254,-0.2695,-0.6914,8.9609,0.00,0.00,0.00,1
0.647,0.0000,0.0430,-0.6914,-0.4219,8.4648,0.00,0.00,0.00,1
0.665,0.0039,-0.0020,0.0781,-0.3437,9.8047,0.00,0.00,0.00,1
0.682,0.0098,-0.0137,-0.2305,-0.8047,8.8867,0.00,0.00,0.00,1
0.698,-0.0059,-0.0195,0.6523,-0.2305,10.4180,0.00,0.00,0.00,1
0.715,-0.0039,0.0273,0.1914,-0.4219,9.7656,0.00,0.00,0.00,1
0.732,-0.0020,0.0137,0.2305,-0.7266,9.3828,0.00,0.00,0.00,1
0.756,0.0039,-0.0156,0.3437,-0.3437,9.8867,0.00,0.00,0.00,1
0.766,-0.0176,0.0566,0.3437,-0.3437,9.8867,0.00,0.00,0.00,1
0.786,-0.0117,0.0410,0.0000,-0.3047,9.9258,0.00,0.00,0.00,1
0.804,-0.0020,-0.0059,-0.0781,-0.6133,9.5820,0.00,0.00,0.00,1
0.817,0.0000,0.0254,-0.4609,-0.4961,8.4648,0.00,0.00,0.00,1
0.834,0.0039,0.0117,-0.0781,-0.3828,9.4648,0.00,0.00,0.00,1
0.851,-0.0039,0.0625,0.2305,-0.7266,9.5781,0.00,0.00,0.00,1
0.868,0.0117,-0.0527,0.5352,-0.2305,9.9258,0.00,0.00,0.00,1
0.885,-0.0039,0.0254,0.0781,-0.4219,9.7695,0.00,0.00,0.00,1
0.902,0.0059,0.0391,0.3828,-0.7656,9.7695,0.00,0.00,0.00,1
0.925,0.0098,0.0059,-0.0391,-0.2305,9.5391,0.00,0.00,0.00,1
0.936,-0.0156,-0.0137,-0.0391,-0.2305,9.5391,0.00,0.00,0.00,1
0.953,0.0098,-0.0273,-1.1094,-0.7266,7.6602,0.00,0.00,0.00,1
0.974,0.0000,0.0293,0.3437,-0.5352,9.8867,0.00,0.00,0.00,1
0.988,-0.0039,0.0156,-0.3047,-0.6133,8.8164,0.00,0.00,0.00,1
1.004,0.0078,0.0020,-0.0781,-0.2305,9.2266,0.00,0.00,0.00,1
1.021,-0.0020,0.0449,0.3437,-0.5742,9.7266,0.02,0.00,0.00,1
1.038,0.0195,-0.0723,0.1523,-0.2695,9.5820,0.02,0.00,0.00,1
1.056,0.0059,-0.0332,0.0391,-0.3047,9.6875,0.02,0.00,0.00,1
1.072,0.0137,0.0273,0.1133,-0.8047,9.5000,0.02,0.00,0.00,1
1.091,0.0137,0.0137,-0.5742,-0.3047,8.6953,0.02,0.00,0.00,1
1.106,0.0000,-0.0156,0.0000,-0.2695,9.4219,0.02,0.00,0.00,1
1.124,0.0176,-0.0605,-0.9180,-0.7266,8.0820,0.02,0.00,0.00,1
1.145,0.0039,0.0273,0.3047,-0.4609,10.0352,0.02,0.00,0.00,1
1.158,0.0000,-0.0059,0.0000,-0.6523,9.1953,0.02,0.00,0.00,1
1.175,0.0039,-0.0332,-0.3047,-0.2305,9.1602,0.02,0.00,0.00,1
1.194,-0.0078,-0.0137,0.5742,-0.3437,10.1875,0.02,0.00,0.00,1
1.208,0.0078,-0.0078,-0.5352,-0.4219,8.5000,0.00,0.00,0.00,1
1.225,-0.0078,-0.0215,-0.1914,-0.3047,9.5820,0.00,0.00,0.00,1
1.242,-0.0039,-0.0078,-0.2305,-0.6523,9.1992,0.00,0.00,0.00,1
1.261,-0.0020,-0.0137,-0.4609,-0.3828,8.5820,0.00,0.00,0.00,1
1.277,0.0078,-0.0156,0.0391,-0.3047,9.5000,0.00,0.00,0.00,1
1.293,0.0176,-0.0605,0.0781,-0.6914,9.4258,0.00,0.00,0.00,1
1.314,-0.0039,-0.0605,0.3047,-0.3828,9.9609,0.00,0.00,0.00,1
1.327,0.0059,0.0371,0.3047,-0.3828,9.9609,0.00,0.00,0.00,1
1.347,-0.0039,0.0195,-0.5742,-0.2305,8.3945,0.00,0.00,0.00,1
1.365,0.0098,-0.0137,0.0000,-0.3047,9.6875,0.00,0.00,0.00,1
1.378,-0.0156,0.0645,-0.8047,-0.6914,8.0078,0.00,0.00,0.00,1
1.395,-0.0117,0.0391,0.1914,-0.1523,10.1133,0.00,0.00,0.00,1
1.412,-0.0039,-0.0078,0.0781,-0.4219,9.5391,0.00,0.00,0.00,1
1.429,0.0039,0.0215,0.1523,-0.5742,9.5000,0.00,0.00,0.00,1
1.446,0.0059,0.0254,0.0391,-0.3047,9.6133,0.00,0.00,0.00,1
1.463,-0.0059,0.0742,0.4961,-0.4609,9.8867,0.00,0.00,0.00,1
1.481,-0.0156,0.0488,-0.5352,-0.3047,8.6172,0.00,0.00,0.00,1
