t_s,roll_deg,pitch_deg,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.003,-3.31,0.13,-0.4961,0.4167,-0.4961,8.5430,0.06,0.00,0.00,1
0.022,-3.31,0.13,0.0781,0.2038,-0.5742,9.9609,0.02,0.00,0.00,1
0.041,-3.31,0.13,-0.1914,0.1013,-0.7266,9.2266,0.02,0.00,0.00,1
0.054,-3.31,0.13,-0.6914,0.0163,-0.3828,8.2734,0.02,0.00,0.00,1
0.072,-3.40,0.13,-0.1523,-0.1056,-0.6523,9.1953,0.02,0.00,0.00,1
0.091,-3.40,0.13,0.3437,-0.0118,-0.6523,9.5820,0.02,0.00,0.00,1
0.122,-3.43,0.11,0.5742,0.2099,-0.5742,10.4141,0.02,0.00,0.00,1
0.123,-3.43,0.11,0.5742,0.2099,-0.5742,10.4141,0.02,0.00,0.00,1
0.143,-3.43,0.11,-0.6523,0.1739,-0.4219,8.3555,0.02,0.00,0.00,1
0.162,-3.43,0.11,-0.2695,-0.0298,-0.5742,9.0781,0.02,0.00,0.00,1
0.174,-3.43,0.11,-0.5352,-0.1041,-0.7656,8.5781,0.02,0.00,0.00,1
0.192,-3.43,0.11,0.3828,-0.1529,-0.3828,9.8477,0.02,0.00,0.00,1
0.212,-3.48,0.07,0.1914,-0.0126,-0.4961,9.9258,0.04,0.00,0.00,1
0.224,-3.48,0.07,0.5352,0.0600,-0.7266,9.6484,0.04,0.00,0.00,1
0.244,-3.48,0.07,0.1133,0.1610,-0.5742,9.4609,0.04,0.00,0.00,1
0.261,-3.48,0.07,0.3828,0.2044,-0.4219,10.0000,0.04,0.00,0.00,1
0.283,-3.48,0.07,0.2305,-0.0047,-0.6133,9.7266,0.04,0.00,0.00,1
0.292,-3.48,0.07,0.2305,0.0315,-0.6133,9.7266,0.04,0.00,0.00,1
0.314,-3.48,0.07,-0.3437,-0.0874,-0.5352,8.7773,0.04,0.00,0.00,1
0.333,-3.48,0.07,0.1133,-0.1235,-0.5742,9.4609,0.04,0.00,0.00,1
0.352,-3.56,0.07,0.5742,0.0592,-0.5742,10.1484,0.04,0.00,0.00,1
0.363,-3.56,0.07,0.0000,0.1272,-0.4219,9.1562,0.04,0.00,0.00,1
0.383,-3.56,0.07,0.5742,0.1371,-0.7656,9.8867,0.04,0.00,0.00,1
0.394,-3.56,0.07,0.1523,0.2001,-0.9180,9.3477,0.04,0.00,0.00,1
0.413,-3.56,0.07,-0.8438,0.1069,-0.3828,8.3516,0.07,0.00,0.00,1
0.431,-3.56,0.07,-0.3828,-0.1152,-0.5352,9.2305,0.07,0.00,0.00,1
0.454,-3.56,0.07,0.2305,-0.0794,-0.4219,9.5039,0.07,0.00,0.00,1
0.462,-3.56,0.07,0.2305,-0.0318,-0.4219,9.5039,0.07,0.00,0.00,1
0.481,-3.56,0.07,0.6523,0.1359,-0.4961,10.3477,0.07,0.00,0.00,1
0.503,-3.62,0.04,-0.3437,0.2105,-0.3828,8.6953,0.07,0.00,0.00,1
0.513,-3.62,0.04,-0.3437,0.1254,-0.3828,8.6953,0.07,0.00,0.00,1
0.542,-3.64,0.05,-0.5742,-0.1532,-0.9180,8.5391,0.07,0.00,0.00,1
0.552,-3.64,0.05,0.4609,-0.1351,-0.2695,9.9219,0.07,0.00,0.00,1
0.564,-3.64,0.05,0.6133,0.0090,-0.6914,10.1523,0.07,0.00,0.00,1
0.582,-3.64,0.05,0.5742,0.1773,-0.9180,9.8828,0.07,0.00,0.00,1
0.601,-3.64,0.05,-0.1523,0.1518,-0.4609,9.1211,0.07,0.00,0.00,1
0.621,-3.64,0.05,0.0391,0.1079,-0.4609,9.6094,0.06,0.00,0.00,1
0.632,-3.65,0.02,-0.9180,-0.1191,-0.8438,8.0430,0.06,0.00,0.00,1
0.651,-3.65,0.02,0.1133,-0.1632,-0.4609,9.6914,0.06,0.00,0.00,1
0.681,-3.65,0.02,0.2695,-0.0259,-0.7266,9.6484,0.06,0.00,0.00,1
0.683,-3.65,0.02,0.2695,-0.0259,-0.7266,9.6484,0.06,0.00,0.00,1
0.703,-3.65,0.02,0.6523,0.0895,-0.4219,10.3437,0.06,0.00,0.00,1
0.722,-3.65,0.02,-0.8438,0.1295,-0.7266,8.0820,0.06,0.00,0.00,1
0.734,-3.65,0.02,0.1523,-0.0062,-0.5742,9.6523,0.06,0.00,0.00,1
0.753,-3.65,0.02,-0.3437,-0.0010,-0.6914,9.0781,0.06,0.00,0.00,1
0.774,-3.67,-0.03,-0.3047,-0.1092,-0.5352,8.9258,0.06,0.00,0.00,1
0.792,-3.67,-0.03,0.0391,-0.0998,-0.7656,9.3828,0.06,0.00,0.00,1
0.802,-3.67,-0.03,0.8047,-0.0172,-0.4961,10.3437,0.06,0.00,0.00,1
0.821,-3.67,-0.03,-0.4961,-0.0249,-0.7266,8.3945,0.04,0.00,0.00,1
0.843,-3.67,-0.03,-0.5742,-0.0287,-0.7266,8.8828,0.04,0.00,0.00,1
0.853,-3.67,-0.03,-0.5742,-0.1125,-0.7266,8.8828,0.04,0.00,0.00,1
0.873,-3.67,-0.03,0.0000,-0.2160,-0.7266,9.4219,0.04,0.00,0.00,1
0.892,-3.67,-0.03,0.6133,-0.1057,-0.4961,10.2656,0.04,0.00,0.00,1
0.913,-3.66,-0.06,-0.1133,-0.0214,-0.4961,8.9219,0.04,0.00,0.00,1
0.924,-3.66,-0.06,0.3828,-0.0020,-0.8047,10.1133,0.04,0.00,0.00,1
0.942,-3.66,-0.06,-0.4219,0.0427,-0.7656,8.8867,0.04,0.00,0.00,1
0.961,-3.66,-0.06,-0.6914,-0.1753,-0.5352,8.3164,0.04,0.00,0.00,1
0.973,-3.66,-0.06,-0.1523,-0.2115,-0.6523,9.3047,0.04,0.00,0.00,1
0.992,-3.66,-0.06,0.1914,-0.1152,-0.8047,9.5820,0.04,0.00,0.00,1
1.021,-3.65,-0.04,0.5352,0.1361,-0.6523,10.3477,0.06,0.00,0.00,1
1.024,-3.65,-0.04,0.5352,0.1361,-0.6523,10.3477,0.06,0.00,0.00,1
