t_s,gyro_x_rads,gyro_y_rads,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.021,-0.0156,0.0273,-0.3047,-0.5742,9.3867,0.02,0.00,0.00,1
0.040,-0.0176,0.0840,-0.1133,-0.4961,9.6914,0.02,0.00,0.00,1
0.055,0.0000,-0.0742,-1.5703,-0.5352,7.4297,0.02,0.00,0.00,1
0.072,-0.0176,-0.0039,-0.1914,-0.3047,9.6484,0.02,0.00,0.00,1
0.092,-0.0176,0.0137,-0.5352,-0.5742,8.8437,0.02,0.00,0.00,1
0.106,-0.0195,-0.0449,-0.5352,-0.5742,8.8437,0.02,0.00,0.00,1
0.124,-0.0234,-0.0332,0.1523,-0.8047,9.8437,0.02,0.00,0.00,1
0.143,-0.0039,-0.0586,-0.1523,-0.2695,9.7656,0.02,0.00,0.00,1
0.160,-0.0117,0.0273,-0.6133,-0.5742,9.0781,0.02,0.00,0.00,1
0.174,-0.0137,-0.0273,0.0391,-0.6133,9.5430,0.02,0.00,0.00,1
0.191,-0.0156,-0.0156,-0.6523,-0.3437,9.2305,0.02,0.00,0.00,1
0.209,-0.0293,0.0215,0.0000,-0.2695,10.0742,0.02,0.00,0.00,1
0.225,-0.0020,-0.0488,-1.3789,-0.6914,8.1562,0.02,0.00,0.00,1
0.242,-0.0156,-0.0273,-0.0391,-0.3047,10.4180,0.02,0.00,0.00,1
0.259,-0.0078,0.0078,-0.4219,-0.5352,9.0391,0.02,0.00,0.00,1
0.276,-0.0273,-0.0312,-0.6523,-0.4961,8.9648,0.02,0.00,0.00,1
0.296,-0.0234,-0.0176,0.0391,-0.7266,10.0742,0.02,0.00,0.00,1
0.313,-0.0020,-0.0586,-0.3828,-0.4961,9.2305,0.02,0.00,0.00,1
0.327,-0.0273,0.0469,-0.3828,-0.4219,9.1562,0.02,0.00,0.00,1
0.344,-0.0137,-0.0410,-0.1133,-0.7266,9.3047,0.02,0.00,0.00,1
0.361,-0.0156,-0.0391,-0.6523,-0.4219,8.9258,0.02,0.00,0.00,1
0.379,-0.0195,-0.0293,-0.1523,-0.4961,9.5430,0.02,0.00,0.00,1
0.395,-0.0078,0.0176,-0.8438,-1.1875,8.3516,0.02,0.00,0.00,1
0.412,-0.0156,-0.0020,0.3047,-0.4961,10.1133,0.02,0.00,0.00,1
0.429,-0.0020,-0.0371,-0.3828,-0.4961,8.9648,0.02,0.00,0.00,1
0.446,-0.0078,0.0098,0.1914,-0.4961,9.8086,0.02,0.00,0.00,1
0.463,0.0039,-0.0254,-0.3047,-0.3437,9.3086,0.02,0.00,0.00,1
