t_s,roll_deg,pitch_rv_deg,pitch_game_deg,pitch_comp_deg,gyro_y_rads,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.012,-4.33,-0.06,-0.14,0.00,-0.0703,0.3047,-0.0193,-0.3437,10.2266,0.20,0.00,0.00,1
0.032,-4.33,-0.06,-0.17,-0.14,0.0156,-0.1523,-0.0100,-0.6523,8.6602,0.20,0.00,0.00,1
0.063,-4.33,-0.06,-0.16,-0.09,0.0312,-0.0391,-0.0546,-1.1094,8.8828,0.15,0.00,0.00,1
0.073,-4.33,-0.06,-0.16,-0.01,0.0664,0.5352,-0.0063,-1.2266,9.7656,0.15,0.00,0.00,1
0.093,-4.33,-0.06,-0.19,-0.05,-0.0645,0.3437,0.1359,-0.9180,9.4648,0.15,0.00,0.00,1
0.153,-4.32,-0.22,-0.24,-0.05,0.0254,-0.0391,0.0402,-0.6523,9.4648,0.15,0.00,0.00,1
0.153,-4.32,-0.22,-0.24,-0.05,0.0254,-0.0391,0.0402,-0.6523,9.4648,0.15,0.00,0.00,1
0.202,-4.36,-0.34,-0.29,0.04,0.0488,0.5352,0.1470,-0.8438,10.0312,0.15,0.00,0.00,1
0.202,-4.36,-0.34,-0.29,0.04,0.0488,0.5352,0.1470,-0.8438,10.0312,0.15,0.00,0.00,1
0.203,-4.36,-0.34,-0.29,0.04,0.0488,0.5352,0.1470,-0.8438,10.0312,0.15,0.00,0.00,1
0.213,-4.36,-0.34,-0.29,-0.01,-0.0176,0.5742,0.2098,-0.9570,10.0000,0.15,0.00,0.00,1
0.213,-4.36,-0.34,-0.29,-0.01,-0.0176,0.5742,0.2098,-0.9570,10.0000,0.15,0.00,0.00,1
0.263,-4.43,-0.37,-0.36,0.00,0.0332,-0.7656,-0.0392,-0.6133,8.1992,0.15,0.00,0.00,1
0.293,-4.43,-0.37,-0.43,-0.04,-0.0391,0.1914,0.0231,-0.8438,9.5781,0.15,0.00,0.00,1
0.293,-4.43,-0.37,-0.43,-0.04,-0.0391,0.1914,0.0231,-0.8438,9.5781,0.15,0.00,0.00,1
0.313,-4.43,-0.37,-0.44,-0.01,0.0254,0.1523,0.0718,-0.9961,9.2305,0.15,0.00,0.00,1
0.333,-4.43,-0.37,-0.46,0.03,0.0273,0.9961,0.1787,-0.7266,10.3477,0.15,0.00,0.00,1
0.342,-4.43,-0.37,-0.46,0.08,0.0547,0.9961,0.3043,-0.7266,10.3477,0.15,0.00,0.00,1
