t_s,gyro_x_rads,gyro_y_rads,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.021,0.0039,0.0215,-0.2695,-0.4219,9.0781,0.00,0.00,0.00,1
0.038,-0.0078,0.0039,0.1133,-0.4609,9.6094,0.00,0.00,0.00,1
0.055,-0.0156,0.0352,0.7656,-0.4219,10.3867,0.00,0.00,0.00,1
0.072,-0.0059,0.0059,-0.3047,-0.3828,8.7344,0.00,0.00,0.00,1
0.091,-0.0020,0.0547,-0.0781,-0.4609,9.7656,0.00,0.00,0.00,1
0.106,-0.0039,-0.0391,-0.5352,-0.4219,8.8828,0.00,0.00,0.00,1
0.123,-0.0098,-0.0176,-0.6523,-0.3437,8.5039,0.00,0.00,0.00,1
0.145,-0.0117,0.0078,0.5742,-0.5352,10.1523,0.00,0.00,0.00,1
0.161,0.0020,-0.0078,0.1914,-0.3047,9.5039,0.00,0.00,0.00,1
0.175,-0.0117,-0.0371,0.2695,-0.5742,9.8437,0.00,0.00,0.00,1
0.193,-0.0098,-0.0605,-0.3437,-0.4961,9.1602,0.00,0.00,0.00,1
0.210,-0.0059,-0.0449,-0.9180,-0.3047,8.1992,0.00,0.00,0.00,1
0.225,0.0098,0.0176,-0.3437,-0.4219,9.2695,0.00,0.00,0.00,1
0.242,0.0000,0.0195,0.0000,-0.6523,9.4219,0.00,0.00,0.00,1
0.260,-0.0137,-0.0117,0.6133,-0.2695,10.0742,0.00,0.00,0.00,1
0.276,-0.0020,0.0605,0.3437,-0.5352,10.1484,0.00,0.00,0.00,1
0.293,0.0020,0.0625,0.3437,-0.6133,9.6914,0.00,0.00,0.00,1
0.311,0.0059,0.0156,-0.6523,-0.3047,8.4258,0.00,0.00,0.00,1
0.327,-0.0078,-0.0176,-0.3437,-0.2695,9.1953,0.00,0.00,0.00,1
0.346,0.0039,-0.0254,0.4609,-0.2695,10.2656,0.00,0.00,0.00,1
0.364,-0.0039,0.0586,0.1133,-0.4609,9.8047,0.00,0.00,0.00,1
0.378,-0.0020,-0.0293,0.3437,-0.5352,9.8047,0.00,0.00,0.00,1
0.395,-0.0020,-0.0273,-0.0781,-0.3828,9.3867,0.00,0.00,0.00,1
0.412,-0.0176,0.0000,0.3437,-0.3437,9.9219,0.00,0.00,0.00,1
0.431,-0.0020,0.0000,-0.9180,-0.4961,8.0430,0.00,0.00,0.00,1
0.446,-0.0039,-0.0527,-0.0781,-0.3437,9.6914,0.00,0.00,0.00,1
0.464,-0.0020,0.0098,-0.1914,-0.6523,9.5000,0.00,0.00,0.00,1
0.481,0.0059,0.0078,-0.6133,-0.3828,8.4219,0.00,0.00,0.00,1
0.497,-0.0020,-0.0156,-0.1133,-0.4219,9.6523,0.00,0.00,0.00,1
0.516,0.0117,-0.0645,0.4219,-0.2695,10.0703,0.00,0.00,0.00,1
0.534,-0.0020,0.0039,0.2305,-0.4219,9.8867,0.00,0.00,0.00,1
0.548,0.0020,-0.0059,0.1133,-0.6914,9.3828,0.00,0.00,0.00,1
0.565,-0.0020,-0.0254,-0.1523,-0.3437,9.1211,0.00,0.00,0.00,1
0.582,-0.0098,-0.0039,0.2695,-0.3828,9.9219,0.00,0.00,0.00,1
0.602,0.0059,-0.0254,-0.9570,-0.5352,7.8555,0.00,0.00,0.00,1
0.616,-0.0098,-0.0078,0.1523,-0.2695,9.8047,0.00,0.00,0.00,1
0.633,-0.0020,-0.0117,-0.1914,-0.6133,9.5000,0.00,0.00,0.00,1
0.651,0.0000,-0.0176,-0.4961,-0.4609,8.6211,0.00,0.00,0.00,1
0.667,0.0039,-0.0195,-0.0781,-0.3828,9.4219,0.00,0.00,0.00,1
0.684,0.0156,-0.0488,0.4219,-0.5742,9.9219,0.00,0.00,0.00,1
0.704,-0.0039,-0.0488,0.3047,-0.4219,10.0039,0.00,0.00,0.00,1
0.722,0.0039,-0.0098,-0.0781,-0.6523,9.2656,0.00,0.00,0.00,1
0.735,-0.0020,0.0234,-0.6523,-0.1914,8.5781,0.00,0.00,0.00,1
0.753,0.0078,-0.0254,-0.3437,-0.3437,9.2656,0.00,0.00,0.00,1
0.770,0.0176,-0.0684,-0.4961,-0.6523,8.5820,0.00,0.00,0.00,1
0.786,-0.0020,0.0098,0.4219,-0.2305,10.2305,0.00,0.00,0.00,1
0.803,-0.0020,0.0352,0.5742,-0.4609,10.2695,0.00,0.00,0.00,1
0.822,0.0059,0.0215,0.1914,-0.6523,9.5391,0.00,0.00,0.00,1
0.837,-0.0117,0.0078,-0.3828,-0.3047,8.7344,0.00,0.00,0.00,1
0.854,-0.0176,0.0293,-0.0391,-0.3047,9.7266,0.00,0.00,0.00,1
0.871,0.0020,-0.0059,-0.9961,-0.6523,8.0430,0.00,0.00,0.00,1
0.893,0.0039,0.0664,0.4609,-0.4219,10.0703,0.00,0.00,0.00,1
0.905,-0.0078,-0.0645,0.6133,-0.6523,10.0312,0.00,0.00,0.00,1
0.924,-0.0117,-0.0430,-0.1914,-0.2695,8.9609,0.00,0.00,0.00,1
0.942,-0.0078,-0.0137,0.0000,-0.2695,9.5820,0.00,0.00,0.00,1
0.956,0.0020,0.0137,-1.1484,-0.6133,7.7383,0.00,0.00,0.00,1
0.973,-0.0176,-0.0137,0.0000,-0.2695,9.7656,0.00,0.00,0.00,1
0.991,-0.0059,-0.0430,0.0000,-0.3437,9.6914,0.00,0.00,0.00,1
1.007,0.0039,0.0684,0.4609,-0.6523,9.9648,0.00,0.00,0.00,1
1.025,0.0000,0.0195,0.1914,-0.3437,9.4258,0.00,0.00,0.00,1
1.041,-0.0039,0.0352,0.3828,-0.3047,10.1523,0.00,0.00,0.00,1
1.058,0.0098,-0.0430,-0.9961,-0.4609,7.8164,0.00,0.00,0.00,1
1.078,-0.0039,0.0527,-0.2695,-0.4961,9.2656,0.00,0.00,0.00,1
1.093,-0.0039,0.0410,-0.3437,-0.4609,8.8867,0.00,0.00,0.00,1
1.111,0.0020,-0.0020,0.0000,-0.4609,9.5039,0.00,0.00,0.00,1
1.126,-0.0059,-0.0195,0.4961,-0.4961,10.1484,0.00,0.00,0.00,1
1.143,0.0000,-0.0234,-0.0391,-0.3047,9.1562,0.00,0.00,0.00,1
1.160,-0.0078,0.0625,0.0391,-0.4961,9.7305,0.00,0.00,0.00,1
