t_s,roll_deg,pitch_deg,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.000,-1.95,-0.33,0.1523,0.1523,-0.3047,9.1992,0.07,0.00,0.00,1
0.031,-2.00,-0.37,-0.0391,0.0972,-0.4961,8.7773,0.07,0.00,0.00,1
0.042,-2.00,-0.37,-0.4961,0.0397,-0.3437,8.9219,0.07,0.00,0.00,1
0.062,-2.01,-0.37,0.9180,0.1700,-0.6523,9.8477,0.07,0.00,0.00,1
0.072,-2.01,-0.37,0.6133,0.3112,-0.2695,9.8867,0.07,0.00,0.00,1
0.092,-2.01,-0.37,-0.0391,0.3446,-0.8047,9.0391,0.06,0.00,0.00,1
0.102,-2.01,-0.37,0.4219,0.2966,-0.0781,9.6133,0.06,0.00,0.00,1
0.122,-2.01,-0.37,-0.8828,0.2278,-0.3828,8.4219,0.06,0.00,0.00,1
0.140,-2.01,-0.37,0.3828,0.1292,-0.3047,9.5391,0.06,0.00,0.00,1
0.162,-2.01,-0.37,-0.0781,0.2488,-0.8828,8.9648,0.06,0.00,0.00,1
0.171,-2.01,-0.37,-0.0781,0.1986,-0.8828,8.9648,0.06,0.00,0.00,1
0.189,-2.01,-0.37,0.5352,0.2558,0.0391,10.0312,0.06,0.00,0.00,1
0.212,-1.97,-0.43,0.0391,-0.0819,-0.3437,9.4219,0.06,0.00,0.00,1
0.221,-1.97,-0.43,0.0391,-0.0633,-0.3437,9.4219,0.06,0.00,0.00,1
0.242,-1.97,-0.43,-0.0391,0.0982,-0.9961,8.8867,0.06,0.00,0.00,1
0.262,-1.97,-0.43,0.3437,0.0899,0.1133,9.5430,0.06,0.00,0.00,1
0.272,-1.97,-0.43,-0.7266,0.0604,-0.3437,8.6211,0.06,0.00,0.00,1
0.292,-1.97,-0.43,0.1133,-0.0956,-0.4961,9.2656,0.06,0.00,0.00,1
0.309,-1.97,-0.43,0.8438,0.1373,0.0000,10.6484,0.06,0.00,0.00,1
0.329,-1.97,-0.43,-0.3828,0.0662,-0.8828,8.4219,0.06,0.00,0.00,1
0.341,-1.88,-0.42,0.6914,0.2046,0.2305,10.0039,0.06,0.00,0.00,1
0.360,-1.88,-0.42,-0.6914,0.0645,-0.4609,8.5391,0.06,0.00,0.00,1
0.391,-1.84,-0.44,0.8438,0.2603,0.0781,10.6094,0.06,0.00,0.00,1
0.402,-1.84,-0.44,-0.3047,0.2580,-0.7266,8.6172,0.06,0.00,0.00,1
0.412,-1.84,-0.44,0.6523,0.2101,0.1523,9.9648,0.06,0.00,0.00,1
0.430,-1.84,-0.44,-0.5352,0.2405,-0.2695,8.8125,0.06,0.00,0.00,1
0.450,-1.79,-0.44,0.0391,0.1031,-0.4219,9.2266,0.06,0.00,0.00,1
