t_s,roll_deg,pitch_deg,pitch_gravity_deg,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
3.232,-4.39,-2.56,-4.21,2.3750,2.8489,-1.4570,8.0391,1.41,34.97,33.07,1
3.251,-4.36,-2.60,-4.21,2.6055,2.7383,-0.8828,9.0430,1.98,37.43,35.42,1
3.274,-4.34,-2.64,-4.21,2.2969,2.7543,-2.2227,8.0820,1.98,37.43,36.02,1
3.283,-4.32,-2.63,-4.21,2.2969,2.6840,-2.2227,8.0820,1.98,37.96,36.02,1
3.304,-4.28,-2.65,-4.21,5.0547,2.7806,-2.6055,10.5352,1.98,37.96,38.63,1
3.323,-4.25,-2.64,-4.21,2.9492,3.2571,0.5352,9.3047,1.98,40.39,39.47,1
3.335,-4.22,-2.69,-4.21,3.6406,3.2443,-1.3008,10.7695,1.98,41.17,39.47,1
3.354,-4.18,-2.67,-4.21,3.0273,3.3076,-1.0352,9.1562,1.98,43.52,40.98,1
3.371,-4.14,-2.71,-4.21,1.8398,3.0457,0.9570,7.5117,1.98,43.52,42.07,1
3.391,-4.07,-2.77,-4.21,5.7852,3.5769,-1.9141,11.1523,1.98,43.45,44.78,1
3.404,-4.04,-2.79,-4.21,3.2578,3.7139,0.2695,9.4258,1.98,46.67,44.78,1
3.421,-4.00,-2.81,-4.21,3.5234,3.6172,-1.4570,10.3047,1.98,46.66,44.53,1
3.444,-3.93,-2.82,-4.21,2.3359,3.5841,0.2695,7.5078,1.98,48.48,47.05,1
3.453,-3.91,-2.78,-4.21,2.3359,3.3924,0.2695,7.5078,4.28,49.27,47.35,1
3.471,-3.85,-2.82,-4.21,5.2852,3.7455,-1.9922,11.2227,4.28,49.27,47.35,1
3.493,-3.78,-2.89,-4.21,3.8320,3.4152,-1.7617,11.3398,4.28,51.36,49.06,1
3.512,-3.72,-2.86,-4.21,3.0664,3.3879,-0.4609,8.8477,4.28,51.70,49.55,1
3.524,-3.71,-2.88,-4.21,2.3359,3.2583,0.4609,7.7383,4.28,53.06,52.44,1
3.544,-3.65,-2.83,-4.21,6.4375,3.3248,-1.9531,12.8672,4.28,54.37,52.25,1
3.561,-3.57,-2.89,-4.21,2.2617,3.4618,1.0352,7.9297,4.28,55.72,53.74,1
3.573,-3.53,-2.90,-4.21,3.7539,3.3969,-1.9922,11.1484,4.28,56.54,53.67,1
3.591,-3.45,-2.92,-4.21,3.7148,3.5099,-0.3437,9.1992,4.28,57.29,56.72,1
3.611,-3.37,-2.95,-4.21,1.3789,3.0511,0.0000,6.9727,4.28,57.83,56.73,1
3.623,-3.33,-2.97,-4.21,6.0898,3.7236,-2.2227,11.4922,4.28,60.48,58.09,1
3.641,-3.24,-3.03,-4.21,3.6016,3.8440,1.5313,11.1484,4.28,60.20,57.82,1
3.664,-3.16,-3.04,-4.21,2.8711,3.1376,1.6836,7.9727,6.93,61.87,61.23,1
3.674,-3.13,-2.99,-4.21,2.8711,3.0966,1.6836,7.9727,6.93,61.79,60.44,1
