t_s,roll_deg,pitch_deg,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.005,-5.36,-0.11,0.3047,0.2723,-0.9961,9.7266,0.04,0.00,0.00,1
0.025,-5.37,-0.09,-0.2695,0.1563,-0.7656,8.8437,0.04,0.00,0.00,1
0.044,-5.37,-0.11,0.0000,0.0708,-0.7656,9.6875,0.04,0.00,0.00,1
0.056,-5.38,-0.09,-0.6914,0.0046,-1.1094,8.3945,0.04,0.00,0.00,1
0.073,-5.37,-0.10,0.4609,0.0223,-0.5742,10.1133,0.04,0.00,0.00,1
0.093,-5.38,-0.07,0.3828,0.1294,-1.0352,9.5820,0.04,0.00,0.00,1
0.107,-5.38,-0.06,0.6914,0.2538,-0.9961,10.3437,0.04,0.00,0.00,1
0.124,-5.39,-0.06,-0.1914,0.1825,-0.8438,8.7734,0.04,0.00,0.00,1
0.144,-5.39,-0.05,-0.9570,0.0852,-1.1094,8.1172,0.04,0.00,0.00,1
0.158,-5.39,-0.05,-0.9570,-0.0749,-1.1094,8.1172,0.04,0.00,0.00,1
0.175,-5.40,-0.04,-0.1914,-0.0575,-1.0352,8.9609,0.04,0.00,0.00,1
0.195,-5.40,-0.03,-0.3047,-0.1045,-0.8828,8.9609,0.04,0.00,0.00,1
0.214,-5.41,-0.04,0.2695,-0.0457,-0.6914,9.6523,0.04,0.00,0.00,1
0.226,-5.41,-0.03,0.2695,0.0027,-0.8828,9.5820,0.04,0.00,0.00,1
0.244,-5.41,-0.04,-0.1133,0.0090,-0.7266,9.4648,0.04,0.00,0.00,1
0.264,-5.42,-0.05,0.2305,0.0504,-0.9180,9.6133,0.04,0.00,0.00,1
0.277,-5.42,-0.04,0.2305,0.0902,-1.1094,9.7305,0.04,0.00,0.00,1
0.294,-5.43,-0.04,-0.5742,-0.0481,-0.8828,8.2344,0.04,0.00,0.00,1
0.317,-5.44,-0.04,-0.3828,-0.1321,-1.1094,8.6562,0.04,0.00,0.00,1
0.328,-5.44,-0.05,-0.3828,-0.1706,-1.1094,8.6562,0.04,0.00,0.00,1
0.347,-5.44,-0.07,0.3047,-0.0090,-0.8438,9.9258,0.04,0.00,0.00,1
0.365,-5.45,-0.07,0.2695,0.0772,-0.9961,9.4648,0.04,0.00,0.00,1
0.384,-5.46,-0.07,0.0781,0.1004,-0.7656,9.1992,0.04,0.00,0.00,1
0.396,-5.46,-0.08,0.2695,0.1123,-0.8047,9.8086,0.04,0.00,0.00,1
0.413,-5.48,-0.07,-0.9961,-0.1142,-0.9180,8.3516,0.04,0.00,0.00,1
0.434,-5.49,-0.08,0.2695,-0.0842,-0.7656,9.4609,0.04,0.00,0.00,1
0.447,-5.50,-0.09,-0.0391,-0.0742,-0.9570,9.4648,0.04,0.00,0.00,1
0.464,-5.51,-0.07,-0.3828,-0.1403,-0.7656,8.6992,0.04,0.00,0.00,1
0.487,-5.53,-0.09,0.2695,-0.0770,-0.8047,9.8086,0.04,0.00,0.00,1
0.498,-5.55,-0.08,0.2695,-0.0237,-0.8047,9.8086,0.04,0.00,0.00,1
0.517,-5.56,-0.08,0.1133,0.0248,-0.9180,9.5430,0.04,0.00,0.00,1
0.534,-5.58,-0.07,0.1523,0.0530,-0.8438,9.9219,0.04,0.00,0.00,1
0.554,-5.61,-0.06,-0.4219,-0.0402,-0.9961,8.1562,0.04,0.00,0.00,1
0.566,-5.61,-0.06,-0.0391,-0.0682,-0.6914,9.9609,0.04,0.00,0.00,1
0.585,-5.63,-0.06,-0.4609,-0.1247,-1.1484,8.3906,0.04,0.00,0.00,1
0.603,-5.66,-0.07,0.4219,-0.0440,-0.8047,9.9648,0.04,0.00,0.00,1
0.617,-5.67,-0.06,0.1914,0.0091,-0.8828,9.7695,0.04,0.00,0.00,1
0.634,-5.70,-0.05,0.4219,0.1223,-1.2656,9.4219,0.04,0.00,0.00,1
0.657,-5.72,-0.05,0.3047,0.1061,-0.9180,9.6133,0.04,0.00,0.00,1
0.668,-5.74,-0.05,0.3047,0.1366,-0.9180,9.6133,0.04,0.00,0.00,1
0.687,-5.75,-0.06,0.0781,-0.0811,-0.9180,9.6914,0.04,0.00,0.00,1
0.705,-5.77,-0.06,-0.1914,-0.0575,-0.9570,9.1172,0.04,0.00,0.00,1
0.724,-5.78,-0.06,0.2305,-0.0307,-1.0352,9.8086,0.04,0.00,0.00,1
0.736,-5.80,-0.04,0.1133,0.0177,-0.9961,9.0820,0.04,0.00,0.00,1
0.755,-5.83,-0.05,0.3437,0.0633,-0.7656,10.1875,0.04,0.00,0.00,1
0.773,-5.84,-0.06,-0.8438,-0.1039,-0.9570,7.8555,0.04,0.00,0.00,1
0.787,-5.85,-0.07,0.1523,-0.1379,-1.1484,9.5000,0.04,0.00,0.00,1
0.805,-5.88,-0.06,-0.0781,-0.0899,-0.6914,10.0000,0.04,0.00,0.00,1
0.824,-5.90,-0.05,-0.3047,-0.1367,-1.2266,8.2344,0.04,0.00,0.00,1
0.845,-5.92,-0.07,0.3047,-0.0759,-0.9961,9.9258,0.04,0.00,0.00,1
0.855,-5.93,-0.07,0.3047,-0.0175,-0.9961,9.9258,0.04,0.00,0.00,1
0.875,-5.95,-0.09,0.2695,0.0232,-1.1484,10.0703,0.04,0.00,0.00,1
0.895,-5.98,-0.07,0.1133,0.0806,-1.3008,9.4258,0.04,0.00,0.00,1
0.907,-5.99,-0.06,-0.7266,0.0206,-1.0742,8.4258,0.04,0.00,0.00,1
0.925,-6.00,-0.05,-0.2305,-0.1516,-1.1094,9.5820,0.04,0.00,0.00,1
0.943,-6.01,-0.04,-0.1133,-0.1525,-1.5703,8.8477,0.04,0.00,0.00,1
0.957,-6.02,-0.05,0.5742,-0.0915,-0.9961,10.4180,0.04,0.00,0.00,1
0.974,-6.03,-0.04,0.4219,0.1017,-0.9180,10.4570,0.04,0.00,0.00,1
0.994,-6.03,-0.02,0.4961,0.2090,-1.4570,9.9219,0.04,0.00,0.00,1
1.008,-6.03,0.01,-1.0352,-0.0664,-0.5352,9.1211,0.04,0.00,0.00,1
1.025,-6.03,0.03,-0.0781,-0.1849,-1.0742,8.9609,0.04,0.00,0.00,1
1.047,-6.03,0.05,0.8047,-0.0778,-0.7266,10.3828,0.04,0.00,0.00,1
1.065,-6.04,0.09,0.3437,0.1356,-1.0742,9.4609,0.04,0.00,0.00,1
1.077,-6.04,0.10,0.7656,0.2154,-0.7656,10.7305,0.04,0.00,0.00,1
1.094,-6.06,0.14,-0.1914,0.2949,-0.9961,8.5391,0.04,0.00,0.00,1
1.114,-6.07,0.17,0.2695,0.2311,-0.4609,10.0312,0.04,0.00,0.00,1
1.127,-6.08,0.19,-0.8438,0.1479,-0.9570,8.0820,0.04,0.00,0.00,1
1.144,-6.10,0.20,0.5352,0.1150,-0.5352,10.6484,0.04,0.00,0.00,1
1.164,-6.14,0.25,0.1914,0.1581,-1.0352,9.0391,0.04,0.00,0.00,1
1.178,-6.15,0.28,-0.2695,0.1263,-0.7656,9.5781,0.04,0.00,0.00,1
1.195,-6.19,0.32,0.1523,0.0847,-0.8047,9.6523,0.04,0.00,0.00,1
1.216,-6.23,0.37,-0.1133,0.1255,-0.7266,9.3867,0.04,0.00,0.00,1
1.229,-6.24,0.38,-0.1133,0.0888,-0.7266,9.3867,0.04,0.00,0.00,1
1.247,-6.29,0.40,0.2305,0.0936,-1.2656,9.9648,0.04,0.00,0.00,1
1.265,-6.33,0.46,-0.4961,0.0743,-1.1875,8.6953,0.04,0.00,0.00,1
1.284,-6.37,0.51,-0.0391,-0.0190,-0.9961,9.4219,0.04,0.00,0.00,1
1.297,-6.39,0.54,-0.8438,-0.0865,-1.1484,8.2734,0.04,0.00,0.00,1
