t_s,roll_deg,pitch_rv_deg,pitch_game_deg,pitch_comp_deg,gyro_y_rads,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.030,-2.55,-0.22,-0.22,0.00,-0.0273,0.4219,0.1969,-0.5352,10.1523,0.00,0.00,0.00,1
0.061,-2.59,-0.25,-0.24,-0.24,0.0039,0.8047,0.3333,-0.8438,9.7695,0.00,0.00,0.00,1
0.090,-2.59,-0.25,-0.20,-0.18,-0.0059,0.9961,0.5309,-0.5742,10.1523,0.00,0.00,0.00,1
0.091,-2.59,-0.25,-0.20,-0.18,-0.0059,0.9961,0.5309,-0.5742,10.1523,0.02,0.00,0.00,1
0.120,-2.59,-0.25,-0.23,-0.24,0.0352,0.4961,0.4018,-0.4961,10.0742,0.02,0.00,0.00,1
0.121,-2.59,-0.25,-0.23,-0.24,0.0352,0.4961,0.4018,-0.4961,10.0742,0.02,0.00,0.00,1
0.150,-2.59,-0.25,-0.26,-0.28,-0.0332,-0.4961,0.2845,-0.4219,8.5391,0.02,0.00,0.00,1
0.151,-2.59,-0.25,-0.26,-0.28,-0.0332,-0.4961,0.2845,-0.4219,8.5391,0.02,0.00,0.00,1
0.170,-2.59,-0.25,-0.26,-0.22,0.0137,0.0391,0.1815,-0.6523,9.5820,0.02,0.00,0.00,1
0.200,-2.59,-0.25,-0.22,-0.17,0.0723,0.6133,0.1187,-0.4219,10.1133,0.02,0.00,0.00,1
0.201,-2.59,-0.25,-0.22,-0.17,0.0723,0.6133,0.1187,-0.4219,10.1133,0.02,0.00,0.00,1
0.231,-2.59,-0.25,-0.19,-0.07,-0.0176,0.6914,0.2685,-0.5742,9.8867,0.02,0.00,0.00,1
0.261,-2.59,-0.25,-0.21,-0.10,-0.0059,0.3828,0.2815,-0.4961,9.5430,0.02,0.00,0.00,1
0.262,-2.59,-0.25,-0.21,-0.10,-0.0059,0.3828,0.2815,-0.4961,9.5430,0.02,0.00,0.00,1
0.271,-2.59,-0.25,-0.21,-0.13,-0.0293,-0.7266,0.2083,-0.5742,7.7383,0.02,0.00,0.00,1
0.291,-2.59,-0.25,-0.26,-0.15,-0.0234,0.3047,0.1178,-0.4609,9.8086,0.02,0.00,0.00,1
0.310,-2.59,-0.25,-0.26,-0.14,0.0098,0.4219,0.2075,-0.7266,9.5781,0.00,0.00,0.00,1
0.341,-2.57,-0.28,-0.26,-0.12,0.0098,0.1523,0.1599,-0.3437,9.3477,0.00,0.00,0.00,1
0.350,-2.57,-0.28,-0.26,-0.06,0.0352,0.8438,0.2141,-0.4219,10.1875,0.00,0.00,0.00,1
0.370,-2.57,-0.28,-0.30,-0.11,-0.0625,0.3437,0.3181,-0.1523,9.5430,0.00,0.00,0.00,1
0.391,-2.57,-0.28,-0.34,-0.17,-0.0527,0.1133,0.3395,-0.5742,9.4258,0.00,0.00,0.00,1
0.400,-2.57,-0.28,-0.34,-0.21,-0.0332,0.1133,0.3047,-0.5742,9.4258,0.00,0.00,0.00,1
0.430,-2.57,-0.28,-0.35,-0.19,0.0352,0.2305,0.1545,-0.3828,9.7695,0.00,0.00,0.00,1
0.431,-2.57,-0.28,-0.35,-0.19,0.0352,0.2305,0.1545,-0.3828,9.7695,0.00,0.00,0.00,1
0.451,-2.57,-0.28,-0.37,-0.15,0.0195,0.0000,0.1294,-0.6133,8.6953,0.00,0.00,0.00,1
0.471,-2.57,-0.28,-0.40,-0.17,-0.0117,0.3437,0.2375,-0.2695,9.1953,0.00,0.00,0.00,1
0.480,-2.57,-0.28,-0.40,-0.19,-0.0117,0.3437,0.2538,-0.2695,9.1953,0.00,0.00,0.00,1
0.490,-2.57,-0.28,-0.40,-0.17,0.0293,0.3828,0.2708,-0.5352,9.3477,0.00,0.00,0.00,1
0.571,-2.52,-0.45,-0.45,-0.18,-0.0098,0.1133,0.0904,-0.4219,9.5781,0.00,0.00,0.00,1
0.572,-2.52,-0.45,-0.45,-0.18,-0.0098,0.1133,0.0904,-0.4219,9.5781,0.00,0.00,0.00,1
0.590,-2.53,-0.48,-0.45,0.00,0.0391,-0.2305,0.0208,-0.3437,8.6562,0.00,0.00,0.00,1
0.591,-2.53,-0.48,-0.45,0.00,0.0391,-0.2305,0.0208,-0.3437,8.6562,0.00,0.00,0.00,1
0.611,-2.53,-0.48,-0.47,0.03,0.0195,0.6523,0.0869,-0.5352,9.7656,0.00,0.00,0.00,1
0.611,-2.53,-0.48,-0.47,0.03,0.0195,0.6523,0.0869,-0.5352,9.7656,0.00,0.00,0.00,1
0.621,-2.53,-0.48,-0.47,0.08,0.0566,0.6523,0.1738,-0.5352,9.7656,0.00,0.00,0.00,1
0.631,-2.53,-0.48,-0.47,0.07,-0.0234,0.3437,0.2226,-0.2695,9.4219,0.00,0.00,0.00,1
0.650,-2.53,-0.48,-0.44,0.09,0.0293,0.6523,0.3322,-0.3828,9.6484,0.00,0.00,0.00,1
0.681,-2.57,-0.45,-0.43,0.05,-0.0273,-0.5352,0.1767,-0.1133,8.1953,0.00,0.00,0.00,1
0.711,-2.57,-0.45,-0.45,0.07,0.0098,-0.3047,-0.0131,-0.5742,8.5820,0.00,0.00,0.00,1
0.711,-2.57,-0.45,-0.45,0.07,0.0098,-0.3047,-0.0131,-0.5742,8.5820,0.00,0.00,0.00,1
0.760,-2.63,-0.44,-0.43,0.01,-0.0312,0.7656,0.3833,-0.6133,9.8828,0.00,0.00,0.00,1
0.761,-2.63,-0.44,-0.43,0.01,-0.0312,0.7656,0.3833,-0.6133,9.8828,0.00,0.00,0.00,1
0.761,-2.63,-0.44,-0.43,0.01,-0.0312,0.7656,0.3833,-0.6133,9.8828,0.00,0.00,0.00,1
0.771,-2.63,-0.44,-0.43,-0.09,-0.0352,0.3047,0.4052,-0.3437,9.2695,0.00,0.00,0.00,1
0.820,-2.65,-0.51,-0.46,-0.09,-0.0156,0.3828,0.2336,-0.1914,10.2266,0.00,0.00,0.00,1
0.821,-2.65,-0.51,-0.46,-0.09,-0.0156,0.3828,0.2336,-0.1914,10.2266,0.00,0.00,0.00,1
0.851,-2.65,-0.51,-0.49,-0.10,-0.0020,-0.4609,0.1458,-0.4961,8.3125,0.00,0.00,0.00,1
0.852,-2.65,-0.51,-0.49,-0.10,-0.0020,-0.4609,0.1458,-0.4961,8.3125,0.00,0.00,0.00,1
0.901,-2.65,-0.51,-0.48,-0.12,-0.0527,0.9180,0.1976,-0.4219,10.2266,0.00,0.00,0.00,1
0.902,-2.65,-0.51,-0.48,-0.12,-0.0527,0.9180,0.1976,-0.4219,10.2266,0.00,0.00,0.00,1
0.930,-2.70,-0.48,-0.47,-0.10,0.0176,-0.0781,0.1967,-0.6133,8.9219,0.00,0.00,0.00,1
0.931,-2.70,-0.48,-0.47,-0.10,0.0176,-0.0781,0.1967,-0.6133,8.9219,0.00,0.00,0.00,1
0.931,-2.70,-0.48,-0.47,-0.10,0.0176,-0.0781,0.1967,-0.6133,8.9219,0.00,0.00,0.00,1
0.961,-2.70,-0.48,-0.49,-0.12,-0.0410,0.6523,0.2968,-0.5742,10.0352,0.00,0.00,0.00,1
0.961,-2.70,-0.48,-0.49,-0.12,-0.0410,0.6523,0.2968,-0.5742,10.0352,0.00,0.00,0.00,1
0.991,-2.70,-0.48,-0.55,-0.21,0.0117,0.4219,0.2643,-0.3828,9.5000,0.00,0.00,0.00,1
0.992,-2.70,-0.48,-0.55,-0.21,0.0117,0.4219,0.2643,-0.3828,9.5000,0.00,0.00,0.00,1
1.011,-2.70,-0.48,-0.57,-0.23,-0.0195,0.4961,0.3344,-0.7656,9.6875,0.00,0.00,0.00,1
1.031,-2.70,-0.48,-0.57,-0.26,-0.0312,0.1133,0.2507,-0.4961,9.6094,0.00,0.00,0.00,1
1.040,-2.70,-0.48,-0.57,-0.25,0.0059,0.1133,0.2296,-0.4961,9.6094,0.00,0.00,0.00,1
1.071,-2.71,-0.57,-0.56,-0.23,0.0469,0.6133,0.1704,-0.2305,10.1523,0.00,0.00,0.00,1
1.072,-2.71,-0.57,-0.56,-0.23,0.0469,0.6133,0.1704,-0.2305,10.1523,0.00,0.00,0.00,1
1.101,-2.71,-0.55,-0.54,-0.14,0.0508,0.0391,0.1859,-0.5742,9.0781,0.00,0.00,0.00,1
1.101,-2.71,-0.55,-0.54,-0.14,0.0508,0.0391,0.1859,-0.5742,9.0781,0.02,0.00,0.00,1
1.131,-2.71,-0.55,-0.56,-0.18,-0.0215,0.6523,0.3092,-0.5742,10.1133,0.02,0.00,0.00,1
1.151,-2.71,-0.55,-0.59,-0.24,-0.0547,-0.0781,0.2645,-0.4219,8.8437,0.02,0.00,0.00,1
1.152,-2.71,-0.55,-0.59,-0.24,-0.0547,-0.0781,0.2645,-0.4219,8.8437,0.02,0.00,0.00,1
1.171,-2.68,-0.64,-0.59,-0.29,-0.0410,0.3437,0.2933,-0.8828,9.7656,0.02,0.00,0.00,1
1.191,-2.68,-0.64,-0.59,-0.27,-0.0215,-0.5352,0.2373,-0.2695,8.2383,0.02,0.00,0.00,1
1.241,-2.68,-0.64,-0.62,-0.24,0.0293,-0.3828,-0.0610,-0.6523,8.5430,0.02,0.00,0.00,1
1.241,-2.68,-0.64,-0.62,-0.24,0.0293,-0.3828,-0.0610,-0.6523,8.5430,0.02,0.00,0.00,1
1.271,-2.68,-0.64,-0.64,-0.28,-0.0312,0.3828,0.1048,-0.4961,9.6484,0.02,0.00,0.00,1
1.272,-2.68,-0.64,-0.64,-0.28,-0.0312,0.3828,0.1048,-0.4961,9.6484,0.02,0.00,0.00,1
1.290,-2.65,-0.66,-0.64,-0.32,-0.0293,0.1914,0.1413,-0.4219,8.9648,0.02,0.00,0.00,1
1.291,-2.65,-0.66,-0.64,-0.32,-0.0293,0.1914,0.1413,-0.4219,8.9648,0.00,0.00,0.00,1
1.321,-2.65,-0.66,-0.63,-0.29,0.0645,-0.6914,0.0475,-0.6133,7.7773,0.00,0.00,0.00,1
1.322,-2.65,-0.66,-0.63,-0.29,0.0645,-0.6914,0.0475,-0.6133,7.7773,0.00,0.00,0.00,1
1.350,-2.65,-0.61,-0.60,-0.24,0.0430,-0.0781,0.0551,-0.3047,9.5000,0.00,0.00,0.00,1
1.381,-2.65,-0.61,-0.60,-0.17,-0.0352,0.4219,0.1069,-0.3047,9.6914,0.00,0.00,0.00,1
1.381,-2.65,-0.61,-0.60,-0.17,-0.0352,0.4219,0.1069,-0.3047,9.6914,0.00,0.00,0.00,1
1.411,-2.65,-0.61,-0.60,-0.17,0.0000,0.4961,0.2562,-0.4609,9.8047,0.00,0.00,0.00,1
1.411,-2.65,-0.61,-0.60,-0.17,0.0000,0.4961,0.2562,-0.4609,9.8047,0.00,0.00,0.00,1
