t_s,gyro_x_rads,gyro_y_rads,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.020,-0.0078,0.0195,0.5352,-0.2695,10.1094,0.00,0.00,0.00,1
0.037,0.0000,0.0527,0.2305,-0.5352,9.8437,0.00,0.00,0.00,1
0.054,0.0078,0.0430,0.3047,-0.7656,9.4648,0.00,0.00,0.00,1
0.071,0.0156,0.0020,-0.0781,-0.3828,9.3867,0.00,0.00,0.00,1
0.094,0.0059,0.0156,-0.8828,-0.6133,7.8906,0.00,0.00,0.00,1
0.105,0.0117,-0.0312,-0.8828,-0.6133,7.8906,0.00,0.00,0.00,1
0.124,0.0059,0.0684,-0.4219,-0.5742,9.0820,0.02,0.00,0.00,1
0.144,0.0078,0.0527,-0.1914,-0.5352,8.8828,0.02,0.00,0.00,1
0.156,-0.0039,-0.0410,0.2305,-0.5352,9.7266,0.02,0.00,0.00,1
0.173,-0.0039,-0.0156,0.7266,-0.6133,10.2656,0.02,0.00,0.00,1
0.190,0.0176,-0.0195,0.0000,-0.3828,9.0430,0.02,0.00,0.00,1
0.207,-0.0059,-0.0254,0.2305,-0.4609,9.8828,0.02,0.00,0.00,1
0.224,-0.0059,-0.0391,-0.3047,-0.5742,8.9219,0.02,0.00,0.00,1
0.241,-0.0117,-0.0312,-0.6914,-0.3047,8.3945,0.02,0.00,0.00,1
0.260,-0.0117,-0.0195,-0.2695,-0.5742,9.3086,0.02,0.00,0.00,1
0.275,0.0078,0.0176,0.3828,-0.6914,9.7695,0.02,0.00,0.00,1
0.292,-0.0137,-0.0078,0.4961,-0.3047,9.8086,0.02,0.00,0.00,1
0.313,-0.0078,-0.0566,0.1133,-0.6133,9.2305,0.02,0.00,0.00,1
0.330,-0.0059,-0.0586,-0.8438,-0.2695,8.3125,0.02,0.00,0.00,1
0.343,0.0117,0.0293,-0.4219,-0.3828,9.0391,0.02,0.00,0.00,1
0.362,0.0039,0.0430,-0.4961,-0.7266,8.6211,0.02,0.00,0.00,1
0.377,0.0254,-0.0547,0.8047,-0.3437,10.4961,0.02,0.00,0.00,1
0.394,0.0078,0.0586,0.6523,-0.5742,10.4180,0.02,0.00,0.00,1
0.411,0.0039,0.0547,0.3828,-0.7266,9.5430,0.02,0.00,0.00,1
0.429,0.0078,0.0156,-0.2695,-0.3437,8.8867,0.02,0.00,0.00,1
0.445,-0.0059,-0.0352,0.1133,-0.3828,9.7305,0.02,0.00,0.00,1
0.462,0.0098,-0.0352,-1.1094,-0.6133,7.6602,0.02,0.00,0.00,1
0.483,-0.0020,0.0684,-0.0391,-0.4219,9.4609,0.02,0.00,0.00,1
0.496,-0.0039,-0.0508,-0.0391,-0.4219,9.4609,0.02,0.00,0.00,1
0.516,-0.0020,-0.0547,0.2695,-0.4219,9.6133,0.00,0.00,0.00,1
0.534,-0.0078,-0.0293,0.6133,-0.3437,10.1914,0.00,0.00,0.00,1
0.547,0.0156,0.0059,-0.6523,-0.4219,8.2344,0.00,0.00,0.00,1
0.564,-0.0098,-0.0273,-0.1133,-0.4961,9.7305,0.00,0.00,0.00,1
0.581,0.0000,-0.0254,-0.2695,-0.5742,8.9258,0.00,0.00,0.00,1
0.600,-0.0039,-0.0195,-0.6133,-0.4219,8.4258,0.00,0.00,0.00,1
0.615,0.0078,0.0000,0.0000,-0.4609,9.6484,0.00,0.00,0.00,1
0.632,0.0137,-0.0449,0.3047,-0.7266,9.6133,0.00,0.00,0.00,1
0.654,-0.0039,-0.0586,0.4219,-0.4961,9.9609,0.00,0.00,0.00,1
0.666,-0.0059,0.0371,0.4219,-0.4961,9.9609,0.00,0.00,0.00,1
0.684,0.0020,0.0098,-0.3437,-0.3437,8.6602,0.00,0.00,0.00,1
0.703,0.0078,-0.0176,0.0391,-0.3047,9.6133,0.00,0.00,0.00,1
0.717,-0.0137,0.0645,-0.8828,-0.7266,8.0078,0.00,0.00,0.00,1
0.734,-0.0156,0.0391,0.2305,-0.2695,10.0703,0.00,0.00,0.00,1
0.752,-0.0020,0.0059,0.0391,-0.4961,9.5430,0.00,0.00,0.00,1
0.770,-0.0020,-0.0195,0.1914,-0.6523,9.4258,0.00,0.00,0.00,1
0.785,0.0039,0.0215,0.1133,-0.4219,9.6133,0.00,0.00,0.00,1
0.802,-0.0156,0.0820,0.7266,-0.4219,10.1133,0.00,0.00,0.00,1
0.820,-0.0156,0.0391,-0.5352,-0.4219,8.4609,0.00,0.00,0.00,1
0.836,0.0039,-0.0195,0.0781,-0.4609,9.5430,0.00,0.00,0.00,1
0.853,0.0059,0.0195,-0.4961,-0.5742,8.8437,0.00,0.00,0.00,1
0.874,-0.0020,0.0273,-0.0781,-0.6133,9.4648,0.00,0.00,0.00,1
0.890,-0.0234,0.0859,0.9180,-0.4609,10.4141,0.00,0.00,0.00,1
0.904,0.0234,-0.0879,0.0391,-0.4609,9.1211,0.00,0.00,0.00,1
0.922,0.0059,-0.0625,0.1523,-0.6133,10.0039,0.02,0.00,0.00,1
0.939,-0.0020,0.0039,-0.5352,-0.4609,8.7383,0.02,0.00,0.00,1
0.955,0.0059,-0.0098,-0.9570,-0.3828,8.0078,0.02,0.00,0.00,1
0.973,0.0117,-0.0449,-0.1133,-0.4219,9.4258,0.02,0.00,0.00,1
0.990,0.0234,-0.0840,0.3437,-0.7656,9.7266,0.02,0.00,0.00,1
1.006,-0.0098,0.0547,0.7656,-0.3047,10.0742,0.02,0.00,0.00,1
1.024,0.0059,0.0156,0.4219,-0.6523,10.1875,0.02,0.00,0.00,1
1.044,0.0000,-0.0156,-0.5352,-0.3437,8.4219,0.02,0.00,0.00,1
1.062,-0.0039,-0.0312,-0.1523,-0.3047,9.5000,0.02,0.00,0.00,1
1.075,-0.0117,0.0879,-0.8047,-0.6914,8.1602,0.02,0.00,0.00,1
1.093,-0.0117,0.0469,0.4609,-0.2695,10.0742,0.02,0.00,0.00,1
1.110,-0.0117,-0.0020,0.2305,-0.5352,9.8437,0.02,0.00,0.00,1
1.125,0.0078,0.0156,0.4219,-0.6914,9.6094,0.00,0.00,0.00,1
1.142,0.0059,0.0195,0.0000,-0.4219,9.3828,0.00,0.00,0.00,1
1.160,-0.0137,0.0918,0.4609,-0.3828,10.1094,0.00,0.00,0.00,1
1.176,0.0254,-0.0684,-0.9961,-0.6523,7.7344,0.00,0.00,0.00,1
1.193,0.0059,-0.0039,0.0391,-0.4609,9.7656,0.00,0.00,0.00,1
