t_s,roll_deg,pitch_deg,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.000,-5.46,1.11,0.4609,0.4609,-0.8828,10.3477,0.04,0.00,0.00,1
0.018,-5.46,1.10,0.0781,0.3762,-1.4570,8.9219,0.04,0.00,0.00,1
0.039,-5.46,1.10,-0.7656,0.1049,-0.6133,8.9258,0.04,0.00,0.00,1
0.051,-5.45,1.09,-0.2695,0.0221,-1.1484,8.8437,0.04,0.00,0.00,1
0.068,-5.45,1.09,-0.0781,-0.0183,-1.0352,9.4648,0.04,0.00,0.00,1
0.090,-5.45,1.06,0.5742,0.1672,-1.0742,10.1484,0.04,0.00,0.00,1
0.102,-5.45,1.06,0.5742,0.2297,-1.0742,10.1484,0.04,0.00,0.00,1
0.122,-5.44,1.06,-0.9570,0.0918,-0.6133,8.4648,0.04,0.00,0.00,1
0.140,-5.44,1.04,-0.0391,-0.1322,-1.2266,9.0430,0.04,0.00,0.00,1
0.158,-5.43,1.03,-0.1523,-0.1255,-0.8828,9.5820,0.04,0.00,0.00,1
0.170,-5.43,1.01,0.4609,-0.0806,-0.6133,9.9219,0.04,0.00,0.00,1
0.189,-5.44,1.01,0.3828,0.0867,-0.9570,10.2305,0.04,0.00,0.00,1
0.209,-5.44,1.01,0.0000,0.0860,-1.1484,9.0391,0.04,0.00,0.00,1
0.221,-5.44,1.01,-0.8047,-0.0508,-0.6914,8.6953,0.04,0.00,0.00,1
0.238,-5.44,0.99,-0.0781,-0.1470,-0.8828,9.3477,0.04,0.00,0.00,1
0.262,-5.44,1.00,0.3828,-0.1646,-0.4609,9.9219,0.04,0.00,0.00,1
0.272,-5.44,1.00,0.3828,-0.0805,-0.4609,9.9219,0.04,0.00,0.00,1
0.292,-5.45,1.02,0.0781,0.0372,-0.8047,9.9609,0.04,0.00,0.00,1
0.309,-5.46,1.04,-0.3047,0.0181,-1.0742,8.3125,0.04,0.00,0.00,1
0.328,-5.46,1.03,0.0781,-0.0072,-0.7266,10.0039,0.04,0.00,0.00,1
0.340,-5.47,1.03,-0.6914,-0.0556,-1.0742,8.4648,0.04,0.00,0.00,1
0.359,-5.47,1.03,0.3047,-0.0519,-0.6133,9.8828,0.04,0.00,0.00,1
0.379,-5.47,1.04,0.3437,0.0783,-0.8047,10.4180,0.04,0.00,0.00,1
0.391,-5.48,1.04,0.4219,0.1253,-1.3398,9.5391,0.04,0.00,0.00,1
0.408,-5.49,1.05,-0.5352,0.0146,-0.7656,8.6992,0.04,0.00,0.00,1
