t_s,roll_deg,pitch_deg,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.001,-0.39,0.20,-0.6133,-0.6133,-0.1914,8.8164,0.52,1.58,0.00,1
0.019,-0.45,0.19,0.0391,-0.5611,-0.6914,8.8164,0.52,1.58,0.00,1
0.038,-0.52,0.19,-0.0391,-0.3738,-0.7266,9.1211,0.52,1.58,0.00,1
0.052,-0.54,0.19,0.1914,-0.3039,-0.9961,9.4609,0.52,1.58,0.00,1
0.069,-0.59,0.20,-0.7656,-0.3469,-1.1094,7.5469,0.52,1.58,0.00,1
0.089,-0.60,0.18,-0.7266,-0.4570,-0.4961,9.0039,0.52,1.58,0.00,1
0.103,-0.60,0.17,0.0781,-0.3386,-0.8438,9.0039,0.52,1.58,0.00,1
0.120,-0.59,0.11,-0.8438,-0.4244,-0.6914,8.6562,0.52,1.58,0.00,1
0.141,-0.56,0.05,-1.0352,-0.4109,-1.2266,8.4648,0.52,1.58,0.00,1
0.159,-0.51,-0.03,0.3047,-0.4807,-0.6914,10.4141,0.52,1.58,0.00,1
0.171,-0.48,-0.05,-0.3828,-0.3619,-0.4219,9.6875,0.52,1.58,0.00,1
0.190,-0.42,-0.11,-0.4961,-0.3769,-0.2305,9.7266,0.52,1.58,0.00,1
0.209,-0.35,-0.14,0.0781,-0.2905,-0.3437,10.3047,0.52,1.58,0.00,1
0.222,-0.32,-0.15,0.1523,-0.2279,-0.4961,10.5742,0.52,1.58,0.00,1
0.240,-0.23,-0.16,-0.2305,-0.1830,0.0781,10.0000,0.26,0.00,0.00,1
0.258,-0.15,-0.17,-0.3828,-0.2302,-0.2695,9.7656,0.26,0.00,0.00,1
0.280,-0.07,-0.15,-0.6133,-0.1837,0.6523,8.8867,0.26,0.00,0.00,1
0.291,-0.03,-0.15,-0.6133,-0.2497,0.6523,8.8867,0.26,0.00,0.00,1
0.312,0.06,-0.16,-1.0352,-0.2595,1.3398,9.6484,0.26,0.00,0.00,1
0.329,0.15,-0.20,0.0000,-0.3967,-0.9961,9.6914,0.26,0.00,0.00,1
0.342,0.20,-0.23,-1.5313,-0.4314,-0.2305,8.7773,0.26,0.00,0.00,1
0.360,0.26,-0.26,2.0312,-0.4583,2.2969,2.6836,0.26,0.00,0.00,1
0.378,0.33,-0.50,4.0977,0.8478,-0.8047,17.8945,0.26,0.00,0.00,1
0.392,0.35,-0.46,1.6836,1.1538,-0.9961,13.5664,0.26,0.00,0.00,1
0.410,0.43,-0.41,-1.6094,0.6057,0.7266,6.8516,0.26,0.00,0.00,1
0.428,0.54,-0.46,-2.1445,-0.2679,-0.8438,9.3828,0.26,0.00,0.00,1
0.443,0.58,-0.42,-0.3828,-0.4152,3.3711,10.3086,0.26,0.00,0.00,1
0.460,0.63,-0.30,-2.2969,-0.8278,-2.3750,5.8984,0.26,0.00,0.00,1
0.478,0.69,-0.27,-1.0742,-0.9738,2.0312,8.4648,0.26,0.00,0.00,1
0.499,0.76,-0.25,-1.1875,-0.4372,0.3828,8.4648,0.26,0.00,0.00,1
0.512,0.80,-0.27,-0.6133,-0.5573,0.6523,8.5430,0.26,0.00,0.00,1
0.529,0.86,-0.27,-0.4219,-0.5579,-0.3437,7.1250,0.26,0.00,0.00,1
0.550,0.92,-0.30,0.6914,-0.2651,1.3008,11.6016,0.26,0.00,0.00,1
0.562,0.95,-0.27,0.2305,-0.0903,-1.2656,10.5742,0.26,0.00,0.00,1
0.579,1.01,-0.20,-0.8047,-0.0821,0.6523,8.5781,0.26,0.00,0.00,1
0.598,1.11,-0.19,-0.2695,-0.2100,-0.6914,9.2695,0.26,0.00,0.00,1
0.613,1.16,-0.19,-0.0781,-0.2039,0.6523,10.0312,0.26,0.00,0.00,1
0.630,1.24,-0.18,0.3047,-0.0763,-0.3828,9.4609,0.26,0.00,0.00,1
0.648,1.30,-0.14,-0.3437,-0.1117,0.1133,9.6484,0.26,0.00,0.00,1
0.669,1.38,-0.08,-1.7227,-0.2910,0.1133,7.3906,0.26,0.00,0.00,1
0.681,1.43,-0.06,-1.7227,-0.5109,0.1133,7.3906,0.26,0.00,0.00,1
0.702,1.52,-0.03,-0.7656,-0.2509,1.1484,9.0820,0.26,0.00,0.00,1
0.719,1.58,-0.03,-0.1914,-0.3510,0.8438,9.3437,0.26,0.00,0.00,1
0.732,1.60,-0.02,-0.8047,-0.3647,0.4609,8.6992,0.26,0.00,0.00,1
