t_s,gyro_x_rads,gyro_y_rads,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.017,0.0039,0.0234,0.0391,-0.9180,9.4648,0.02,0.00,0.00,1
0.037,-0.0137,-0.0098,0.2305,-0.6133,9.9258,0.02,0.00,0.00,1
0.052,-0.0020,-0.0215,0.2695,-0.8047,9.7695,0.02,0.00,0.00,1
0.070,-0.0117,-0.0234,-0.6133,-0.3828,8.6602,0.02,0.00,0.00,1
0.085,0.0078,0.0078,-0.0781,-0.4609,9.4219,0.02,0.00,0.00,1
0.102,0.0117,-0.0059,-0.9180,-0.9180,8.0430,0.02,0.00,0.00,1
0.120,-0.0059,-0.0312,0.3047,-0.3437,10.0352,0.02,0.00,0.00,1
0.136,0.0020,0.0527,0.1523,-0.5352,9.9219,0.02,0.00,0.00,1
0.153,0.0039,0.0469,0.3828,-0.8438,9.7305,0.02,0.00,0.00,1
0.170,0.0098,0.0078,-0.1914,-0.4609,9.3437,0.02,0.00,0.00,1
0.187,-0.0137,-0.0059,0.2695,-0.5352,9.7656,0.02,0.00,0.00,1
0.204,0.0078,-0.0156,-0.9961,-0.7656,7.8945,0.02,0.00,0.00,1
0.224,0.0059,0.0566,-0.3047,-0.6133,9.1562,0.00,0.00,0.00,1
0.242,0.0059,0.0566,-0.0781,-0.7266,9.1602,0.00,0.00,0.00,1
0.255,-0.0078,-0.0273,0.2305,-0.4961,9.8086,0.00,0.00,0.00,1
0.273,-0.0098,0.0059,0.5352,-0.7266,10.0312,0.00,0.00,0.00,1
0.290,-0.0020,0.0000,-0.2305,-0.3828,8.9609,0.00,0.00,0.00,1
0.306,-0.0039,-0.0547,-0.1133,-0.5742,9.5391,0.00,0.00,0.00,1
0.323,-0.0039,-0.0254,-0.2305,-0.8438,9.2695,0.00,0.00,0.00,1
0.340,-0.0039,-0.0117,-0.9180,-0.5742,8.3555,0.00,0.00,0.00,1
0.357,0.0059,-0.0059,-0.1523,-0.4961,9.3867,0.00,0.00,0.00,1
0.374,0.0156,-0.0547,-0.0781,-0.9961,9.2656,0.00,0.00,0.00,1
0.391,0.0000,-0.0625,0.4961,-0.3047,10.1133,0.00,0.00,0.00,1
0.412,0.0000,-0.0039,0.4609,-0.8438,10.1094,0.00,0.00,0.00,1
0.426,-0.0020,0.0000,-0.3437,-0.4219,8.7344,0.00,0.00,0.00,1
0.443,0.0020,-0.0215,-0.1523,-0.5352,9.6484,0.00,0.00,0.00,1
0.461,0.0215,-0.0664,-1.0742,-0.8438,7.8125,0.00,0.00,0.00,1
0.476,-0.0176,0.0527,0.0781,-0.4219,9.9258,0.00,0.00,0.00,1
0.493,-0.0039,0.0020,0.0781,-0.6523,9.6484,0.00,0.00,0.00,1
0.510,-0.0020,-0.0234,-0.2305,-0.5742,8.9219,0.00,0.00,0.00,1
0.527,0.0059,-0.0020,0.0000,-0.4609,9.4648,0.00,0.00,0.00,1
0.544,-0.0137,0.0723,0.5352,-0.6914,10.1133,0.00,0.00,0.00,1
0.561,-0.0156,0.0488,-0.2695,-0.4219,8.9258,0.00,0.00,0.00,1
0.583,-0.0078,-0.0137,-0.3047,-0.7266,9.1562,0.00,0.00,0.00,1
0.597,-0.0039,0.0488,-0.8438,-0.4961,8.2383,0.00,0.00,0.00,1
0.613,0.0059,0.0098,-0.1133,-0.6133,9.6914,0.00,0.00,0.00,1
0.629,-0.0078,0.0605,0.0000,-0.9570,9.2305,0.00,0.00,0.00,1
0.646,0.0156,-0.0645,0.5352,-0.3047,10.1523,0.00,0.00,0.00,1
0.663,-0.0039,0.0332,0.3047,-0.5352,9.8086,0.00,0.00,0.00,1
0.682,-0.0039,0.0645,0.3437,-0.9570,10.0039,0.00,0.00,0.00,1
0.697,-0.0039,-0.0488,-0.5742,-0.4609,8.5391,0.00,0.00,0.00,1
