t_s,roll_deg,pitch_deg,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.005,-1.49,-0.19,-0.3047,-0.4484,-0.1914,9.4648,0.00,0.00,0.00,1
0.024,-1.49,-0.18,0.1523,-0.3711,-0.6133,9.0820,0.00,0.00,0.00,1
0.044,-1.50,-0.19,0.2695,-0.1667,0.0000,9.9219,0.00,0.00,0.00,1
0.056,-1.50,-0.20,0.5352,-0.0785,-0.3047,9.8086,0.00,0.00,0.00,1
0.075,-1.51,-0.20,0.6523,0.1567,-0.6523,9.8477,0.00,0.00,0.00,1
0.094,-1.51,-0.20,-0.6914,-0.0001,0.0391,8.8828,0.00,0.00,0.00,1
0.107,-1.51,-0.20,-0.2305,-0.0694,-0.2695,8.8828,0.00,0.00,0.00,1
0.124,-1.51,-0.20,-0.6133,-0.2091,-0.4609,8.5430,0.00,0.00,0.00,1
0.147,-1.52,-0.22,0.3047,-0.0706,-0.2695,9.6133,0.00,0.00,0.00,1
0.165,-1.52,-0.22,0.8047,0.0758,-0.5352,10.1875,0.00,0.00,0.00,1
0.178,-1.52,-0.22,-0.0391,0.1696,-0.0781,9.1602,0.00,0.00,0.00,1
0.194,-1.52,-0.22,0.1133,0.1226,-0.2305,9.7695,0.00,0.00,0.00,1
0.215,-1.52,-0.21,-1.0352,-0.1347,-0.3437,7.6992,0.00,0.00,0.00,1
0.226,-1.52,-0.22,0.2305,-0.1718,-0.2695,9.9258,0.00,0.00,0.00,1
0.245,-1.53,-0.24,0.2305,-0.0577,-0.2305,9.6914,0.00,0.00,0.00,1
0.263,-1.53,-0.23,-0.1133,-0.0355,-0.3047,9.5000,0.00,0.00,0.00,1
0.277,-1.53,-0.23,0.0000,-0.0384,-0.1914,9.0000,0.00,0.00,0.00,1
0.294,-1.54,-0.23,0.5352,0.0931,-0.1914,10.3437,0.00,0.00,0.00,1
0.317,-1.54,-0.24,0.1914,-0.0175,-0.3047,9.7656,0.00,0.00,0.00,1
0.328,-1.53,-0.26,0.1914,0.0146,-0.3047,9.7656,0.00,0.00,0.00,1
0.345,-1.54,-0.25,-0.5352,-0.0961,-0.2305,9.0781,0.00,0.00,0.00,1
0.364,-1.54,-0.24,0.1133,-0.1338,-0.2695,9.6914,0.00,0.00,0.00,1
0.385,-1.54,-0.24,0.4219,-0.0390,-0.3828,9.8086,0.00,0.00,0.00,1
0.398,-1.54,-0.25,-0.0391,0.0261,0.0000,9.0820,0.00,0.00,0.00,1
0.415,-1.54,-0.27,0.3437,0.0383,-0.4609,9.7305,0.00,0.00,0.00,1
0.434,-1.55,-0.27,0.3047,0.1338,-0.3437,10.0000,0.00,0.00,0.00,1
0.447,-1.55,-0.27,-0.6133,0.0866,-0.0781,8.1602,0.00,0.00,0.00,1
0.464,-1.55,-0.27,-0.2695,-0.0759,-0.2695,9.3867,0.00,0.00,0.00,1
0.483,-1.55,-0.25,-0.2695,-0.1308,-0.3828,8.7773,0.00,0.00,0.00,1
0.498,-1.55,-0.26,0.3437,-0.0258,-0.1133,9.7305,0.00,0.00,0.00,1
0.515,-1.56,-0.26,0.4219,0.0963,-0.2305,10.2656,0.00,0.00,0.00,1
0.536,-1.56,-0.25,-0.0781,0.2063,-0.1523,8.8477,0.00,0.00,0.00,1
0.555,-1.57,-0.25,-0.2305,0.1134,-0.0781,9.3437,0.00,0.00,0.00,1
0.567,-1.57,-0.25,-0.6914,0.0004,-0.5352,8.0391,0.00,0.00,0.00,1
0.585,-1.58,-0.26,0.3437,-0.1130,0.0391,10.2656,0.00,0.00,0.00,1
0.604,-1.58,-0.28,0.4961,0.0765,-0.3437,9.5039,0.00,0.00,0.00,1
0.617,-1.58,-0.27,0.5352,0.1440,-0.4961,10.1094,0.00,0.00,0.00,1
0.634,-1.58,-0.26,-0.1914,0.1166,0.0391,8.9609,0.00,0.00,0.00,1
0.654,-1.59,-0.28,0.1914,0.1140,-0.3047,9.6094,0.00,0.00,0.00,1
0.668,-1.59,-0.28,-0.7266,-0.0151,-0.4219,8.3555,0.00,0.00,0.00,1
0.686,-1.60,-0.30,0.2305,-0.0051,-0.1914,9.5430,0.00,0.00,0.00,1
0.707,-1.60,-0.30,0.8828,0.0574,-0.6914,9.5000,0.00,0.00,0.00,1
0.725,-1.60,-0.30,0.0391,0.2240,-0.1133,9.5820,0.00,0.00,0.00,1
0.738,-1.60,-0.31,0.1914,0.1953,-0.0781,9.6523,0.00,0.00,0.00,1
0.755,-1.60,-0.31,-0.9961,0.0992,-0.5742,7.6953,0.00,0.00,0.00,1
0.774,-1.60,-0.32,0.4219,0.0396,-0.1523,10.0352,0.00,0.00,0.00,1
0.787,-1.61,-0.31,0.0000,0.0646,-0.0391,10.0312,0.00,0.00,0.00,1
0.804,-1.61,-0.31,0.4961,0.1224,-0.6133,9.1602,0.00,0.00,0.00,1
0.823,-1.62,-0.30,0.1133,0.1651,-0.1523,9.6914,0.00,0.00,0.00,1
0.847,-1.62,-0.29,-0.8828,0.0996,-0.4219,8.0117,0.00,0.00,0.00,1
0.855,-1.62,-0.29,-0.8828,-0.0513,-0.4219,8.0117,0.00,0.00,0.00,1
0.878,-1.62,-0.27,-0.1914,-0.0687,-0.3828,8.8164,0.00,0.00,0.00,1
0.894,-1.63,-0.27,0.0781,-0.0820,-0.2695,9.7305,0.00,0.00,0.00,1
0.908,-1.63,-0.26,0.1133,-0.0437,-0.1914,9.3437,0.00,0.00,0.00,1
0.925,-1.63,-0.27,0.6133,0.0408,-0.3437,10.0742,0.00,0.00,0.00,1
0.945,-1.63,-0.25,-0.4961,0.0328,-0.1523,8.6602,0.00,0.00,0.00,1
0.957,-1.63,-0.25,0.0781,-0.0025,-0.1914,10.0352,0.00,0.00,0.00,1
0.975,-1.63,-0.23,0.1523,0.0263,-0.6523,9.1953,0.00,0.00,0.00,1
0.994,-1.63,-0.23,-0.4961,-0.0742,-0.0391,8.7383,0.00,0.00,0.00,1
1.008,-1.63,-0.23,-0.3828,-0.1300,-0.1523,9.1602,0.00,0.00,0.00,1
1.025,-1.64,-0.23,0.0781,-0.1142,-0.6523,9.0039,0.00,0.00,0.00,1
1.044,-1.64,-0.24,0.2305,-0.0259,0.0391,9.8437,0.00,0.00,0.00,1
1.065,-1.65,-0.22,0.5352,0.1358,-0.6523,9.5430,0.00,0.00,0.00,1
1.076,-1.65,-0.21,0.5352,0.1971,-0.6523,9.5430,0.00,0.00,0.00,1
1.097,-1.65,-0.22,-0.1523,0.0678,-0.2305,9.0781,0.00,0.00,0.00,1
1.115,-1.66,-0.22,-0.6914,-0.0378,-0.5352,8.4258,0.00,0.00,0.00,1
1.127,-1.65,-0.23,0.3047,-0.1027,0.1523,9.9258,0.00,0.00,0.00,1
1.145,-1.66,-0.22,0.6523,0.0406,-0.4961,9.8047,0.00,0.00,0.00,1
1.164,-1.66,-0.21,0.6133,0.2405,-0.3437,10.4141,0.00,0.00,0.00,1
1.178,-1.66,-0.20,-0.1914,0.2334,-0.1523,8.6992,0.00,0.00,0.00,1
1.195,-1.67,-0.22,-0.1133,0.1059,-0.1914,9.5000,0.00,0.00,0.00,1
1.214,-1.68,-0.20,-0.7266,-0.0920,-0.3828,8.1602,0.00,0.00,0.00,1
1.237,-1.68,-0.19,0.6914,0.0650,-0.4609,9.7266,0.00,0.00,0.00,1
1.246,-1.69,-0.19,0.6914,0.1612,-0.4609,9.7266,0.00,0.00,0.00,1
1.266,-1.69,-0.18,-0.2305,0.2603,-0.2695,8.3164,0.00,0.00,0.00,1
1.285,-1.69,-0.18,-0.1523,0.1273,-0.2695,9.4219,0.00,0.00,0.00,1
1.297,-1.69,-0.18,-0.7266,0.0195,-0.5352,8.1953,0.00,0.00,0.00,1
1.315,-1.69,-0.18,0.5352,-0.0911,0.0391,10.2656,0.00,0.00,0.00,1
1.334,-1.70,-0.20,0.7656,0.1734,-0.4219,9.8477,0.00,0.00,0.00,1
1.348,-1.70,-0.20,0.6914,0.2584,-0.3437,10.6523,0.00,0.00,0.00,1
1.365,-1.70,-0.20,-0.3047,0.2282,-0.1914,8.2773,0.00,0.00,0.00,1
