t_s,roll_deg,pitch_rv_deg,pitch_game_deg,pitch_comp_deg,gyro_y_rads,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.001,-3.22,-0.03,-0.03,0.00,0.0000,0.1523,0.1523,-0.3828,9.3477,0.09,0.00,0.00,1
0.031,-3.22,-0.03,-0.00,-0.58,0.0273,-0.0781,0.2730,-0.2695,9.1211,0.09,0.00,0.00,1
0.040,-3.22,-0.03,-0.00,-0.59,-0.0039,0.5742,0.2713,-0.3437,10.1523,0.09,0.00,0.00,1
0.061,-3.22,-0.03,0.02,-0.56,0.0586,-0.7656,0.0780,-0.0781,8.1992,0.09,0.00,0.00,1
0.110,-3.22,-0.03,-0.00,-0.54,0.0215,-0.5742,-0.1509,-0.6133,8.5000,0.09,0.00,0.00,1
0.110,-3.22,-0.03,-0.00,-0.54,0.0215,-0.5742,-0.1509,-0.6133,8.5000,0.09,0.00,0.00,1
0.111,-3.22,-0.03,-0.00,-0.54,0.0215,-0.5742,-0.1509,-0.6133,8.5000,0.09,0.00,0.00,1
0.120,-3.22,-0.03,-0.00,-0.56,-0.0078,-0.1133,-0.1790,-0.5352,9.5039,0.09,0.00,0.00,1
0.140,-3.22,-0.03,-0.01,-0.56,0.0117,-0.3047,-0.1990,-0.6523,8.6562,0.09,0.00,0.00,1
0.170,-3.22,-0.03,-0.02,-0.58,-0.0156,0.1523,-0.0165,-0.5742,9.3828,0.09,0.00,0.00,1
0.171,-3.22,-0.03,-0.02,-0.58,-0.0156,0.1523,-0.0165,-0.5742,9.3828,0.09,0.00,0.00,1
0.200,-3.22,-0.00,-0.01,-0.53,0.0273,0.1914,0.1079,-0.4609,9.1172,0.09,0.00,0.00,1
0.221,-3.22,-0.00,0.00,-0.59,-0.0352,0.8828,0.2846,-0.6133,10.0312,0.09,0.00,0.00,1
0.230,-3.22,-0.00,0.00,-0.68,-0.0820,-0.5352,0.2630,-0.3828,7.9727,0.09,0.00,0.00,1
0.251,-3.22,-0.00,-0.03,-0.65,0.0234,0.3047,0.1768,-0.2305,9.3047,0.09,0.00,0.00,1
0.281,-3.22,-0.00,-0.05,-0.69,-0.0352,-0.0781,0.1304,-0.7656,8.5000,0.09,0.00,0.00,1
0.281,-3.22,-0.00,-0.05,-0.69,-0.0352,-0.0781,0.1304,-0.7656,8.5000,0.09,0.00,0.00,1
0.310,-3.22,-0.05,-0.03,-0.66,0.0156,0.2305,0.1664,-0.8438,9.0781,0.09,0.00,0.00,1
0.311,-3.22,-0.05,-0.03,-0.66,0.0156,0.2305,0.1664,-0.8438,9.0781,0.09,0.00,0.00,1
0.341,-3.22,-0.05,-0.02,-0.75,0.0176,0.4219,0.3428,-0.4961,9.5000,0.09,0.00,0.00,1
0.341,-3.22,-0.05,-0.02,-0.75,0.0176,0.4219,0.3428,-0.4961,9.5000,0.09,0.00,0.00,1
0.360,-3.22,-0.05,-0.02,-0.76,0.0176,0.8828,0.4672,-0.7656,10.1875,0.09,0.00,0.00,1
0.391,-3.22,-0.05,-0.03,-0.77,-0.0273,0.6523,0.4741,-0.7266,10.1484,0.09,0.00,0.00,1
0.392,-3.22,-0.05,-0.03,-0.77,-0.0273,0.6523,0.4741,-0.7266,10.1484,0.09,0.00,0.00,1
0.421,-3.22,-0.05,-0.05,-0.83,0.0273,0.2305,0.4595,-0.3047,10.3047,0.09,0.00,0.00,1
0.430,-3.22,-0.05,-0.05,-0.84,-0.0078,0.6914,0.4612,-1.1094,10.0039,0.09,0.00,0.00,1
0.451,-3.22,-0.05,-0.03,-0.82,0.0527,-0.4961,0.2769,-0.5742,8.1992,0.09,0.00,0.00,1
0.481,-3.13,-0.03,-0.01,-0.79,0.0254,-0.3437,0.0678,-0.9180,8.1602,0.09,0.00,0.00,1
0.481,-3.13,-0.03,-0.01,-0.79,0.0254,-0.3437,0.0678,-0.9180,8.1602,0.09,0.00,0.00,1
