t_s,roll_deg,pitch_rv_deg,pitch_game_deg,pitch_comp_deg,gyro_y_rads,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.000,-1.12,-0.17,-0.11,0.00,0.0645,0.4609,0.4609,0.0781,9.7656,0.02,0.00,0.00,1
0.030,-1.12,-0.19,-0.11,-77.73,0.0117,0.8047,0.5565,-0.3437,10.0703,0.02,0.00,0.00,1
0.060,-1.12,-0.19,-0.13,-77.08,0.0176,0.4219,0.4624,-0.1914,9.9648,0.02,0.00,0.00,1
0.110,-1.12,-0.19,-0.12,-77.00,0.0488,-0.0391,0.1036,-0.1133,9.2656,0.04,0.00,0.00,1
0.111,-1.12,-0.19,-0.12,-77.00,0.0488,-0.0391,0.1036,-0.1133,9.2656,0.04,0.00,0.00,1
0.140,-1.12,-0.19,-0.14,-76.24,-0.0273,0.3047,0.0904,-0.2695,9.3828,0.04,0.00,0.00,1
0.140,-1.12,-0.19,-0.14,-76.24,-0.0273,0.3047,0.0904,-0.2695,9.3828,0.04,0.00,0.00,1
0.149,-1.12,-0.19,-0.14,-76.21,0.0273,0.6133,0.1480,-0.3047,9.6523,0.04,0.00,0.00,1
0.150,-1.12,-0.19,-0.14,-76.21,0.0273,0.6133,0.1480,-0.3047,9.6523,0.04,0.00,0.00,1
0.170,-1.12,-0.19,-0.16,-76.23,-0.0312,0.1914,0.2132,0.0000,9.3437,0.04,0.00,0.00,1
0.170,-1.12,-0.19,-0.16,-76.23,-0.0312,0.1914,0.2132,0.0000,9.3437,0.04,0.00,0.00,1
0.200,-1.12,-0.19,-0.17,-76.27,0.0078,0.6133,0.3165,-0.3828,9.9648,0.04,0.00,0.00,1
0.220,-1.12,-0.25,-0.17,-76.31,-0.0332,-0.0391,0.2733,0.0000,8.8867,0.04,0.00,0.00,1
0.230,-1.12,-0.25,-0.17,-76.36,-0.0430,0.0000,0.2284,-0.1914,9.1992,0.04,0.00,0.00,1
0.250,-1.12,-0.25,-0.18,-76.32,0.0664,-0.6133,0.0148,-0.2305,8.1992,0.04,0.00,0.00,1
0.280,-1.12,-0.25,-0.21,-76.29,0.0254,0.1523,0.0608,-0.1133,9.6484,0.04,0.00,0.00,1
0.280,-1.12,-0.25,-0.21,-76.29,0.0254,0.1523,0.0608,-0.1133,9.6484,0.06,0.00,0.00,1
0.310,-1.12,-0.25,-0.20,-76.23,-0.0430,0.2695,0.1602,-0.3047,9.4609,0.06,0.00,0.00,1
0.310,-1.12,-0.25,-0.20,-76.23,-0.0430,0.2695,0.1602,-0.3047,9.4609,0.06,0.00,0.00,1
0.351,-1.14,-0.28,-0.20,-76.23,0.0625,0.2305,0.1124,-0.0391,10.0000,0.06,0.00,0.00,1
0.359,-1.14,-0.28,-0.20,-76.17,0.0312,0.2305,0.1306,-0.0391,10.0000,0.06,0.00,0.00,1
0.360,-1.14,-0.28,-0.20,-76.17,0.0312,0.2305,0.1306,-0.0391,10.0000,0.06,0.00,0.00,1
0.390,-1.14,-0.28,-0.20,-75.45,0.0566,-0.4609,-0.0045,-0.1133,8.5430,0.06,0.00,0.00,1
0.411,-1.14,-0.28,-0.21,-75.45,0.0059,0.2695,-0.0421,-0.4219,9.1992,0.06,0.00,0.00,1
0.419,-1.14,-0.28,-0.21,-75.43,0.0156,0.2695,0.0058,-0.4219,9.1992,0.06,0.00,0.00,1
0.449,-1.14,-0.28,-0.22,-75.45,-0.0254,0.5742,0.2310,-0.3047,10.0039,0.06,0.00,0.00,1
0.450,-1.14,-0.28,-0.22,-75.45,-0.0254,0.5742,0.2310,-0.3047,10.0039,0.06,0.00,0.00,1
0.480,-1.14,-0.28,-0.22,-75.48,-0.0156,0.0781,0.2687,-0.1133,9.0820,0.06,0.00,0.00,1
0.499,-1.14,-0.28,-0.23,-75.53,-0.0273,0.3437,0.2625,-0.0781,9.6914,0.02,0.00,0.00,1
0.500,-1.14,-0.28,-0.23,-75.53,-0.0273,0.3437,0.2625,-0.0781,9.6914,0.02,0.00,0.00,1
0.510,-1.14,-0.28,-0.23,-75.59,-0.0449,-0.8047,0.1831,-0.2695,8.0391,0.02,0.00,0.00,1
0.530,-1.14,-0.28,-0.27,-74.89,0.0000,0.1914,0.0668,0.0000,9.8437,0.02,0.00,0.00,1
0.560,-1.14,-0.28,-0.27,-74.87,0.0195,-0.0391,0.0703,-0.2695,9.1602,0.02,0.00,0.00,1
0.569,-1.14,-0.28,-0.27,-74.84,0.0215,0.1914,0.0719,-0.1133,9.5000,0.02,0.00,0.00,1
0.590,-1.14,-0.28,-0.27,-74.87,-0.0410,0.6523,0.2147,-0.2305,9.9609,0.02,0.00,0.00,1
0.620,-1.14,-0.28,-0.29,-74.95,-0.0605,0.4609,0.2695,-0.1914,9.6133,0.02,0.00,0.00,1
0.620,-1.14,-0.28,-0.29,-74.95,-0.0605,0.4609,0.2695,-0.1914,9.6133,0.02,0.00,0.00,1
0.670,-1.14,-0.28,-0.30,-74.99,-0.0234,0.0391,0.1046,-0.1133,9.3477,0.02,0.00,0.00,1
0.670,-1.14,-0.28,-0.30,-74.99,-0.0234,0.0391,0.1046,-0.1133,9.3477,0.06,0.00,0.00,1
0.671,-1.14,-0.28,-0.30,-74.99,-0.0234,0.0391,0.1046,-0.1133,9.3477,0.06,0.00,0.00,1
0.700,-1.33,-0.37,-0.32,-74.93,0.0234,0.5352,0.0663,-0.1523,10.1484,0.06,0.00,0.00,1
0.700,-1.33,-0.37,-0.32,-74.93,0.0234,0.5352,0.0663,-0.1523,10.1484,0.06,0.00,0.00,1
0.730,-1.33,-0.37,-0.31,-74.17,0.0000,-0.1523,0.0817,-0.3047,8.8437,0.06,0.00,0.00,1
0.760,-1.33,-0.37,-0.31,-74.16,0.0117,0.5352,0.1859,-0.3828,9.8047,0.06,0.00,0.00,1
0.761,-1.33,-0.37,-0.31,-74.16,0.0117,0.5352,0.1859,-0.3828,9.8047,0.06,0.00,0.00,1
0.780,-1.38,-0.41,-0.31,-74.29,-0.0664,0.1914,0.2089,-0.1133,9.3086,0.06,0.00,0.00,1
0.790,-1.38,-0.41,-0.31,-74.32,-0.0254,0.2305,0.2093,0.0391,10.0000,0.06,0.00,0.00,1
0.810,-1.38,-0.41,-0.34,-74.33,-0.0059,0.5742,0.2926,-0.5352,9.8086,0.06,0.00,0.00,1
0.840,-1.38,-0.41,-0.35,-73.67,0.0137,0.1523,0.1851,-0.2305,9.3437,0.06,0.00,0.00,1
0.850,-1.38,-0.41,-0.35,-73.66,0.0176,-0.6914,0.1126,-0.5352,7.9687,0.06,0.00,0.00,1
0.851,-1.38,-0.41,-0.35,-73.66,0.0176,-0.6914,0.1126,-0.5352,7.9687,0.06,0.00,0.00,1
0.870,-1.38,-0.41,-0.37,-72.98,-0.0332,0.5742,0.1186,0.0781,10.0703,0.06,0.00,0.00,1
0.900,-1.38,-0.41,-0.36,-72.97,0.0176,-0.4609,0.0727,-0.2305,8.2734,0.07,0.00,0.00,1
0.920,-1.38,-0.41,-0.37,-72.94,0.0195,0.1914,0.0352,-0.3047,9.2656,0.07,0.00,0.00,1
0.950,-1.38,-0.41,-0.38,-72.94,-0.0645,0.5742,0.2482,-0.0781,9.6133,0.07,0.00,0.00,1
0.979,-1.47,-0.45,-0.39,-72.97,-0.0215,0.8438,0.3857,-0.6133,9.9648,0.07,0.00,0.00,1
