t_s,roll_deg,pitch_deg,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.006,-1.14,-0.12,0.4219,-0.3903,0.1523,10.1133,0.02,0.00,0.00,1
0.024,-1.14,-0.10,0.0391,-0.1906,-0.2305,9.5000,0.02,0.00,0.00,1
0.043,-1.14,-0.10,0.6523,0.0234,-0.4609,9.6484,0.02,0.00,0.00,1
0.057,-1.14,-0.10,0.1133,0.0769,0.0391,9.8867,0.02,0.00,0.00,1
0.074,-1.14,-0.10,0.2695,0.1239,-0.2695,9.5039,0.02,0.00,0.00,1
0.092,-1.14,-0.11,-0.6914,-0.0475,-0.2695,8.1172,0.06,0.00,0.00,1
0.115,-1.14,-0.12,0.0781,0.0252,-0.3437,9.6914,0.06,0.00,0.00,1
0.125,-1.15,-0.11,0.0781,0.0334,-0.3437,9.6914,0.06,0.00,0.00,1
0.146,-1.15,-0.10,-0.1523,-0.1026,-0.2695,9.1953,0.06,0.00,0.00,1
0.164,-1.14,-0.11,0.6133,-0.0555,-0.3047,10.0000,0.06,0.00,0.00,1
0.177,-1.15,-0.12,0.1523,0.0556,0.0000,9.2305,0.06,0.00,0.00,1
0.193,-1.15,-0.15,0.1914,0.0862,-0.1133,10.3437,0.06,0.00,0.00,1
0.212,-1.15,-0.14,-0.1523,0.0460,-0.4219,8.7344,0.06,0.00,0.00,1
0.227,-1.14,-0.14,-0.6523,-0.0245,-0.2695,8.3516,0.06,0.00,0.00,1
0.244,-1.15,-0.15,-0.2695,-0.1538,-0.0781,9.2656,0.06,0.00,0.00,1
0.262,-1.15,-0.15,0.2305,-0.0826,-0.5352,9.3828,0.06,0.00,0.00,1
0.286,-1.15,-0.19,0.3047,0.0531,-0.1523,9.8437,0.06,0.00,0.00,1
0.295,-1.15,-0.18,0.3047,0.0918,-0.1523,9.8437,0.06,0.00,0.00,1
0.315,-1.15,-0.17,-0.4219,0.1611,0.1133,9.1992,0.06,0.00,0.00,1
0.334,-1.15,-0.17,-0.1914,0.0142,-0.2695,8.9609,0.06,0.00,0.00,1
0.346,-1.15,-0.17,-0.4961,-0.0557,-0.4961,8.3516,0.06,0.00,0.00,1
0.365,-1.14,-0.20,0.3828,-0.1103,0.2305,10.1875,0.06,0.00,0.00,1
0.383,-1.15,-0.21,0.0391,-0.0182,-0.2305,9.5781,0.06,0.00,0.00,1
0.397,-1.16,-0.21,0.6523,0.0435,-0.4609,9.5039,0.06,0.00,0.00,1
0.414,-1.15,-0.21,0.1133,0.1334,0.0781,10.0039,0.06,0.00,0.00,1
0.432,-1.15,-0.20,0.1523,0.1352,-0.3047,9.3086,0.06,0.00,0.00,1
0.456,-1.15,-0.22,0.2695,-0.0524,0.0391,10.0312,0.06,0.00,0.00,1
0.465,-1.15,-0.24,0.2695,-0.0030,0.0391,10.0312,0.06,0.00,0.00,1
0.483,-1.15,-0.24,-0.0391,0.0060,-0.3047,9.2266,0.06,0.00,0.00,1
0.504,-1.14,-0.23,0.0000,-0.0358,-0.1133,9.5430,0.02,0.00,0.00,1
0.516,-1.14,-0.24,0.0000,-0.0303,-0.1133,9.5430,0.02,0.00,0.00,1
0.536,-1.14,-0.24,-0.3047,0.1619,-0.1133,8.7344,0.02,0.00,0.00,1
0.554,-1.14,-0.27,0.1523,0.0661,-0.2305,9.7266,0.02,0.00,0.00,1
0.573,-1.14,-0.27,-0.2305,0.0108,-0.3437,9.0781,0.02,0.00,0.00,1
0.584,-1.14,-0.27,-0.6523,-0.0600,0.0000,8.8477,0.02,0.00,0.00,1
0.603,-1.14,-0.28,0.0391,-0.1089,-0.3437,9.0430,0.02,0.00,0.00,1
0.623,-1.13,-0.29,0.6914,0.0774,-0.2695,10.1133,0.02,0.00,0.00,1
0.635,-1.13,-0.30,-0.2305,0.0093,0.0391,9.0000,0.02,0.00,0.00,1
0.652,-1.13,-0.31,0.1133,0.0174,-0.2305,9.7266,0.02,0.00,0.00,1
0.675,-1.13,-0.31,-0.6914,-0.1171,-0.0391,8.9609,0.02,0.00,0.00,1
0.686,-1.12,-0.30,-0.6914,-0.2053,-0.0391,8.9609,0.04,0.00,0.00,1
0.706,-1.13,-0.31,0.4609,-0.1221,-0.1914,9.9258,0.04,0.00,0.00,1
0.723,-1.12,-0.30,0.1523,0.0185,-0.1133,9.1602,0.04,0.00,0.00,1
0.737,-1.12,-0.30,0.3828,0.0666,-0.2695,9.7305,0.04,0.00,0.00,1
0.754,-1.12,-0.29,0.1914,0.1410,-0.1133,10.0000,0.04,0.00,0.00,1
0.773,-1.12,-0.27,-0.7266,-0.0450,-0.2695,8.0820,0.04,0.00,0.00,1
0.793,-1.12,-0.27,-0.1914,-0.1199,-0.2305,9.3047,0.04,0.00,0.00,1
0.805,-1.12,-0.27,-0.2695,-0.1530,-0.1523,8.9648,0.04,0.00,0.00,1
0.823,-1.12,-0.27,0.3828,-0.0483,-0.1523,9.7656,0.04,0.00,0.00,1
0.846,-1.13,-0.25,0.5742,0.0980,-0.3047,10.0742,0.04,0.00,0.00,1
0.856,-1.13,-0.25,0.5742,0.1712,-0.3047,10.0742,0.04,0.00,0.00,1
0.876,-1.13,-0.25,0.2305,0.1872,-0.1914,9.6914,0.04,0.00,0.00,1
0.895,-1.13,-0.26,-0.8438,0.1136,-0.2695,8.0430,0.04,0.00,0.00,1
0.907,-1.12,-0.27,0.3047,-0.0064,-0.0781,9.6523,0.04,0.00,0.00,1
0.925,-1.13,-0.29,-0.2695,0.0359,-0.1523,9.7656,0.04,0.00,0.00,1
