t_s,roll_deg,pitch_deg,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.000,-3.16,0.36,-0.2305,-0.2305,-0.4609,9.3086,0.06,0.00,0.00,1
0.018,-3.17,0.38,-0.8047,-0.2764,-0.7266,8.0781,0.06,0.00,0.00,1
0.036,-3.17,0.38,0.1523,-0.2792,-0.3047,10.0000,0.06,0.00,0.00,1
0.056,-3.17,0.39,0.1914,-0.1235,-0.4219,10.0039,0.06,0.00,0.00,1
0.068,-3.18,0.39,0.1523,-0.0782,-0.5352,9.3477,0.06,0.00,0.00,1
0.087,-3.18,0.39,0.1914,0.0090,-0.4609,9.5781,0.06,0.00,0.00,1
0.109,-3.19,0.40,-0.6914,0.0236,-0.6133,8.0391,0.06,0.00,0.00,1
0.119,-3.19,0.40,-0.6914,-0.0862,-0.6133,8.0391,0.06,0.00,0.00,1
0.136,-3.20,0.42,-0.0781,-0.1221,-0.4609,9.6094,0.06,0.00,0.00,1
0.157,-3.21,0.43,-0.5352,-0.1630,-0.4609,8.3945,0.06,0.00,0.00,1
0.176,-3.21,0.43,0.0391,-0.1804,-0.6523,9.3867,0.02,0.00,0.00,1
0.187,-3.22,0.42,0.4609,-0.1129,-0.4219,9.9258,0.02,0.00,0.00,1
0.208,-3.23,0.42,0.1133,0.0220,-0.5352,9.3867,0.02,0.00,0.00,1
0.227,-3.24,0.43,0.3828,0.1128,-0.5352,9.8867,0.02,0.00,0.00,1
0.238,-3.24,0.44,0.0000,0.1236,-0.7656,9.6875,0.02,0.00,0.00,1
0.255,-3.25,0.44,-0.6914,-0.0715,-0.3437,8.1172,0.02,0.00,0.00,1
0.276,-3.25,0.43,-0.3047,-0.1617,-0.6914,9.3047,0.02,0.00,0.00,1
0.289,-3.26,0.44,0.0000,-0.1260,-0.6523,9.1211,0.02,0.00,0.00,1
0.307,-3.27,0.43,0.5352,0.0282,-0.2695,10.1914,0.02,0.00,0.00,1
0.328,-3.28,0.45,0.3828,0.1518,-0.8828,9.3867,0.02,0.00,0.00,1
0.340,-3.29,0.45,0.3828,0.1873,-0.8828,9.3867,0.02,0.00,0.00,1
0.360,-3.30,0.45,-0.2305,-0.0448,-0.4219,9.2305,0.02,0.00,0.00,1
0.378,-3.31,0.47,-0.6133,-0.1281,-0.7656,8.5000,0.02,0.00,0.00,1
0.396,-3.31,0.47,0.7656,0.0117,-0.3047,10.4531,0.02,0.00,0.00,1
0.408,-3.32,0.48,0.5352,0.1090,-0.6914,9.8086,0.02,0.00,0.00,1
0.426,-3.33,0.50,0.4219,0.2292,-0.6523,9.9258,0.02,0.00,0.00,1
0.447,-3.33,0.49,-0.3828,0.1058,-0.3828,8.8477,0.02,0.00,0.00,1
0.459,-3.33,0.49,0.1914,0.1189,-0.4961,9.6875,0.02,0.00,0.00,1
0.476,-3.34,0.49,-0.9961,-0.1233,-0.7266,8.0430,0.02,0.00,0.00,1
0.498,-3.35,0.51,-0.1133,-0.1315,-0.8047,8.8828,0.02,0.00,0.00,1
0.510,-3.36,0.51,-0.1133,-0.1287,-0.8047,8.8828,0.02,0.00,0.00,1
0.529,-3.36,0.52,0.2305,-0.1039,-0.4219,9.6484,0.02,0.00,0.00,1
0.548,-3.37,0.51,0.4961,0.0122,-0.6914,9.7695,0.02,0.00,0.00,1
0.567,-3.37,0.50,-0.1914,0.0250,-0.3047,9.2305,0.02,0.00,0.00,1
0.578,-3.38,0.50,0.0781,0.0133,-0.6523,9.4219,0.02,0.00,0.00,1
0.596,-3.38,0.50,0.1133,0.0371,-0.6914,9.8828,0.02,0.00,0.00,1
0.616,-3.39,0.51,-0.6133,-0.1021,-0.4961,8.1953,0.02,0.00,0.00,1
0.629,-3.40,0.50,-0.1133,-0.1406,-0.5742,9.6133,0.02,0.00,0.00,1
0.646,-3.40,0.49,-0.4961,-0.2160,-0.7266,8.4648,0.02,0.00,0.00,1
0.669,-3.40,0.47,0.3828,-0.0312,-0.6914,9.8437,0.02,0.00,0.00,1
0.680,-3.41,0.45,0.3828,0.0324,-0.6914,9.8437,0.02,0.00,0.00,1
0.697,-3.41,0.46,0.4961,0.1568,-0.7266,9.8477,0.02,0.00,0.00,1
0.718,-3.41,0.46,0.1133,0.0920,-0.6914,9.5391,0.02,0.00,0.00,1
0.736,-3.41,0.48,-0.9961,-0.0723,-0.6523,7.7344,0.02,0.00,0.00,1
0.748,-3.41,0.46,0.0391,-0.1314,-0.5352,9.7656,0.02,0.00,0.00,1
0.768,-3.41,0.44,0.1523,-0.0482,-0.6914,10.0000,0.02,0.00,0.00,1
0.786,-3.41,0.45,-0.4219,-0.1069,-0.6133,8.2734,0.07,0.00,0.00,1
0.799,-3.41,0.45,-0.0781,-0.1278,-0.5352,9.5820,0.07,0.00,0.00,1
0.816,-3.42,0.46,0.1914,-0.0512,-0.6523,9.3828,0.07,0.00,0.00,1
0.836,-3.42,0.45,0.4609,0.0772,-0.3828,9.7656,0.07,0.00,0.00,1
0.850,-3.42,0.47,0.1133,0.0852,-0.3828,10.2656,0.07,0.00,0.00,1
0.867,-3.42,0.48,0.3437,0.1442,-1.0742,9.1992,0.07,0.00,0.00,1
0.887,-3.42,0.46,-0.1523,-0.0374,-0.4961,9.1602,0.07,0.00,0.00,1
0.901,-3.43,0.46,-0.1523,-0.0551,-0.4961,9.1602,0.07,0.00,0.00,1
0.918,-3.42,0.45,0.4961,-0.1771,-0.1523,10.2656,0.07,0.00,0.00,1
0.938,-3.43,0.46,0.2695,-0.0043,-0.6914,9.8086,0.07,0.00,0.00,1
0.956,-3.43,0.47,0.7266,0.1902,-0.8438,9.8047,0.07,0.00,0.00,1
0.969,-3.43,0.47,-0.0391,0.2113,-0.2695,9.5820,0.07,0.00,0.00,1
0.987,-3.43,0.45,0.1133,0.1597,-0.6523,9.5430,0.07,0.00,0.00,1
1.007,-3.43,0.44,-0.9180,-0.0817,-0.5742,7.9336,0.07,0.00,0.00,1
1.020,-3.43,0.44,0.1133,-0.0518,-0.4961,9.7305,0.07,0.00,0.00,1
1.037,-3.44,0.44,0.0391,-0.0214,-0.6914,9.8828,0.07,0.00,0.00,1
1.058,-3.44,0.45,0.0391,-0.1177,-0.6133,9.5430,0.07,0.00,0.00,1
1.071,-3.44,0.44,0.0391,-0.0936,-0.6133,9.5430,0.07,0.00,0.00,1
1.090,-3.44,0.43,0.3047,-0.0120,-0.4609,9.5000,0.07,0.00,0.00,1
1.108,-3.44,0.41,0.2695,0.0750,-0.4961,10.1094,0.07,0.00,0.00,1
1.126,-3.45,0.41,0.3047,0.1491,-0.9180,9.5000,0.07,0.00,0.00,1
1.139,-3.44,0.41,-0.6133,0.0996,-0.3047,8.7344,0.07,0.00,0.00,1
1.156,-3.44,0.41,-0.1523,-0.0415,-0.5742,9.2266,0.07,0.00,0.00,1
1.176,-3.44,0.42,-0.7656,-0.2086,-0.7266,8.3906,0.06,0.00,0.00,1
1.190,-3.44,0.41,0.5742,-0.0354,-0.3437,10.0703,0.06,0.00,0.00,1
1.207,-3.44,0.39,0.1133,0.0704,-0.5742,10.0703,0.06,0.00,0.00,1
1.230,-3.44,0.40,-0.0391,0.1906,-0.3437,9.6094,0.06,0.00,0.00,1
1.241,-3.43,0.40,-0.0391,0.1553,-0.3437,9.6094,0.06,0.00,0.00,1
1.260,-3.44,0.41,-0.8438,0.0485,-0.5352,8.1211,0.06,0.00,0.00,1
1.278,-3.43,0.40,0.0781,-0.1308,-0.5742,9.7266,0.06,0.00,0.00,1
1.297,-3.44,0.41,0.0391,-0.0682,-0.7266,9.7656,0.06,0.00,0.00,1
1.309,-3.44,0.42,-0.5352,-0.0977,-0.5352,8.3945,0.06,0.00,0.00,1
1.328,-3.44,0.41,0.0781,-0.1111,-0.6523,9.5820,0.06,0.00,0.00,1
1.346,-3.44,0.41,0.1523,-0.0302,-0.5742,9.5781,0.06,0.00,0.00,1
1.360,-3.44,0.41,0.3828,0.0163,-0.4219,9.5781,0.06,0.00,0.00,1
1.378,-3.44,0.41,0.1523,0.0903,-0.4219,10.2695,0.04,0.00,0.00,1
1.396,-3.44,0.43,0.3047,0.1416,-1.0352,9.3086,0.04,0.00,0.00,1
1.417,-3.45,0.42,-0.0391,-0.0698,-0.5742,9.2266,0.04,0.00,0.00,1
1.430,-3.44,0.41,-0.8047,-0.1243,-0.6914,8.3945,0.04,0.00,0.00,1
1.448,-3.44,0.40,0.4961,-0.2132,-0.3047,10.1875,0.04,0.00,0.00,1
1.467,-3.46,0.39,0.2305,-0.0302,-0.6523,9.8828,0.04,0.00,0.00,1
1.480,-3.45,0.39,0.6523,0.0613,-0.8828,9.6094,0.04,0.00,0.00,1
1.497,-3.46,0.40,-0.1133,0.1677,-0.4219,9.4609,0.04,0.00,0.00,1
1.516,-3.46,0.39,0.1133,0.1220,-0.6133,9.5430,0.04,0.00,0.00,1
1.530,-3.46,0.38,-0.8828,0.0410,-0.6523,8.0078,0.04,0.00,0.00,1
1.547,-3.46,0.35,0.1914,-0.0362,-0.4961,9.8828,0.04,0.00,0.00,1
1.567,-3.46,0.35,-0.1523,-0.0477,-0.6914,9.6523,0.04,0.00,0.00,1
1.581,-3.46,0.35,-0.4961,-0.1470,-0.5742,8.4258,0.04,0.00,0.00,1
1.598,-3.46,0.35,0.1523,-0.1025,-0.6914,9.7266,0.04,0.00,0.00,1
1.618,-3.46,0.36,0.1523,-0.0022,-0.3828,9.5039,0.04,0.00,0.00,1
1.637,-3.45,0.33,0.1914,0.0448,-0.6523,9.6875,0.04,0.00,0.00,1
1.650,-3.46,0.32,0.3047,0.0863,-0.9180,9.7695,0.04,0.00,0.00,1
1.667,-3.46,0.32,-0.6914,0.0685,-0.1133,8.6992,0.04,0.00,0.00,1
1.686,-3.46,0.32,-0.3047,-0.1050,-0.7266,9.1172,0.04,0.00,0.00,1
1.700,-3.46,0.34,-0.1914,-0.1266,-0.7266,8.8828,0.04,0.00,0.00,1
1.717,-3.45,0.32,0.5742,0.0208,-0.2695,10.1875,0.04,0.00,0.00,1
1.736,-3.46,0.31,0.5742,0.1777,-0.5742,10.4922,0.04,0.00,0.00,1
1.759,-3.45,0.31,-0.8438,0.1603,-0.0781,8.5820,0.04,0.00,0.00,1
1.768,-3.45,0.32,-0.8438,0.0061,-0.0781,8.5820,0.04,0.00,0.00,1
1.789,-3.45,0.31,-0.3828,-0.1370,-0.6523,8.7383,0.04,0.00,0.00,1
1.808,-3.44,0.29,0.6914,-0.1208,-0.3047,10.2305,0.04,0.00,0.00,1
1.820,-3.44,0.27,0.4609,0.0405,-0.6523,10.2305,0.04,0.00,0.00,1
1.837,-3.44,0.27,0.5742,0.1688,-0.7266,10.0352,0.04,0.00,0.00,1
1.857,-3.44,0.28,-0.4961,0.0702,-0.6523,8.1953,0.04,0.00,0.00,1
1.870,-3.44,0.27,-0.2695,0.0013,-0.2695,9.5430,0.04,0.00,0.00,1
