t_s,lin_ax_raw_mps2,lin_ax_filt_mps2,lin_ay_raw_mps2,lin_ay_filt_mps2,lin_az_raw_mps2,lin_az_filt_mps2,roll_deg,pitch_deg,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,bike_long_acc_raw_mps2,bike_long_acc_filt_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.006,0.2422,0.2422,0.0664,0.0664,0.6719,0.6719,-1.91,1.10,-0.1133,-0.4219,9.1562,-0.1133,0.0628,0.00,0.00,0.00,1
0.024,0.0508,0.1998,-0.1250,0.0240,-0.1719,0.4851,-1.91,1.10,-0.9180,-0.0781,8.2773,-0.9180,-0.0515,0.00,0.00,0.00,1
0.043,-0.1055,-0.0273,0.2187,0.0707,0.0937,0.1027,-1.90,1.10,-0.2695,-0.0781,9.4219,-0.2695,-0.2034,0.00,0.00,0.00,1
0.057,-0.1055,-0.0393,0.2187,0.0935,0.0937,0.1013,-1.91,1.10,-0.0391,-0.5742,9.1172,-0.0391,-0.1951,0.00,0.00,0.00,1
0.074,0.5078,0.0341,0.2969,0.0414,0.8633,0.0982,-1.90,1.10,0.3437,0.0000,10.1914,0.3437,-0.0572,0.00,0.00,0.00,1
0.096,0.2031,0.1488,-0.0078,0.0817,0.5078,0.3045,-1.91,1.08,0.2695,-0.3828,9.5430,0.2695,0.0115,0.00,0.00,0.00,1
0.108,0.4336,0.1756,-0.0859,0.0617,0.2031,0.3113,-1.90,1.09,0.2695,-0.3828,9.5430,0.2695,0.0512,0.00,0.00,0.00,1
0.125,-0.2969,0.1903,0.2578,0.0473,-0.5625,0.2194,-1.91,1.08,-0.4609,-0.0391,8.7773,-0.4609,-0.0486,0.00,0.00,0.00,1
0.145,0.0508,0.0971,0.1133,0.0892,-0.0664,0.0523,-1.91,1.09,-0.9180,-0.4961,8.0820,-0.9180,-0.1384,0.00,0.00,0.00,1
0.164,-0.7539,-0.0941,-0.1914,0.0286,-1.2539,-0.2442,-1.92,1.08,0.1133,-0.1133,10.1914,0.1133,-0.2770,0.00,0.00,0.00,1
0.176,0.2773,-0.0817,0.1914,0.0387,0.8555,-0.1436,-1.93,1.10,0.0391,-0.4219,9.8437,0.0391,-0.1966,0.00,0.00,0.00,1
0.195,0.2031,0.0037,-0.1172,0.0137,0.5078,0.0628,-1.93,1.09,-0.1523,-0.3437,9.0820,-0.1523,-0.1451,0.00,0.00,0.00,1
0.214,-0.0352,0.0136,-0.1172,-0.0150,-0.1406,0.0067,-1.94,1.08,-0.1914,-0.4219,9.1953,-0.1914,-0.1562,0.00,0.00,0.00,1
0.227,-0.0352,0.0061,-0.1172,-0.0307,-0.1406,-0.0159,-1.94,1.07,0.4609,-0.2695,10.2305,0.4609,-0.1094,0.00,0.00,0.00,1
0.244,-0.4961,0.0880,-0.1172,-0.0292,-1.1016,0.0747,-1.94,1.08,-0.6523,-0.4219,8.2344,-0.6523,-0.1613,0.00,0.00,0.00,1
0.264,0.0430,-0.0345,0.0430,-0.0413,0.3945,-0.1392,-1.94,1.10,-0.1133,-0.2695,9.7305,-0.1133,-0.1813,0.00,0.00,0.00,1
0.284,-0.1484,-0.0505,-0.0703,-0.0377,-0.0273,-0.0506,-1.94,1.10,-0.9570,-0.3047,8.2344,-0.9570,-0.2756,0.00,0.00,0.00,1
0.295,-0.8008,-0.1177,0.0078,-0.0364,-1.1016,-0.1330,-1.94,1.10,-0.9570,-0.3047,8.2344,-0.9570,-0.3802,0.00,0.00,0.00,1
0.315,-0.8008,-0.3114,0.0078,-0.0239,-1.1016,-0.4077,-1.94,1.09,-0.1133,-0.5352,9.1211,-0.1133,-0.3571,0.00,0.00,0.00,1
