t_s,roll_deg,pitch_deg,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.007,-2.77,0.05,-0.2695,-0.5498,-0.5352,9.2656,0.02,0.00,0.00,1
0.026,-2.76,0.06,-0.8438,-0.5163,-0.5352,8.0820,0.02,0.00,0.00,1
0.043,-2.75,0.04,0.6523,-0.2968,-0.4219,10.3828,0.02,0.00,0.00,1
0.058,-2.76,0.07,0.2695,-0.1817,-0.3047,10.0000,0.02,0.00,0.00,1
0.075,-2.75,0.07,0.6523,0.0569,-0.8047,9.7266,0.02,0.00,0.00,1
0.094,-2.74,0.07,-0.0781,0.0641,-0.2695,9.6094,0.02,0.00,0.00,1
0.116,-2.73,0.07,-0.8438,0.0451,-0.4219,8.3555,0.02,0.00,0.00,1
0.126,-2.73,0.07,-0.8438,-0.0915,-0.4219,8.3555,0.02,0.00,0.00,1
0.147,-2.72,0.07,-0.2695,-0.1222,-0.5352,9.1211,0.02,0.00,0.00,1
0.165,-2.72,0.08,-0.1523,-0.1546,-0.3828,9.0820,0.02,0.00,0.00,1
0.177,-2.72,0.09,0.1133,-0.1329,-0.3828,9.6914,0.00,0.00,0.00,1
0.196,-2.72,0.07,0.5742,-0.0262,-0.2695,9.8828,0.00,0.00,0.00,1
0.215,-2.71,0.07,-0.2305,0.0004,-0.3828,8.8828,0.00,0.00,0.00,1
0.228,-2.72,0.05,-0.0391,-0.0197,-0.3828,9.6914,0.00,0.00,0.00,1
0.245,-2.72,0.08,-0.3047,-0.0851,-0.4961,9.1562,0.00,0.00,0.00,1
0.265,-2.72,0.09,-0.9180,-0.2831,-0.3047,8.2344,0.00,0.00,0.00,1
0.287,-2.73,0.08,0.0000,-0.1717,-0.4609,9.2656,0.00,0.00,0.00,1
0.296,-2.72,0.07,0.0000,-0.1453,-0.4609,9.2656,0.00,0.00,0.00,1
0.317,-2.73,0.05,0.1914,0.0834,0.0000,10.4570,0.00,0.00,0.00,1
0.335,-2.74,0.07,0.5352,0.1415,-0.9570,9.5430,0.00,0.00,0.00,1
0.347,-2.74,0.07,-0.4219,0.1521,-0.2305,8.8867,0.00,0.00,0.00,1
0.365,-2.74,0.07,-0.0391,0.0199,-0.3828,9.2656,0.00,0.00,0.00,1
0.385,-2.75,0.06,-0.9961,-0.2120,-0.5352,8.0820,0.00,0.00,0.00,1
0.398,-2.75,0.04,0.0781,-0.2465,-0.4609,9.6094,0.00,0.00,0.00,1
0.415,-2.76,0.02,0.0000,-0.1531,-0.2305,9.9609,0.00,0.00,0.00,1
0.434,-2.77,0.04,0.1523,-0.0672,-0.6133,9.3477,0.00,0.00,0.00,1
0.458,-2.77,0.05,0.4609,0.0634,-0.3437,10.0742,0.00,0.00,0.00,1
0.466,-2.78,0.06,0.4609,0.1244,-0.3437,10.0742,0.00,0.00,0.00,1
0.487,-2.79,0.04,-0.2305,-0.0349,-0.4609,9.3086,0.00,0.00,0.00,1
0.505,-2.79,0.01,-0.1133,-0.0810,-0.5742,9.5391,0.00,0.00,0.00,1
0.518,-2.81,0.03,-0.8047,-0.1434,-0.3828,8.1992,0.00,0.00,0.00,1
0.535,-2.81,0.04,0.0000,-0.2666,-0.4961,9.5430,0.00,0.00,0.00,1
0.556,-2.82,0.06,0.0000,-0.1757,-0.5742,9.1992,0.00,0.00,0.00,1
0.568,-2.81,0.05,0.8438,-0.0693,-0.3437,10.1914,0.00,0.00,0.00,1
0.585,-2.82,0.06,0.1523,0.1343,-0.2305,10.4961,0.00,0.00,0.00,1
0.604,-2.83,0.07,0.4609,0.2088,-0.8828,9.3477,0.00,0.00,0.00,1
0.623,-2.83,0.06,-0.3437,0.1022,-0.3047,8.9609,0.00,0.00,0.00,1
0.636,-2.83,0.06,0.0000,0.0796,-0.4961,9.4219,0.00,0.00,0.00,1
0.654,-2.83,0.06,-0.9961,-0.1634,-0.6914,7.9687,0.00,0.00,0.00,1
0.675,-2.83,0.08,0.2305,-0.0689,-0.5352,10.0352,0.00,0.00,0.00,1
0.695,-2.83,0.09,0.0000,-0.0178,-0.6133,9.1953,0.00,0.00,0.00,1
0.706,-2.84,0.09,0.1914,0.0014,-0.3828,9.5391,0.00,0.00,0.00,1
0.725,-2.84,0.08,0.4961,0.0797,-0.4961,10.1094,0.00,0.00,0.00,1
0.738,-2.83,0.07,-0.5352,0.0893,-0.4961,8.4648,0.00,0.00,0.00,1
0.755,-2.83,0.06,-0.3437,-0.0725,-0.2305,9.6523,0.00,0.00,0.00,1
0.774,-2.82,0.09,0.0391,-0.0802,-1.0742,9.1562,0.00,0.00,0.00,1
0.794,-2.82,0.09,-0.8047,-0.2331,-0.1133,8.5781,0.00,0.00,0.00,1
0.806,-2.82,0.08,-0.0391,-0.1902,-0.5742,9.2266,0.00,0.00,0.00,1
0.824,-2.81,0.07,-0.0781,-0.1560,-0.5742,9.1562,0.00,0.00,0.00,1
0.847,-2.81,0.04,0.2695,0.1916,-0.3828,10.5312,0.00,0.00,0.00,1
0.857,-2.81,0.03,0.2695,0.2036,-0.3828,10.5312,0.00,0.00,0.00,1
0.877,-2.81,0.06,-0.3828,0.2280,-0.3047,8.9609,0.00,0.00,0.00,1
0.896,-2.80,0.06,0.0391,0.0885,-0.4609,9.3867,0.00,0.00,0.00,1
