t_s,gyro_x_rads,gyro_y_rads,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.023,0.0234,0.0137,-0.0391,-0.7656,9.1992,0.00,0.00,0.00,1
0.038,-0.0137,0.0020,0.4961,-0.6523,10.0039,0.00,0.00,0.00,1
0.055,0.0098,-0.0820,-0.4961,-0.6133,8.6211,0.00,0.00,0.00,1
0.072,-0.0059,0.0410,0.1523,-0.6523,10.0742,0.00,0.00,0.00,1
0.091,-0.0137,0.0703,0.1133,-1.0352,9.2656,0.00,0.00,0.00,1
0.106,0.0039,-0.0195,-0.7656,-0.6133,8.4609,0.00,0.00,0.00,1
0.123,-0.0176,0.0273,-0.2695,-0.5742,9.0781,0.00,0.00,0.00,1
0.145,0.0059,-0.0195,0.3047,-0.4961,9.7266,0.00,0.00,0.00,1
0.158,-0.0117,0.0117,-0.1523,-0.8828,9.3047,0.00,0.00,0.00,1
0.174,0.0117,-0.0566,0.7656,-0.8828,10.4961,0.00,0.00,0.00,1
0.191,0.0039,0.0020,-0.1133,-0.8438,8.8867,0.00,0.00,0.00,1
0.208,0.0156,-0.0332,0.0391,-0.3437,9.3867,0.00,0.00,0.00,1
0.225,0.0117,-0.0312,-0.7266,-0.7656,8.4609,0.00,0.00,0.00,1
0.242,-0.0137,0.0352,0.4219,-0.4961,10.3437,0.00,0.00,0.00,1
0.261,0.0078,0.0312,-0.5352,-0.8047,8.8437,0.00,0.00,0.00,1
0.276,-0.0137,-0.0254,-0.1133,-0.6523,9.2656,0.00,0.00,0.00,1
0.293,0.0098,-0.0566,0.0781,-0.8047,9.4258,0.00,0.00,0.00,1
0.314,0.0137,-0.0566,-0.6133,-0.5742,8.3906,0.00,0.00,0.00,1
0.329,0.0020,-0.0020,0.4219,-0.6523,9.9258,0.00,0.00,0.00,1
0.344,0.0098,0.0137,-0.3047,-0.9180,9.3828,0.00,0.00,0.00,1
0.363,-0.0156,-0.0312,-0.6914,-0.6523,8.6562,0.00,0.00,0.00,1
0.378,0.0098,0.0215,-0.2305,-0.5742,9.0820,0.00,0.00,0.00,1
0.395,-0.0137,0.0547,0.2305,-0.9180,9.6523,0.00,0.00,0.00,1
0.412,-0.0039,0.0039,0.1523,-0.4961,9.6094,0.00,0.00,0.00,1
0.431,0.0098,-0.0312,0.0781,-0.6523,9.7656,0.00,0.00,0.00,1
0.446,0.0000,0.0957,0.6133,-0.9180,9.8047,0.00,0.00,0.00,1
0.463,0.0156,0.0254,-0.4961,-0.7656,8.8164,0.00,0.00,0.00,1
0.485,-0.0137,0.0469,-0.3828,-0.9570,8.6953,0.00,0.00,0.00,1
0.497,0.0156,-0.0684,-0.3828,-0.9570,8.6953,0.00,0.00,0.00,1
0.516,-0.0117,0.0078,-0.2305,-0.7656,9.1953,0.00,0.00,0.00,1
0.535,0.0000,0.0918,0.4609,-0.7656,9.6523,0.00,0.00,0.00,1
0.548,-0.0117,-0.0293,-0.1133,-0.7656,9.0391,0.00,0.00,0.00,1
0.565,-0.0020,-0.0449,0.2695,-0.4609,9.6094,0.00,0.00,0.00,1
0.582,0.0137,-0.0645,-0.8047,-0.8438,8.4258,0.00,0.00,0.00,1
0.601,-0.0059,-0.0117,0.6523,-0.5352,10.2305,0.00,0.00,0.00,1
0.616,0.0078,0.0254,-0.3047,-0.6914,9.1211,0.00,0.00,0.00,1
0.633,-0.0078,0.0078,0.6133,-0.8828,10.0312,0.00,0.00,0.00,1
0.651,0.0039,-0.0449,-0.1523,-0.6914,8.8828,0.00,0.00,0.00,1
0.667,-0.0137,0.0430,0.4609,-0.4961,10.1094,0.00,0.00,0.00,1
0.684,0.0039,-0.0020,-0.8438,-0.8047,8.3906,0.00,0.00,0.00,1
0.704,0.0020,0.0312,-0.5352,-0.6914,8.9258,0.02,0.00,0.00,1
0.718,-0.0020,-0.0449,0.2695,-0.6914,9.7266,0.02,0.00,0.00,1
0.735,0.0000,0.0078,-0.0391,-0.7656,9.1172,0.02,0.00,0.00,1
0.753,-0.0039,0.0430,0.5352,-0.6133,10.1914,0.02,0.00,0.00,1
