t_s,gyro_x_rads,gyro_y_rads,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.021,-0.0254,-0.0254,-0.5742,-0.4219,8.6953,0.00,0.00,0.00,1
0.038,0.0020,0.0234,0.0391,-0.8047,9.3828,0.00,0.00,0.00,1
0.055,-0.0312,0.0508,0.1914,-0.5352,9.3086,0.00,0.00,0.00,1
0.072,0.0195,0.0215,0.1133,-0.7266,9.4219,0.00,0.00,0.00,1
0.091,0.0078,-0.0293,0.3047,-0.6133,9.6133,0.00,0.00,0.00,1
0.106,0.0156,0.0859,0.4219,-1.0352,9.8437,0.00,0.00,0.00,1
0.123,0.0215,0.0312,-0.7266,-0.7266,8.5430,0.00,0.00,0.00,1
0.144,-0.0352,0.0488,-0.3047,-0.9180,8.9609,0.00,0.00,0.00,1
0.158,0.0195,-0.0684,0.4961,-0.4961,10.1914,0.00,0.00,0.00,1
0.175,-0.0254,0.0234,-0.1133,-0.6133,9.0039,0.00,0.00,0.00,1
0.192,-0.0020,0.1250,0.9570,-0.8047,10.3437,0.00,0.00,0.00,1
0.208,-0.0332,-0.0645,-0.0781,-0.8438,9.0039,0.00,0.00,0.00,1
0.225,-0.0137,-0.0312,-0.0391,-0.3437,9.5039,0.00,0.00,0.00,1
0.242,0.0254,-0.0469,-0.6133,-0.9961,8.4648,0.00,0.00,0.00,1
0.259,-0.0039,0.0215,0.5352,-0.5742,10.4180,0.02,0.00,0.00,1
0.276,0.0273,-0.0937,-0.4961,-0.9180,8.7773,0.02,0.00,0.00,1
0.294,-0.0137,-0.0566,-0.4961,-0.5742,8.6562,0.02,0.00,0.00,1
0.314,-0.0234,-0.0098,0.3437,-0.9961,9.5039,0.02,0.00,0.00,1
0.332,0.0273,-0.0371,-0.1523,-0.8047,9.0781,0.02,0.00,0.00,1
0.344,-0.0137,0.0273,0.2695,-0.4961,9.5430,0.02,0.00,0.00,1
0.363,0.0273,-0.0762,0.5742,-0.9180,10.2266,0.02,0.00,0.00,1
0.378,-0.0215,0.0586,-0.8438,-0.7656,8.2734,0.02,0.00,0.00,1
0.395,0.0254,-0.0059,-0.4609,-0.4609,9.1602,0.02,0.00,0.00,1
0.413,0.0098,-0.0215,-0.2305,-1.0352,8.8164,0.02,0.00,0.00,1
0.432,-0.0293,0.0273,0.8828,-0.5742,10.4180,0.02,0.00,0.00,1
0.446,0.0020,0.0098,-0.3437,-0.6523,9.0430,0.00,0.00,0.00,1
0.463,-0.0312,-0.0332,0.5742,-0.6914,9.8047,0.00,0.00,0.00,1
0.484,0.0098,-0.0566,0.1914,-0.4219,9.3867,0.00,0.00,0.00,1
0.497,-0.0332,0.0527,0.1914,-0.4219,9.3867,0.00,0.00,0.00,1
0.517,0.0039,-0.0078,0.5742,-0.4961,10.0000,0.00,0.00,0.00,1
0.534,0.0195,-0.0547,-0.3047,-1.2656,9.4219,0.00,0.00,0.00,1
0.548,0.0059,0.1055,-0.8438,-0.6914,8.6172,0.00,0.00,0.00,1
0.565,0.0352,0.0332,0.0391,-0.7266,9.3477,0.00,0.00,0.00,1
0.582,-0.0156,0.0703,0.3437,-1.0742,9.6523,0.00,0.00,0.00,1
0.601,0.0020,0.0234,-0.1523,-0.6523,9.1211,0.00,0.00,0.00,1
0.616,-0.0098,0.0293,0.1914,-0.4961,9.6133,0.00,0.00,0.00,1
