t_s,gyro_x_rads,gyro_y_rads,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.024,-0.0234,0.0488,-0.6133,-0.5352,8.6953,0.00,0.00,0.00,1
0.037,0.0020,-0.0215,0.1523,-0.7266,9.6094,0.00,0.00,0.00,1
0.054,-0.0273,0.0176,0.1133,-0.8438,9.3047,0.00,0.00,0.00,1
0.071,0.0273,-0.0449,-0.2695,-0.6523,9.1211,0.00,0.00,0.00,1
0.087,-0.0273,0.0215,0.3828,-0.4961,9.6484,0.00,0.00,0.00,1
0.104,0.0234,-0.0137,0.7656,-0.7656,10.1484,0.00,0.00,0.00,1
0.121,0.0117,0.0078,-0.7656,-0.8828,8.5391,0.00,0.00,0.00,1
0.138,0.0137,-0.0234,-0.3437,-0.3047,9.1562,0.00,0.00,0.00,1
0.155,0.0195,-0.0430,-0.4219,-0.9570,8.5391,0.00,0.00,0.00,1
0.172,-0.0352,0.0293,0.7266,-0.5352,10.3867,0.00,0.00,0.00,1
0.194,0.0039,0.0859,0.3828,-0.5742,9.7266,0.00,0.00,0.00,1
0.211,0.0254,0.0430,0.3047,-1.0352,9.6523,0.00,0.00,0.00,1
0.223,-0.0039,-0.0488,0.0391,-0.4961,9.4648,0.00,0.00,0.00,1
0.241,0.0254,-0.0977,-0.8828,-0.8828,8.1953,0.00,0.00,0.00,1
0.257,-0.0098,0.0352,0.4961,-0.0781,10.2305,0.00,0.00,0.00,1
0.274,0.0117,-0.0371,0.1523,-0.8047,9.6523,0.00,0.00,0.00,1
0.291,-0.0352,-0.0332,-0.5742,-0.1133,8.5000,0.00,0.00,0.00,1
0.308,0.0332,0.0176,-0.1914,-0.8828,9.2266,0.00,0.00,0.00,1
0.326,-0.0156,0.0742,0.3828,-1.7617,9.5820,0.00,0.00,0.00,1
0.342,0.0000,0.0234,-0.3437,-1.0742,8.9609,0.00,0.00,0.00,1
0.363,0.0312,-0.0469,0.0781,-1.0352,9.6094,0.00,0.00,0.00,1
0.376,0.0020,0.0859,0.0781,-1.0352,9.6094,0.00,0.00,0.00,1
0.394,0.0293,0.0098,-0.1914,0.0391,9.2695,0.00,0.00,0.00,1
0.413,-0.0078,0.0762,-0.1523,-0.9570,9.0039,0.00,0.00,0.00,1
0.427,0.0332,-0.1055,0.4961,-0.5352,9.9648,0.00,0.00,0.00,1
0.444,-0.0098,-0.0039,-0.1133,-0.5352,9.8477,0.00,0.00,0.00,1
0.461,-0.0234,0.0820,0.5352,-0.5742,9.6875,0.00,0.00,0.00,1
0.478,-0.0234,-0.0078,-0.3828,-1.0742,8.8828,0.00,0.00,0.00,1
0.495,-0.0098,-0.0430,-0.4219,-0.9961,9.1172,0.00,0.00,0.00,1
0.512,0.0293,-0.1152,-0.6133,-1.1484,8.7734,0.00,0.00,0.00,1
0.533,0.0000,-0.0410,-0.0781,-0.7266,9.4219,0.00,0.00,0.00,1
0.546,0.0078,0.0195,-0.0781,-0.7266,9.4219,0.00,0.00,0.00,1
0.566,-0.0078,-0.0176,-0.5742,-0.9180,8.5000,0.00,0.00,0.00,1
0.583,0.0098,-0.0449,0.2305,-0.3828,9.4609,0.00,0.00,0.00,1
0.597,0.0000,0.0508,-0.8438,-0.7656,8.3555,0.00,0.00,0.00,1
0.614,-0.0039,0.0137,0.6914,-0.1914,10.4531,0.00,0.00,0.00,1
0.632,-0.0020,0.0059,-0.3437,-0.3828,9.1953,0.00,0.00,0.00,1
0.648,-0.0078,0.0527,0.1914,-0.9961,9.5781,0.00,0.00,0.00,1
0.665,0.0156,0.0195,-0.0391,-1.1875,9.1602,0.00,0.00,0.00,1
0.682,-0.0059,0.0488,0.2305,-0.5742,9.9219,0.00,0.00,0.00,1
0.705,-0.0020,0.0156,0.2695,-0.0391,10.1094,0.00,0.00,0.00,1
0.716,-0.0137,-0.0195,0.2695,-0.0391,10.1094,0.00,0.00,0.00,1
0.733,-0.0098,0.0273,-0.4219,-0.5352,8.6992,0.00,0.00,0.00,1
0.754,0.0000,0.0059,-0.0391,-0.6914,9.3828,0.00,0.00,0.00,1
0.768,-0.0020,-0.0352,0.1523,-0.9961,9.3867,0.00,0.00,0.00,1
0.784,0.0059,-0.0527,-0.1914,-0.8438,8.9609,0.00,0.00,0.00,1
0.802,-0.0156,0.0332,0.2305,-0.8828,9.8828,0.00,0.00,0.00,1
0.818,0.0117,-0.0605,0.8047,-1.3789,10.1875,0.00,0.00,0.00,1
0.835,-0.0117,-0.0469,-0.5352,-0.9180,8.7773,0.00,0.00,0.00,1
0.852,0.0059,-0.0195,-0.2695,-0.5352,9.3047,0.00,0.00,0.00,1
0.871,0.0312,-0.0957,-0.3047,-1.0742,8.6953,0.00,0.00,0.00,1
0.886,0.0020,0.0566,0.8438,-0.4219,10.5703,0.00,0.00,0.00,1
0.903,0.0215,-0.0859,-0.1914,-0.4961,8.7734,0.00,0.00,0.00,1
0.924,-0.0117,-0.0410,-0.1133,-1.0352,9.1953,0.00,0.00,0.00,1
0.941,-0.0078,0.0137,0.2305,-0.4609,9.5391,0.00,0.00,0.00,1
0.954,0.0020,0.0098,-0.8828,-0.5742,8.1172,0.00,0.00,0.00,1
0.974,-0.0098,0.0117,0.7656,-0.1914,10.3047,0.00,0.00,0.00,1
0.988,-0.0117,0.0293,-0.4219,-0.8438,9.1992,0.00,0.00,0.00,1
1.005,-0.0176,0.0195,-0.5742,-0.4609,8.8828,0.00,0.00,0.00,1
1.022,0.0254,0.0059,0.1914,-0.9180,9.5781,0.00,0.00,0.00,1
1.041,0.0039,0.0156,0.3047,-0.7656,9.4219,0.00,0.00,0.00,1
1.056,0.0195,-0.0293,-0.3047,-0.3437,8.9609,0.00,0.00,0.00,1
1.074,-0.0078,0.0332,0.1523,-0.5742,10.0352,0.00,0.00,0.00,1
1.091,-0.0254,0.0273,0.3437,-1.0742,9.8437,0.00,0.00,0.00,1
1.107,0.0059,-0.0137,-0.6133,-0.7656,8.5391,0.00,0.00,0.00,1
1.125,-0.0273,0.0215,-0.2305,-1.0352,8.9258,0.00,0.00,0.00,1
1.143,0.0039,-0.0254,0.5352,-0.5742,10.0352,0.00,0.00,0.00,1
1.158,-0.0254,0.0098,-0.2305,-0.7656,9.5820,0.00,0.00,0.00,1
1.175,0.0117,-0.0293,0.6914,-0.7266,10.1875,0.00,0.00,0.00,1
1.192,0.0137,-0.0059,-0.3828,-1.0352,8.8125,0.00,0.00,0.00,1
1.211,-0.0254,0.0293,-0.0391,-0.4961,9.5430,0.00,0.00,0.00,1
1.226,0.0137,-0.0332,-0.7656,-0.9961,8.2344,0.00,0.00,0.00,1
1.243,-0.0176,0.0234,0.7266,-0.4961,10.4922,0.00,0.00,0.00,1
