t_s,gyro_x_rads,gyro_y_rads,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.018,-0.0312,0.0586,0.0781,-0.6523,9.9219,0.00,0.00,0.00,1
0.037,-0.0195,0.0332,-0.5742,-0.8047,8.8477,0.00,0.00,0.00,1
0.054,0.0449,-0.0234,-0.0391,-0.4609,9.4219,0.00,0.00,0.00,1
0.072,-0.0098,-0.0273,-0.7656,-0.9961,8.1992,0.00,0.00,0.00,1
0.086,0.0312,-0.0215,0.4219,-0.3437,10.2266,0.00,0.00,0.00,1
0.103,-0.0059,0.0312,-0.6133,-0.9961,9.1602,0.00,0.00,0.00,1
0.121,-0.0352,0.0234,0.6133,-0.5742,10.2695,0.00,0.00,0.00,1
0.137,0.0078,-0.0039,-0.1914,-0.9961,9.0391,0.00,0.00,0.00,1
0.154,-0.0371,0.0391,0.0000,-0.5352,9.3867,0.02,0.00,0.00,1
0.171,0.0195,-0.0234,-0.3828,-0.6523,8.8125,0.02,0.00,0.00,1
0.188,-0.0410,0.0371,0.3047,-0.6133,10.1875,0.02,0.00,0.00,1
0.205,0.0195,0.0742,0.1914,-1.1094,9.6484,0.02,0.00,0.00,1
0.223,0.0293,0.0254,-0.1523,-0.6914,9.4258,0.02,0.00,0.00,1
0.243,-0.0352,0.0645,-0.3437,-0.9570,8.6953,0.02,0.00,0.00,1
0.256,0.0371,-0.0996,0.5352,-0.3047,10.1133,0.02,0.00,0.00,1
0.274,-0.0391,0.0352,0.0781,-0.7656,9.6133,0.02,0.00,0.00,1
0.290,-0.0020,0.0605,0.4961,-0.7656,10.0352,0.02,0.00,0.00,1
0.307,-0.0332,0.0078,-0.4961,-0.9961,8.6602,0.02,0.00,0.00,1
0.324,-0.0137,0.0098,0.0781,-0.2695,9.4219,0.02,0.00,0.00,1
0.341,0.0449,-0.0547,-0.8828,-1.0352,8.2773,0.02,0.00,0.00,1
0.358,-0.0254,0.0098,0.4219,-0.3828,10.2695,0.02,0.00,0.00,1
0.375,0.0391,-0.0801,-0.4961,-0.9961,9.1211,0.02,0.00,0.00,1
0.392,-0.0176,-0.0156,0.3437,-0.5352,10.1484,0.02,0.00,0.00,1
0.415,-0.0273,0.0137,0.0391,-0.6133,9.5039,0.02,0.00,0.00,1
0.427,-0.0059,0.0078,-0.4961,-0.5742,8.7344,0.02,0.00,0.00,1
0.443,-0.0332,0.0020,0.3828,-0.6523,10.4531,0.02,0.00,0.00,1
0.461,0.0371,-0.0391,-0.0391,-1.0352,9.2305,0.02,0.00,0.00,1
0.477,-0.0273,0.0352,-0.6133,-0.5742,8.7344,0.02,0.00,0.00,1
0.494,0.0352,-0.0234,-0.1523,-0.6523,9.3867,0.02,0.00,0.00,1
0.511,0.0176,-0.0352,-0.3437,-0.9570,8.7773,0.02,0.00,0.00,1
0.528,0.0254,-0.0273,0.4219,-0.4609,9.8086,0.02,0.00,0.00,1
0.546,0.0078,-0.0137,-0.0391,-0.8047,9.4258,0.00,0.00,0.00,1
0.562,-0.0391,0.0078,0.4961,-0.6914,10.2266,0.00,0.00,0.00,1
0.585,0.0195,-0.0371,-0.0391,-0.2695,9.1602,0.00,0.00,0.00,1
0.597,-0.0293,0.0332,-0.7656,-0.8828,8.4258,0.00,0.00,0.00,1
0.613,0.0078,-0.0098,0.5352,-0.3828,10.2656,0.00,0.00,0.00,1
0.631,0.0195,0.0039,-0.5352,-0.9570,9.1953,0.00,0.00,0.00,1
0.647,0.0117,-0.0078,0.6914,-0.6133,10.1523,0.00,0.00,0.00,1
0.664,0.0234,-0.0137,-0.3437,-1.0352,8.8125,0.00,0.00,0.00,1
0.682,-0.0273,0.0293,0.1523,-0.4961,9.7305,0.00,0.00,0.00,1
0.698,0.0293,-0.0547,-1.1094,-0.7266,7.8945,0.00,0.00,0.00,1
0.716,-0.0273,0.0000,0.6523,-0.5742,10.4961,0.00,0.00,0.00,1
0.732,0.0020,0.0273,-0.2305,-0.8047,9.0039,0.00,0.00,0.00,1
0.754,0.0195,0.0098,-0.5352,-0.8438,8.8867,0.02,0.00,0.00,1
0.767,0.0078,-0.0488,0.4609,-0.7656,10.0000,0.02,0.00,0.00,1
0.784,0.0215,-0.0703,-0.4609,-0.4609,8.6211,0.02,0.00,0.00,1
0.803,-0.0234,-0.0137,0.1914,-0.8438,10.1875,0.02,0.00,0.00,1
0.817,0.0156,0.0195,-0.4219,-0.8828,8.8164,0.02,0.00,0.00,1
0.835,-0.0215,0.0293,-0.2305,-0.7656,9.3047,0.02,0.00,0.00,1
0.851,0.0098,-0.0391,-0.3047,-0.5742,8.8867,0.02,0.00,0.00,1
0.868,-0.0176,0.0332,0.0000,-0.9961,9.3867,0.02,0.00,0.00,1
0.885,-0.0020,-0.0137,0.1133,-0.3437,9.5430,0.02,0.00,0.00,1
0.902,0.0059,-0.0098,0.0781,-0.8047,9.7695,0.02,0.00,0.00,1
0.924,-0.0137,0.0078,-0.5352,-0.8828,8.8477,0.02,0.00,0.00,1
0.936,0.0078,0.0039,-0.5352,-0.8828,8.8477,0.02,0.00,0.00,1
0.955,-0.0176,0.0117,-0.1914,-0.9961,9.0391,0.02,0.00,0.00,1
0.974,0.0078,-0.0117,0.8047,-0.4219,10.5742,0.02,0.00,0.00,1
0.987,-0.0156,-0.0020,0.1133,-0.8438,9.5820,0.02,0.00,0.00,1
1.004,0.0098,-0.0684,0.0781,-0.7266,9.4648,0.02,0.00,0.00,1
1.022,0.0000,-0.0195,-0.8047,-0.8047,8.5820,0.02,0.00,0.00,1
1.038,0.0215,-0.0234,0.0391,-0.4609,9.5039,0.02,0.00,0.00,1
1.055,0.0020,0.0039,-0.5352,-0.9961,8.5820,0.02,0.00,0.00,1
1.072,-0.0137,0.0117,0.6523,-0.3828,10.3477,0.02,0.00,0.00,1
1.095,0.0137,-0.0449,0.6133,-0.6914,10.3437,0.02,0.00,0.00,1
1.106,-0.0098,0.0352,0.6133,-0.6914,10.3437,0.02,0.00,0.00,1
1.123,0.0273,-0.0234,-0.4219,-0.9180,8.7734,0.02,0.00,0.00,1
