t_s,gyro_x_rads,gyro_y_rads,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.020,0.0156,-0.0039,-0.3437,-0.7266,8.8477,0.02,0.00,0.00,1
0.037,0.0098,-0.0410,0.0000,-0.4609,9.3047,0.02,0.00,0.00,1
0.054,0.0234,-0.0215,-0.7266,-0.9961,8.3125,0.02,0.00,0.00,1
0.071,-0.0156,0.0059,0.6133,-0.4219,10.4961,0.02,0.00,0.00,1
0.090,0.0020,-0.0312,-0.1523,-0.7656,9.1172,0.02,0.00,0.00,1
0.105,-0.0098,0.0273,0.5352,-0.8438,10.0312,0.02,0.00,0.00,1
0.125,0.0039,-0.0273,0.3437,-0.5352,9.7305,0.02,0.00,0.00,1
0.143,0.0117,0.0293,-1.2266,-0.8047,7.7383,0.02,0.00,0.00,1
0.157,0.0000,-0.0488,0.6523,-0.4219,10.5703,0.02,0.00,0.00,1
0.173,0.0078,0.0430,-0.3437,-0.7656,9.1172,0.02,0.00,0.00,1
0.191,0.0000,0.0664,0.6914,-0.8047,10.1094,0.02,0.00,0.00,1
0.207,0.0000,-0.0098,-0.4609,-0.8047,8.6562,0.02,0.00,0.00,1
0.224,0.0000,0.0059,0.4609,-0.6523,10.1094,0.02,0.00,0.00,1
0.241,0.0000,-0.0645,-1.0742,-0.7656,7.9727,0.02,0.00,0.00,1
0.258,-0.0078,0.0293,0.5742,-0.4609,10.3437,0.02,0.00,0.00,1
0.275,0.0000,-0.0645,-0.2695,-0.9180,8.8125,0.02,0.00,0.00,1
0.292,-0.0059,-0.0059,-0.1523,-0.5352,9.1953,0.02,0.00,0.00,1
0.312,-0.0020,0.0039,0.4961,-0.7656,9.9609,0.02,0.00,0.00,1
0.330,0.0098,-0.0664,-0.3828,-0.7266,8.8477,0.02,0.00,0.00,1
0.343,-0.0039,0.0293,0.1133,-0.5742,10.0703,0.02,0.00,0.00,1
0.362,0.0117,-0.0664,0.0391,-1.1094,9.3437,0.02,0.00,0.00,1
0.377,-0.0020,0.0488,-0.4961,-0.5742,8.6992,0.02,0.00,0.00,1
0.394,0.0215,-0.0078,-0.2695,-0.5742,9.1562,0.02,0.00,0.00,1
0.411,-0.0098,0.0078,-0.2305,-0.9570,9.0781,0.02,0.00,0.00,1
0.430,-0.0078,0.0098,0.3828,-0.5352,9.8867,0.02,0.00,0.00,1
0.445,-0.0156,0.0391,-0.0781,-0.6914,9.2266,0.02,0.00,0.00,1
0.462,-0.0117,0.0059,0.5352,-0.8828,10.2656,0.02,0.00,0.00,1
0.482,0.0254,-0.0254,-0.1523,-0.3437,9.1953,0.02,0.00,0.00,1
0.496,-0.0137,0.0117,-0.1523,-0.3437,9.1953,0.02,0.00,0.00,1
0.513,0.0137,-0.0410,0.8047,-0.4609,10.7266,0.02,0.00,0.00,1
0.532,-0.0039,0.0547,-0.1914,-0.7656,9.1602,0.02,0.00,0.00,1
