t_s,gyro_x_rads,gyro_y_rads,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.017,0.0059,0.0430,-0.1523,-0.6133,9.0820,0.00,0.00,0.00,1
0.034,-0.0137,0.0352,0.6914,-0.8828,10.2266,0.00,0.00,0.00,1
0.053,0.0176,-0.0449,0.2695,-0.6133,9.8867,0.00,0.00,0.00,1
0.073,0.0078,-0.0430,-1.0742,-0.6914,7.9727,0.00,0.00,0.00,1
0.086,0.0059,-0.0156,0.7656,-0.6133,10.6133,0.00,0.00,0.00,1
0.103,-0.0020,-0.0078,-0.3437,-0.8047,8.8164,0.00,0.00,0.00,1
0.121,-0.0176,-0.0195,-0.2305,-0.4961,9.0391,0.00,0.00,0.00,1
0.136,0.0078,0.0273,-0.1133,-0.7266,9.2656,0.00,0.00,0.00,1
0.153,-0.0156,0.0625,0.4961,-0.8047,9.5391,0.00,0.00,0.00,1
0.170,0.0059,0.0312,-0.1523,-0.6133,9.2305,0.00,0.00,0.00,1
0.187,-0.0215,0.0117,0.1523,-0.5742,9.6875,0.00,0.00,0.00,1
0.205,0.0039,0.0996,0.5352,-0.9961,9.9219,0.00,0.00,0.00,1
0.221,0.0234,0.0273,-0.7266,-0.7656,8.6992,0.00,0.00,0.00,1
0.243,-0.0176,0.0137,-0.5742,-0.8828,8.5000,0.00,0.00,0.00,1
0.255,0.0195,-0.0371,0.4609,-0.5352,10.2656,0.00,0.00,0.00,1
0.273,-0.0176,0.0430,-0.6133,-0.8438,8.9219,0.00,0.00,0.00,1
0.291,-0.0078,0.0430,0.2695,-0.6523,9.8047,0.00,0.00,0.00,1
0.306,-0.0176,-0.0156,0.0000,-0.8438,9.2656,0.00,0.00,0.00,1
0.324,-0.0176,0.0254,0.1914,-0.6914,9.6484,0.00,0.00,0.00,1
0.340,0.0254,-0.0234,-0.3828,-0.6133,8.6953,0.00,0.00,0.00,1
0.357,-0.0234,0.0000,0.2305,-0.5742,10.1914,0.00,0.00,0.00,1
0.374,0.0293,-0.0098,-0.1523,-1.0742,9.3086,0.00,0.00,0.00,1
0.392,0.0000,0.0020,-0.4961,-0.5742,8.6172,0.00,0.00,0.00,1
0.413,-0.0273,0.0508,-0.4609,-0.9570,8.7383,0.00,0.00,0.00,1
0.427,0.0117,-0.0703,0.5352,-0.4609,10.1094,0.00,0.00,0.00,1
0.443,-0.0391,0.0059,0.1523,-0.8047,9.4609,0.00,0.00,0.00,1
