t_s,gyro_x_rads,gyro_y_rads,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.017,-0.0352,-0.0098,-0.1914,-0.3437,9.1992,0.02,0.00,0.00,1
0.034,0.0234,-0.0312,-0.4219,-0.7656,8.5039,0.02,0.00,0.00,1
0.054,0.0078,0.0312,-0.9180,-0.8047,8.8437,0.02,0.00,0.00,1
0.072,-0.0312,0.0234,-0.4961,-0.4961,9.1602,0.00,0.00,0.00,1
0.086,0.0117,-0.0215,0.1523,-0.6914,9.5391,0.00,0.00,0.00,1
0.103,-0.0391,-0.0078,0.2305,-0.7656,9.3867,0.00,0.00,0.00,1
0.120,0.0039,-0.0391,-0.4609,-0.4609,8.7383,0.00,0.00,0.00,1
0.136,-0.0254,0.0176,0.4609,-0.7656,10.3086,0.00,0.00,0.00,1
0.153,0.0137,-0.0117,0.0781,-0.8828,9.8867,0.00,0.00,0.00,1
0.172,0.0137,0.0000,-0.8438,-0.6523,8.1211,0.00,0.00,0.00,1
0.187,0.0137,-0.0137,-0.1914,-0.4219,9.1953,0.00,0.00,0.00,1
0.204,0.0215,-0.0195,0.1133,-1.1094,9.3828,0.00,0.00,0.00,1
0.221,-0.0156,0.0156,0.1914,-0.4219,9.5039,0.00,0.00,0.00,1
0.243,0.0039,0.0254,0.9570,-0.8438,10.8359,0.00,0.00,0.00,1
0.257,-0.0195,-0.0195,-0.4219,-0.8828,8.5391,0.00,0.00,0.00,1
0.274,0.0078,-0.0156,-0.2305,-0.3047,9.1953,0.00,0.00,0.00,1
0.291,0.0176,-0.0391,-0.6523,-0.9570,8.6211,0.00,0.00,0.00,1
0.306,-0.0039,-0.0137,0.5742,-0.5742,10.4922,0.00,0.00,0.00,1
0.323,0.0156,-0.0781,-0.6133,-0.7656,8.1562,0.00,0.00,0.00,1
0.342,-0.0215,-0.0430,0.2305,-0.4961,9.5781,0.00,0.00,0.00,1
0.357,0.0234,0.0039,0.0781,-0.8047,9.5781,0.00,0.00,0.00,1
0.374,-0.0156,0.0059,-0.1133,-0.6914,8.9609,0.00,0.00,0.00,1
0.391,-0.0078,-0.0176,-0.1133,-0.6133,9.0039,0.00,0.00,0.00,1
0.408,-0.0137,0.0859,0.8047,-0.6523,10.1875,0.00,0.00,0.00,1
0.428,-0.0059,0.1094,-0.7656,-0.6914,8.6953,0.00,0.00,0.00,1
0.443,0.0273,-0.0117,0.2695,-0.4219,9.6875,0.00,0.00,0.00,1
0.460,-0.0078,-0.0352,-0.5742,-0.9570,8.4258,0.00,0.00,0.00,1
0.476,0.0273,0.0020,0.1133,-0.4961,9.6914,0.00,0.00,0.00,1
0.493,-0.0059,0.0879,-0.1133,-0.8828,9.6484,0.00,0.00,0.00,1
0.513,-0.0176,0.0605,0.8438,-0.6914,10.1523,0.00,0.00,0.00,1
0.527,-0.0078,-0.0312,-0.7266,-0.8828,8.3125,0.00,0.00,0.00,1
0.544,-0.0312,0.0273,0.1523,-0.3047,9.6523,0.00,0.00,0.00,1
0.561,0.0176,0.0195,-0.1133,-0.8438,8.9648,0.00,0.00,0.00,1
0.578,-0.0215,-0.0410,0.1914,-0.5352,9.6875,0.00,0.00,0.00,1
0.601,-0.0234,0.0332,0.0000,-0.5742,9.8086,0.00,0.00,0.00,1
0.613,0.0098,-0.0469,0.0781,-0.6133,9.3477,0.00,0.00,0.00,1
0.633,-0.0352,-0.0039,-0.6914,-0.7266,8.5781,0.00,0.00,0.00,1
0.646,0.0215,-0.0254,0.1523,-0.5742,9.6523,0.00,0.00,0.00,1
0.664,-0.0234,0.0312,0.7266,-0.6523,10.6484,0.00,0.00,0.00,1
0.681,0.0117,0.0742,0.1133,-0.9570,9.1602,0.00,0.00,0.00,1
0.697,-0.0273,-0.0039,-1.0742,-0.7656,8.2773,0.00,0.00,0.00,1
0.714,0.0098,0.0332,0.4219,-0.4219,9.8867,0.00,0.00,0.00,1
0.732,0.0352,-0.0391,-0.4609,-1.0742,8.6172,0.00,0.00,0.00,1
0.748,-0.0078,-0.0078,0.1523,-0.4609,9.7656,0.00,0.00,0.00,1
0.765,0.0234,-0.1191,-0.2695,-0.9180,9.4648,0.00,0.00,0.00,1
0.784,-0.0273,-0.0293,-0.6133,-0.9180,8.5039,0.00,0.00,0.00,1
0.804,-0.0098,0.0273,-0.0781,-0.3047,9.4258,0.00,0.00,0.00,1
0.817,-0.0137,-0.0195,0.0000,-0.8438,9.1211,0.00,0.00,0.00,1
0.833,-0.0156,-0.0430,0.3437,-0.6133,10.1094,0.00,0.00,0.00,1
0.851,0.0254,-0.1289,-1.0742,-0.9570,8.3555,0.00,0.00,0.00,1
0.867,-0.0117,0.1035,-0.2305,-0.5352,9.5391,0.00,0.00,0.00,1
0.884,0.0371,0.0000,0.2695,-0.6523,9.6914,0.00,0.00,0.00,1
0.901,-0.0020,-0.0156,-0.4219,-0.8047,8.7773,0.00,0.00,0.00,1
0.924,-0.0254,-0.0273,0.7656,-0.7266,10.5352,0.00,0.00,0.00,1
0.935,-0.0039,0.0898,0.7656,-0.7266,10.5352,0.00,0.00,0.00,1
0.956,-0.0195,0.0781,-1.1094,-0.7266,8.3555,0.00,0.00,0.00,1
