t_s,gyro_x_rads,gyro_y_rads,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.021,0.0430,-0.0625,-0.0391,-1.1094,9.3437,0.04,0.00,0.00,1
0.037,-0.0117,0.0449,-0.6523,-0.5352,8.3945,0.04,0.00,0.00,1
0.054,0.0527,-0.0215,0.0391,-0.7656,9.3828,0.04,0.00,0.00,1
0.071,-0.0195,-0.0078,-0.2305,-0.8438,9.0000,0.04,0.00,0.00,1
0.088,0.0449,-0.0078,0.4961,-0.4609,10.1094,0.04,0.00,0.00,1
0.105,-0.0195,0.0645,0.0781,-0.8438,9.5039,0.04,0.00,0.00,1
0.122,-0.0234,0.0430,0.7266,-0.6133,10.3477,0.04,0.00,0.00,1
0.144,0.0527,-0.0293,0.1914,-0.1914,9.6484,0.04,0.00,0.00,1
0.160,-0.0078,-0.0566,-0.8047,-1.0742,8.3125,0.04,0.00,0.00,1
0.173,0.0352,0.0156,0.3437,-0.1914,10.1875,0.04,0.00,0.00,1
0.194,-0.0020,-0.0234,-0.2305,-1.3008,9.0820,0.04,0.00,0.00,1
0.207,0.0430,0.0645,-0.2695,-0.1133,8.8477,0.04,0.00,0.00,1
0.225,0.0137,0.0215,0.0000,-1.0742,9.3828,0.04,0.00,0.00,1
0.241,-0.0430,0.0488,0.2695,-0.3437,9.3867,0.02,0.00,0.00,1
0.261,0.0176,0.0137,0.0781,-0.7266,9.5430,0.02,0.00,0.00,1
0.275,-0.0469,0.0254,0.1133,-0.6523,9.7305,0.02,0.00,0.00,1
0.292,0.0215,0.0664,-0.0391,-1.1875,9.5820,0.02,0.00,0.00,1
0.314,0.0332,0.0137,0.0391,-0.6914,9.5391,0.02,0.00,0.00,1
0.326,0.0176,-0.0195,0.0391,-0.6914,9.5391,0.02,0.00,0.00,1
0.345,0.0332,-0.0840,0.4961,-0.3047,10.0352,0.02,0.00,0.00,1
0.363,-0.0410,0.0273,0.0781,-0.8828,9.4648,0.02,0.00,0.00,1
0.377,0.0410,-0.0645,0.4961,-0.5742,9.9258,0.02,0.00,0.00,1
0.394,-0.0469,-0.0156,-0.5352,-1.1094,8.6562,0.02,0.00,0.00,1
0.412,0.0000,-0.0078,0.1133,-0.2695,9.4219,0.02,0.00,0.00,1
0.428,-0.0332,0.0391,-0.5352,-1.2266,8.7383,0.02,0.00,0.00,1
0.445,-0.0117,0.0020,0.1133,-0.1914,9.7695,0.02,0.00,0.00,1
0.462,0.0391,-0.0801,-0.4609,-1.1094,9.0781,0.02,0.00,0.00,1
0.484,-0.0293,-0.0273,0.0000,-1.1875,9.0820,0.02,0.00,0.00,1
0.496,0.0488,0.0234,0.0000,-1.1875,9.0820,0.02,0.00,0.00,1
0.516,-0.0234,0.0742,-0.8828,-0.9961,8.1602,0.02,0.00,0.00,1
0.533,-0.0195,0.0430,0.2695,-0.4219,10.0703,0.02,0.00,0.00,1
0.547,-0.0195,0.0039,-0.4961,-0.8828,8.8477,0.02,0.00,0.00,1
0.564,-0.0098,0.0684,0.4609,-0.5352,9.9648,0.02,0.00,0.00,1
0.581,0.0391,0.0078,-0.2305,-0.9570,9.0000,0.02,0.00,0.00,1
0.600,-0.0117,0.0508,0.4609,-0.4961,9.9648,0.02,0.00,0.00,1
0.615,0.0312,-0.0605,-0.4219,-0.6914,8.7383,0.02,0.00,0.00,1
0.632,-0.0117,0.0293,0.1914,-0.6523,9.8828,0.02,0.00,0.00,1
0.651,-0.0078,0.0742,-0.3828,-0.8047,8.9609,0.02,0.00,0.00,1
