t_s,gyro_x_rads,gyro_y_rads,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.024,-0.0078,0.0664,0.4961,-0.8438,10.0742,0.02,0.00,0.00,1
0.039,0.0137,-0.0957,-0.7266,-0.4961,8.4648,0.00,0.00,0.00,1
0.055,-0.0059,0.0059,0.1523,-0.8047,10.0703,0.00,0.00,0.00,1
0.073,-0.0117,0.0723,0.0781,-1.0742,9.5000,0.00,0.00,0.00,1
0.089,-0.0059,-0.0117,-0.5352,-0.6523,8.8125,0.00,0.00,0.00,1
0.106,-0.0059,-0.0234,-0.3437,-0.6523,8.8477,0.00,0.00,0.00,1
0.126,0.0137,-0.1035,0.4961,-0.5352,9.9648,0.00,0.00,0.00,1
0.140,-0.0078,0.0703,0.0000,-0.6914,9.3437,0.00,0.00,0.00,1
0.157,0.0156,-0.0527,0.2695,-0.9180,9.5430,0.00,0.00,0.00,1
0.176,-0.0020,-0.0059,-0.4219,-0.8438,8.8437,0.00,0.00,0.00,1
0.193,-0.0020,-0.0078,-0.2695,-0.5352,9.2656,0.00,0.00,0.00,1
0.208,-0.0059,0.0547,-0.5352,-0.7656,8.5391,0.00,0.00,0.00,1
0.225,-0.0078,0.0352,0.7266,-0.4961,10.2305,0.00,0.00,0.00,1
0.245,0.0195,-0.0918,-0.1523,-0.7266,8.9648,0.02,0.00,0.00,1
0.259,-0.0020,0.0918,0.8438,-0.6133,10.4141,0.02,0.00,0.00,1
0.276,0.0234,0.0254,-0.2305,-0.6914,9.1211,0.02,0.00,0.00,1
0.297,-0.0078,0.0527,-0.9961,-0.6914,7.9687,0.02,0.00,0.00,1
0.315,-0.0098,0.0391,0.6523,-0.5742,10.5703,0.02,0.00,0.00,1
0.327,-0.0117,0.0371,-0.6133,-0.8828,8.3516,0.02,0.00,0.00,1
0.346,-0.0020,0.0859,0.0391,-0.4609,9.2656,0.02,0.00,0.00,1
0.363,0.0234,0.0254,0.1914,-0.7266,9.5781,0.02,0.00,0.00,1
0.378,-0.0195,-0.0039,0.3828,-0.7656,9.6133,0.02,0.00,0.00,1
0.396,0.0117,-0.0645,-0.6523,-0.4609,8.6211,0.02,0.00,0.00,1
0.413,-0.0098,0.0078,0.3828,-0.4961,9.7656,0.02,0.00,0.00,1
0.429,0.0254,0.0020,0.5742,-1.1484,10.0312,0.02,0.00,0.00,1
0.446,-0.0020,0.0059,-0.6133,-0.8828,8.5039,0.02,0.00,0.00,1
0.468,-0.0195,0.0137,-0.0391,-0.8828,9.0820,0.02,0.00,0.00,1
0.480,0.0078,-0.0234,-0.0391,-0.8828,9.0820,0.02,0.00,0.00,1
0.500,-0.0195,0.0000,-0.1133,-0.8828,9.5820,0.02,0.00,0.00,1
0.517,0.0195,-0.0449,0.5352,-0.8828,9.8477,0.02,0.00,0.00,1
0.533,0.0059,-0.0098,-0.4961,-0.8828,8.6211,0.02,0.00,0.00,1
0.549,0.0254,-0.0312,0.0391,-0.5742,9.3086,0.02,0.00,0.00,1
0.566,0.0098,-0.0098,-0.6133,-0.8438,8.6211,0.02,0.00,0.00,1
0.584,-0.0137,0.0059,0.6133,-0.4961,10.2305,0.02,0.00,0.00,1
0.599,0.0059,0.0527,-0.1133,-0.6523,9.0039,0.02,0.00,0.00,1
0.616,-0.0215,0.0371,0.8047,-0.6523,10.0000,0.02,0.00,0.00,1
0.633,0.0176,-0.0156,-0.1914,-0.8828,9.1172,0.02,0.00,0.00,1
0.650,-0.0195,0.0137,0.0391,-0.6133,9.7305,0.02,0.00,0.00,1
0.667,0.0137,-0.0430,-0.9180,-0.6523,8.0820,0.02,0.00,0.00,1
0.686,0.0020,0.0488,-0.4609,-0.7266,8.5820,0.02,0.00,0.00,1
0.704,-0.0137,0.0312,0.1133,-0.4961,9.8047,0.02,0.00,0.00,1
0.718,0.0020,-0.0059,-0.0781,-0.7656,9.3437,0.02,0.00,0.00,1
0.735,-0.0195,0.0293,0.4219,-0.7656,10.0312,0.02,0.00,0.00,1
0.753,0.0117,-0.0352,-0.6914,-0.5352,8.2344,0.02,0.00,0.00,1
0.769,-0.0137,0.0234,0.3047,-0.6133,10.1523,0.02,0.00,0.00,1
0.786,0.0156,0.0020,-0.0391,-0.9180,9.3867,0.02,0.00,0.00,1
0.803,0.0020,0.0117,-0.6133,-0.6133,8.8477,0.02,0.00,0.00,1
0.820,0.0117,-0.0430,-0.3828,-0.5742,8.9258,0.02,0.00,0.00,1
0.837,0.0078,-0.0352,0.3828,-0.8828,9.8867,0.00,0.00,0.00,1
0.856,-0.0195,-0.0059,-0.0781,-0.5742,9.3086,0.00,0.00,0.00,1
0.875,0.0117,-0.0098,0.3828,-0.9180,9.5820,0.00,0.00,0.00,1
0.888,-0.0195,0.0059,-0.5352,-0.8828,8.8125,0.00,0.00,0.00,1
0.906,0.0117,-0.0430,-0.1914,-0.4219,9.3047,0.00,0.00,0.00,1
0.923,0.0098,-0.0547,-0.4961,-0.8438,8.5820,0.00,0.00,0.00,1
0.939,0.0098,0.0020,0.8047,-0.5352,10.4570,0.00,0.00,0.00,1
0.956,0.0000,-0.0039,-0.4609,-0.7656,9.0391,0.00,0.00,0.00,1
0.973,-0.0293,-0.0195,0.6133,-0.7266,10.0039,0.00,0.00,0.00,1
0.990,0.0137,0.0098,-0.1523,-0.8828,9.0820,0.00,0.00,0.00,1
1.007,-0.0156,0.0488,0.1914,-0.5352,9.5000,0.00,0.00,0.00,1
1.027,0.0039,0.0078,0.6914,-0.5742,10.2656,0.00,0.00,0.00,1
1.041,-0.0234,0.0273,0.6914,-0.5742,10.2656,0.00,0.00,0.00,1
1.059,0.0117,0.0977,-0.6133,-0.5742,8.9258,0.00,0.00,0.00,1
1.077,0.0273,0.0273,-0.0781,-0.6914,9.4258,0.00,0.00,0.00,1
1.094,-0.0117,0.0605,0.3437,-0.7656,9.6133,0.00,0.00,0.00,1
1.109,0.0195,-0.0723,0.0781,-0.5352,9.3047,0.00,0.00,0.00,1
1.126,-0.0215,0.0273,0.0781,-0.5742,9.5781,0.00,0.00,0.00,1
1.144,-0.0020,0.0820,0.3828,-0.9180,9.6484,0.00,0.00,0.00,1
1.160,-0.0195,-0.0195,-0.6133,-0.8438,8.7773,0.00,0.00,0.00,1
1.177,-0.0059,-0.0098,-0.2695,-0.4961,9.3047,0.00,0.00,0.00,1
1.194,0.0215,-0.0547,-0.1914,-0.9570,8.8437,0.00,0.00,0.00,1
1.211,-0.0059,0.0273,0.5352,-0.4961,9.8867,0.00,0.00,0.00,1
1.230,0.0195,-0.0781,0.5742,-0.6914,10.1914,0.00,0.00,0.00,1
1.246,-0.0156,-0.0117,-0.3047,-0.8047,9.1953,0.02,0.00,0.00,1
1.263,-0.0156,-0.0195,0.0391,-0.3437,9.1953,0.02,0.00,0.00,1
1.279,-0.0098,0.0801,-0.8047,-0.8828,8.1562,0.02,0.00,0.00,1
1.296,-0.0156,0.0469,0.6914,-0.4961,10.5703,0.02,0.00,0.00,1
1.313,0.0117,-0.0469,-0.1914,-0.6914,9.1211,0.02,0.00,0.00,1
1.330,-0.0098,0.0625,0.6523,-0.6133,9.9219,0.02,0.00,0.00,1
1.347,0.0195,0.0137,-0.3047,-0.8047,8.9219,0.02,0.00,0.00,1
1.364,-0.0098,0.0762,0.2305,-0.5742,10.0742,0.02,0.00,0.00,1
1.386,-0.0098,0.0410,0.4219,-0.6523,10.3086,0.02,0.00,0.00,1
1.403,0.0098,-0.0410,-0.1523,-0.8438,8.8867,0.02,0.00,0.00,1
1.417,-0.0059,0.0664,-0.0391,-0.6523,9.4219,0.02,0.00,0.00,1
1.433,0.0156,0.0215,-0.2305,-0.7656,9.1602,0.02,0.00,0.00,1
1.449,-0.0020,-0.0469,0.6914,-0.6523,10.2266,0.00,0.00,0.00,1
1.466,0.0117,-0.1016,-0.9180,-0.5742,8.0117,0.00,0.00,0.00,1
1.483,-0.0039,-0.0215,0.2695,-0.6523,10.0312,0.00,0.00,0.00,1
1.500,0.0098,-0.0098,-0.3828,-0.8438,9.0430,0.00,0.00,0.00,1
1.517,-0.0117,0.0137,0.1523,-0.5742,9.4258,0.00,0.00,0.00,1
1.534,0.0020,-0.0469,-0.4219,-0.7266,8.6992,0.00,0.00,0.00,1
1.551,-0.0117,0.0566,0.4609,-0.7266,10.1094,0.00,0.00,0.00,1
1.568,0.0059,0.0195,-0.4219,-0.6133,8.7734,0.00,0.00,0.00,1
1.587,0.0020,-0.0039,-0.1914,-0.8828,9.1992,0.00,0.00,0.00,1
1.606,-0.0156,-0.0117,-0.5352,-0.5742,8.8437,0.00,0.00,0.00,1
1.620,0.0098,0.0156,-0.3047,-0.6133,8.9609,0.00,0.00,0.00,1
1.637,-0.0156,0.0645,0.0000,-0.8828,9.5430,0.00,0.00,0.00,1
1.653,0.0078,0.0176,0.3437,-0.5742,9.7695,0.02,0.00,0.00,1
1.670,-0.0195,0.0000,-0.2695,-0.6914,9.4609,0.02,0.00,0.00,1
1.687,0.0098,0.0664,0.6523,-0.8828,10.0742,0.02,0.00,0.00,1
1.704,0.0156,0.0273,-0.4609,-0.7266,8.7383,0.02,0.00,0.00,1
1.727,-0.0117,0.0762,-0.8438,-0.8438,8.0820,0.02,0.00,0.00,1
1.738,0.0137,-0.1133,-0.8438,-0.8438,8.0820,0.02,0.00,0.00,1
1.757,-0.0215,0.0234,-0.7266,-0.7656,8.5781,0.02,0.00,0.00,1
1.777,0.0020,0.1367,0.4609,-0.5352,10.1484,0.02,0.00,0.00,1
1.790,-0.0234,-0.0508,0.3047,-0.8047,9.6094,0.02,0.00,0.00,1
1.807,-0.0078,0.0176,-0.1523,-0.7656,8.5781,0.02,0.00,0.00,1
1.824,0.0312,0.0234,0.5352,-0.8047,10.1133,0.02,0.00,0.00,1
1.840,-0.0137,0.0508,-0.3047,-0.3828,9.1562,0.02,0.00,0.00,1
1.857,0.0332,0.1309,1.1875,-0.7656,10.4570,0.02,0.00,0.00,1
1.874,-0.0020,0.0977,0.5742,-0.4219,10.2656,0.02,0.00,0.00,1
1.891,0.0254,-0.0762,-1.7227,-0.6523,6.7852,0.02,0.00,0.00,1
1.909,-0.0098,0.0430,1.1484,-0.3047,10.3867,0.02,0.00,0.00,1
1.925,-0.0117,-0.0977,0.5742,-0.8438,9.8828,0.02,0.00,0.00,1
1.946,-0.0078,0.0371,-3.0273,-0.2305,5.0586,0.02,0.00,0.00,1
1.961,-0.0020,-0.0586,1.2266,-0.4961,11.3750,0.02,0.00,0.00,1
1.977,-0.0078,-0.0801,0.5742,-0.8047,9.5039,0.02,0.00,0.00,1
1.994,0.0059,0.0723,1.3398,-0.4609,10.8008,0.02,0.00,0.00,1
2.010,-0.0137,-0.0410,-1.5313,-0.8828,7.0078,0.02,0.00,0.00,1
2.027,0.0039,0.0488,1.1484,-0.3047,9.6914,0.02,0.00,0.00,1
2.044,0.0156,-0.0156,1.2266,-1.3008,9.3828,0.00,0.00,0.00,1
2.061,-0.0215,0.0391,-0.0781,-0.8828,7.6992,0.00,0.00,0.00,1
2.078,0.0176,0.0586,2.3750,-0.4961,11.2969,0.00,0.00,0.00,1
2.095,0.0020,-0.1367,0.6523,-0.6914,8.0391,0.00,0.00,0.00,1
2.117,-0.0273,-0.1289,-1.3008,-0.8828,5.5977,0.00,0.00,0.00,1
2.134,0.0176,0.0352,1.8789,0.1914,10.7266,0.00,0.00,0.00,1
2.147,-0.0254,-0.0234,1.8398,-0.5352,8.6602,0.00,0.00,0.00,1
2.165,0.0078,0.0449,3.6016,-1.3008,12.0625,0.00,0.00,0.00,1
2.180,-0.0254,-0.1348,0.4219,-0.9180,6.9336,0.00,0.00,0.00,1
2.197,0.0000,0.0645,1.3398,0.4219,9.4258,0.00,0.00,0.00,1
2.214,0.0391,-0.0469,3.2187,-0.7656,10.3867,0.00,0.00,0.00,1
2.231,-0.0156,-0.0566,3.1016,-1.1094,12.3008,0.00,0.00,0.00,1
2.248,0.0352,-0.1855,0.5352,-1.0742,6.5508,0.00,0.00,0.00,1
2.265,-0.0391,0.0254,2.8711,0.1133,11.8398,0.00,0.00,0.00,1
2.288,0.0020,0.0781,2.4141,-1.8008,9.9648,0.00,0.00,0.00,1
2.299,-0.0312,-0.0684,2.4141,-1.8008,9.9648,0.00,0.00,0.00,1
2.318,-0.0176,0.0195,0.9961,-0.6914,7.1250,0.00,0.00,0.00,1
2.337,0.0430,0.1230,3.6758,-2.6055,11.1484,0.00,0.00,0.00,1
2.350,-0.0215,-0.0215,0.3437,0.8438,6.0898,0.00,0.00,0.00,1
