t_s,gyro_x_rads,gyro_y_rads,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.018,0.0176,-0.0371,-0.1914,-1.2266,9.3086,0.04,0.00,0.00,1
0.035,-0.0371,0.0117,-0.4961,-0.4609,8.7773,0.04,0.00,0.00,1
0.052,0.0117,-0.0098,-0.1133,-0.6914,9.3437,0.04,0.00,0.00,1
0.074,0.0352,-0.0723,0.4961,-0.4609,10.0742,0.04,0.00,0.00,1
0.086,-0.0039,0.0059,0.4961,-0.4609,10.0742,0.04,0.00,0.00,1
0.106,0.0410,-0.0781,0.6523,-0.6914,10.2695,0.06,0.00,0.00,1
0.123,-0.0371,-0.0098,-0.6133,-0.9570,8.6211,0.06,0.00,0.00,1
0.137,0.0430,0.0039,0.0000,-0.2695,9.3867,0.06,0.00,0.00,1
0.154,-0.0273,0.0117,-0.9570,-1.0352,8.1211,0.06,0.00,0.00,1
0.171,-0.0215,-0.0117,0.3828,-0.1523,10.2656,0.06,0.00,0.00,1
0.188,-0.0312,0.0430,-0.2305,-1.2266,9.0781,0.06,0.00,0.00,1
0.205,-0.0215,0.0273,0.0391,-0.1914,9.4609,0.06,0.00,0.00,1
0.222,0.0488,-0.0332,-0.1523,-1.0742,9.1992,0.06,0.00,0.00,1
0.241,-0.0098,-0.0586,0.0391,-0.4219,9.1992,0.06,0.00,0.00,1
0.256,0.0371,0.0078,-0.0781,-0.6914,9.3828,0.06,0.00,0.00,1
0.276,-0.0039,-0.0039,0.3047,-1.1484,9.8047,0.06,0.00,0.00,1
0.294,-0.0410,0.0254,-0.5742,-0.5742,8.4648,0.02,0.00,0.00,1
0.310,0.0391,-0.0352,-0.2305,-0.5352,9.2695,0.02,0.00,0.00,1
0.324,-0.0430,0.0449,-0.3437,-0.9570,8.6953,0.02,0.00,0.00,1
0.341,0.0254,0.0273,0.7266,-0.2695,10.3047,0.02,0.00,0.00,1
0.358,-0.0488,0.0020,0.0781,-0.9570,9.5820,0.02,0.00,0.00,1
0.375,0.0254,0.0410,0.4961,-0.5742,10.0352,0.02,0.00,0.00,1
0.392,0.0234,0.0039,-0.5742,-0.9961,8.4609,0.02,0.00,0.00,1
0.411,-0.0469,0.0527,0.0391,-0.1133,9.4219,0.02,0.00,0.00,1
0.426,0.0312,-0.0781,-0.6914,-1.1484,8.5820,0.02,0.00,0.00,1
0.443,-0.0391,0.0234,0.2695,-0.1133,10.1094,0.02,0.00,0.00,1
0.464,0.0078,0.0547,0.2305,-0.3437,9.7266,0.02,0.00,0.00,1
0.478,-0.0449,0.0117,-0.1523,-1.0352,9.0039,0.02,0.00,0.00,1
0.494,0.0078,-0.0312,0.3047,-0.2695,9.7266,0.11,0.00,0.00,1
0.512,0.0391,-0.0840,-0.6133,-0.8047,8.4609,0.11,0.00,0.00,1
0.528,-0.0098,0.0234,0.4219,-0.4609,9.9609,0.11,0.00,0.00,1
0.545,0.0371,-0.0352,-0.4609,-0.8828,9.0820,0.11,0.00,0.00,1
0.562,-0.0352,0.0039,-0.1523,-0.4961,9.1953,0.11,0.00,0.00,1
0.581,-0.0020,-0.0215,-0.1133,-0.6914,9.1172,0.11,0.00,0.00,1
0.596,-0.0293,0.0508,0.1914,-0.8047,9.5430,0.11,0.00,0.00,1
0.613,-0.0176,0.0215,0.0781,-0.4609,9.4219,0.11,0.00,0.00,1
0.634,0.0352,-0.0781,0.4609,-0.8438,9.8047,0.11,0.00,0.00,1
0.652,-0.0254,-0.0117,-0.7656,-0.7656,8.3945,0.11,0.00,0.00,1
0.665,0.0449,0.0156,-0.1914,-0.2305,9.1953,0.11,0.00,0.00,1
0.684,-0.0137,0.0449,-0.4961,-1.1875,8.5430,0.11,0.00,0.00,1
0.698,0.0352,-0.0566,0.7656,-0.3047,10.4531,0.02,0.00,0.00,1
0.716,-0.0234,0.0508,-0.3437,-0.9961,9.2305,0.02,0.00,0.00,1
0.732,-0.0137,0.0273,0.3437,-0.3828,9.6484,0.02,0.00,0.00,1
0.752,0.0371,-0.0234,-0.2695,-0.9570,8.8477,0.02,0.00,0.00,1
0.766,-0.0215,0.0156,0.3437,-0.3437,9.7656,0.02,0.00,0.00,1
0.784,0.0352,-0.0059,-0.6133,-0.8047,8.5391,0.02,0.00,0.00,1
